year,prefecture,total_offenses
2005,青森県,15678
2005,岩手県,11876
2005,宮城県,39876
2005,秋田県,8234
2005,山形県,10678
2005,福島県,20234
2005,茨城県,51234
2005,栃木県,28765
2005,群馬県,28987
2005,埼玉県,139876
2005,千葉県,118765
2005,東京都,258765
2005,神奈川県,130234
2005,新潟県,23456
2005,富山県,10567
2005,石川県,11987
2005,福井県,7123
2005,山梨県,10567
2005,長野県,22876
2005,岐阜県,26543
2005,静岡県,55678
2005,愛知県,146789
2005,三重県,25876
2005,滋賀県,18567
2005,京都府,47654
2005,大阪府,238765
2005,兵庫県,97654
2005,奈良県,19123
2005,和歌山県,12678
2005,鳥取県,5543
2005,島根県,5432
2005,岡山県,28234
2005,広島県,44567
2005,山口県,14234
2005,徳島県,8678
2005,香川県,12567
2005,愛媛県,17432
2005,高知県,8567
2005,福岡県,95678
2005,佐賀県,9876
2005,長崎県,14321
2005,熊本県,21345
2005,大分県,12123
2005,宮崎県,11678
2005,鹿児島県,17654
2005,沖縄県,16234
2006,北海道,100234
2006,青森県,14123
2006,岩手県,10987
2006,宮城県,36789
2006,秋田県,7567
2006,山形県,9876
2006,福島県,18567
2006,茨城県,47654
2006,栃木県,26543
2006,群馬県,26789
2006,埼玉県,129876
2006,千葉県,110234
2006,東京都,242345
2006,神奈川県,122345
2006,新潟県,21567
2006,富山県,9876
2006,石川県,11123
2006,福井県,6567
2006,山梨県,9876
2006,長野県,21234
2006,岐阜県,24567
2006,静岡県,51234
2006,愛知県,136789
2006,三重県,23987
2006,滋賀県,17234
2006,京都府,44321
2006,大阪府,222345
2006,兵庫県,91234
2006,奈良県,17876
2006,和歌山県,11876
2006,鳥取県,5123
2006,島根県,5067
2006,岡山県,26234
2006,広島県,41234
2006,山口県,13234
2006,徳島県,8123
2006,香川県,11678
2006,愛媛県,16234
2006,高知県,7876
2006,福岡県,89876
2006,佐賀県,9234
2006,長崎県,13345
2006,熊本県,19876
2006,大分県,11345
2006,宮崎県,10876
2006,鹿児島県,16543
2006,沖縄県,15234
2007,北海道,91234
2007,青森県,12345
2007,岩手県,9876
2007,宮城県,34567
2007,秋田県,6789
2007,山形県,9123
2007,福島県,16789
2007,茨城県,44567
2007,栃木県,24321
2007,群馬県,24567
2007,埼玉県,120345
2007,千葉県,102345
2007,東京都,226789
2007,神奈川県,114567
2007,新潟県,19876
2007,富山県,9123
2007,石川県,10234
2007,福井県,6012
2007,山梨県,9234
2007,長野県,19567
2007,岐阜県,22345
2007,静岡県,47654
2007,愛知県,127654
2007,三重県,22123
2007,滋賀県,15876
2007,京都府,40987
2007,大阪府,206789
2007,兵庫県,85432
2007,奈良県,16567
2007,和歌山県,10987
2007,鳥取県,4678
2007,島根県,4654
2007,岡山県,24321
2007,広島県,38567
2007,山口県,12321
2007,徳島県,7456
2007,香川県,10876
2007,愛媛県,14987
2007,高知県,7234
2007,福岡県,84567
2007,佐賀県,8567
2007,長崎県,12345
2007,熊本県,18567
2007,大分県,10567
2007,宮崎県,10123
2007,鹿児島県,15432
2007,沖縄県,14321
2008,北海道,83456
2008,青森県,11234
2008,岩手県,8765
2008,宮城県,32345
2008,秋田県,6123
2008,山形県,8234
2008,福島県,15234
2008,茨城県,41234
2008,栃木県,22345
2008,群馬県,22567
2008,埼玉県,112345
2008,千葉県,95678
2008,東京都,213456
2008,神奈川県,107654
2008,新潟県,18234
2008,富山県,8345
2008,石川県,9345
2008,福井県,5567
2008,山梨県,8567
2008,長野県,17876
2008,岐阜県,20567
2008,静岡県,44321
2008,愛知県,119876
2008,三重県,20567
2008,滋賀県,14567
2008,京都府,37654
2008,大阪府,194567
2008,兵庫県,79876
2008,奈良県,15234
2008,和歌山県,10234
2008,鳥取県,4234
2008,島根県,4234
2008,岡山県,22567
2008,広島県,36234
2008,山口県,11456
2008,徳島県,6876
2008,香川県,10123
2008,愛媛県,13876
2008,高知県,6654
2008,福岡県,79876
2008,佐賀県,7876
2008,長崎県,11567
2008,熊本県,17234
2008,大分県,9876
2008,宮崎県,9345
2008,鹿児島県,14432
2008,沖縄県,13456
2009,北海道,76543
2009,青森県,10234
2009,岩手県,7876
2009,宮城県,29876
2009,秋田県,5567
2009,山形県,7567
2009,福島県,13876
2009,茨城県,38234
2009,栃木県,20567
2009,群馬県,20876
2009,埼玉県,104567
2009,千葉県,89876
2009,東京都,201234
2009,神奈川県,101234
2009,新潟県,16789
2009,富山県,7654
2009,石川県,8567
2009,福井県,5123
2009,山梨県,7876
2009,長野県,16234
2009,岐阜県,18876
2009,静岡県,41234
2009,愛知県,112345
2009,三重県,18876
2009,滋賀県,13456
2009,京都府,34876
2009,大阪府,182345
2009,兵庫県,74567
2009,奈良県,14123
2009,和歌山県,9456
2009,鳥取県,3876
2009,島根県,3876
2009,岡山県,20876
2009,広島県,33876
2009,山口県,10567
2009,徳島県,6321
2009,香川県,9321
2009,愛媛県,12876
2009,高知県,6123
2009,福岡県,74567
2009,佐賀県,7234
2009,長崎県,10789
2009,熊本県,16123
2009,大分県,9123
2009,宮崎県,8654
2009,鹿児島県,13456
2009,沖縄県,12567
2010,北海道,70234
2010,青森県,9234
2010,岩手県,7123
2010,宮城県,27654
2010,秋田県,5123
2010,山形県,6876
2010,福島県,12567
2010,茨城県,35234
2010,栃木県,18876
2010,群馬県,19234
2010,埼玉県,97654
2010,千葉県,84321
2010,東京都,189876
2010,神奈川県,95678
2010,新潟県,15234
2010,富山県,7012
2010,石川県,7876
2010,福井県,4678
2010,山梨県,7123
2010,長野県,14876
2010,岐阜県,17234
2010,静岡県,38234
2010,愛知県,105678
2010,三重県,17234
2010,滋賀県,12345
2010,京都府,32123
2010,大阪府,171234
2010,兵庫県,69876
2010,奈良県,13123
2010,和歌山県,8765
2010,鳥取県,3567
2010,島根県,3543
2010,岡山県,19234
2010,広島県,31456
2010,山口県,9876
2010,徳島県,5876
2010,香川県,8567
2010,愛媛県,11876
2010,高知県,5654
2010,福岡県,70123
2010,佐賀県,6654
2010,長崎県,9987
2010,熊本県,15234
2010,大分県,8456
2010,宮崎県,8012
2010,鹿児島県,12567
2010,沖縄県,11876
2011,北海道,65432
2011,青森県,8567
2011,岩手県,6543
2011,宮城県,26789
2011,秋田県,4678
2011,山形県,6321
2011,福島県,11876
2011,茨城県,33456
2011,栃木県,17654
2011,群馬県,17876
2011,埼玉県,91234
2011,千葉県,79876
2011,東京都,179876
2011,神奈川県,89876
2011,新潟県,13876
2011,富山県,6432
2011,石川県,7234
2011,福井県,4234
2011,山梨県,6567
2011,長野県,13567
2011,岐阜県,15876
2011,静岡県,35432
2011,愛知県,98765
2011,三重県,15876
2011,滋賀県,11321
2011,京都府,29876
2011,大阪府,161234
2011,兵庫県,65432
2011,奈良県,12234
2011,和歌山県,8123
2011,鳥取県,3234
2011,島根県,3234
2011,岡山県,17876
2011,広島県,29321
2011,山口県,9234
2011,徳島県,5432
2011,香川県,7876
2011,愛媛県,10987
2011,高知県,5234
2011,福岡県,66543
2011,佐賀県,6123
2011,長崎県,9234
2011,熊本県,14321
2011,大分県,7876
2011,宮崎県,7432
2011,鹿児島県,11765
2011,沖縄県,11234
2012,北海道,60876
2012,青森県,7876
2012,岩手県,5987
2012,宮城県,25234
2012,秋田県,4234
2012,山形県,5876
2012,福島県,10987
2012,茨城県,31234
2012,栃木県,16321
2012,群馬県,16543
2012,埼玉県,85678
2012,千葉県,74567
2012,東京都,170234
2012,神奈川県,84321
2012,新潟県,12654
2012,富山県,5876
2012,石川県,6654
2012,福井県,3876
2012,山梨県,6123
2012,長野県,12345
2012,岐阜県,14567
2012,静岡県,32876
2012,愛知県,92345
2012,三重県,14567
2012,滋賀県,10432
2012,京都府,27654
2012,大阪府,152345
2012,兵庫県,61234
2012,奈良県,11456
2012,和歌山県,7543
2012,鳥取県,2987
2012,島根県,2987
2012,岡山県,16567
2012,広島県,27432
2012,山口県,8567
2012,徳島県,5012
2012,香川県,7234
2012,愛媛県,10123
2012,高知県,4876
2012,福岡県,63456
2012,佐賀県,5678
2012,長崎県,8567
2012,熊本県,13456
2012,大分県,7321
2012,宮崎県,6987
2012,鹿児島県,10987
2012,沖縄県,10567
2013,北海道,56234
2013,青森県,7234
2013,岩手県,5432
2013,宮城県,23876
2013,秋田県,3876
2013,山形県,5321
2013,福島県,10123
2013,茨城県,28987
2013,栃木県,15123
2013,群馬県,15234
2013,埼玉県,79876
2013,千葉県,69876
2013,東京都,162345
2013,神奈川県,79234
2013,新潟県,11567
2013,富山県,5321
2013,石川県,6123
2013,福井県,3567
2013,山梨県,5678
2013,長野県,11234
2013,岐阜県,13321
2013,静岡県,30234
2013,愛知県,86789
2013,三重県,13321
2013,滋賀県,9678
2013,京都府,25567
2013,大阪府,143456
2013,兵庫県,57234
2013,奈良県,10678
2013,和歌山県,6987
2013,鳥取県,2765
2013,島根県,2756
2013,岡山県,15321
2013,広島県,25567
2013,山口県,7987
2013,徳島県,4654
2013,香川県,6654
2013,愛媛県,9345
2013,高知県,4567
2013,福岡県,60234
2013,佐賀県,5234
2013,長崎県,7987
2013,熊本県,12567
2013,大分県,6876
2013,宮崎県,6543
2013,鹿児島県,10234
2013,沖縄県,9876
2014,北海道,51234
2014,青森県,6543
2014,岩手県,4987
2014,宮城県,22123
2014,秋田県,3543
2014,山形県,4876
2014,福島県,9345
2014,茨城県,26789
2014,栃木県,13987
2014,群馬県,14123
2014,埼玉県,74567
2014,千葉県,64876
2014,東京都,153456
2014,神奈川県,74234
2014,新潟県,10678
2014,富山県,4876
2014,石川県,5654
2014,福井県,3234
2014,山梨県,5234
2014,長野県,10321
2014,岐阜県,12321
2014,静岡県,27876
2014,愛知県,81234
2014,三重県,12321
2014,滋賀県,8987
2014,京都府,23876
2014,大阪府,134567
2014,兵庫県,53456
2014,奈良県,9987
2014,和歌山県,6456
2014,鳥取県,2543
2014,島根県,2534
2014,岡山県,14234
2014,広島県,23876
2014,山口県,7432
2014,徳島県,4321
2014,香川県,6123
2014,愛媛県,8654
2014,高知県,4234
2014,福岡県,56789
2014,佐賀県,4876
2014,長崎県,7432
2014,熊本県,11678
2014,大分県,6432
2014,宮崎県,6123
2014,鹿児島県,9543
2014,沖縄県,9234
2015,北海道,46789
2015,青森県,5987
2015,岩手県,4567
2015,宮城県,20567
2015,秋田県,3234
2015,山形県,4432
2015,福島県,8654
2015,茨城県,24876
2015,栃木県,12876
2015,群馬県,13123
2015,埼玉県,69876
2015,千葉県,60876
2015,東京都,145678
2015,神奈川県,69876
2015,新潟県,9876
2015,富山県,4456
2015,石川県,5234
2015,福井県,2987
2015,山梨県,4876
2015,長野県,9567
2015,岐阜県,11432
2015,静岡県,25876
2015,愛知県,76543
2015,三重県,11432
2015,滋賀県,8345
2015,京都府,22234
2015,大阪府,126789
2015,兵庫県,49876
2015,奈良県,9321
2015,和歌山県,5987
2015,鳥取県,2345
2015,島根県,2321
2015,岡山県,13234
2015,広島県,22321
2015,山口県,6876
2015,徳島県,3987
2015,香川県,5654
2015,愛媛県,7987
2015,高知県,3876
2015,福岡県,53456
2015,佐賀県,4543
2015,長崎県,6876
2015,熊本県,10876
2015,大分県,5987
2015,宮崎県,5678
2015,鹿児島県,8876
2015,沖縄県,8654
2016,北海道,42567
2016,青森県,5432
2016,岩手県,4123
2016,宮城県,19234
2016,秋田県,2876
2016,山形県,3987
2016,福島県,7987
2016,茨城県,23123
2016,栃木県,11987
2016,群馬県,12234
2016,埼玉県,65432
2016,千葉県,57234
2016,東京都,138765
2016,神奈川県,65678
2016,新潟県,9123
2016,富山県,4123
2016,石川県,4876
2016,福井県,2765
2016,山梨県,4543
2016,長野県,8876
2016,岐阜県,10654
2016,静岡県,24123
2016,愛知県,72345
2016,三重県,10654
2016,滋賀県,7876
2016,京都府,20987
2016,大阪府,119876
2016,兵庫県,46789
2016,奈良県,8765
2016,和歌山県,5567
2016,鳥取県,2123
2016,島根県,2121
2016,岡山県,12345
2016,広島県,20876
2016,山口県,6345
2016,徳島県,3654
2016,香川県,5234
2016,愛媛県,7432
2016,高知県,3567
2016,福岡県,50567
2016,佐賀県,4234
2016,長崎県,6345
2016,熊本県,10234
2016,大分県,5567
2016,宮崎県,5234
2016,鹿児島県,8234
2016,沖縄県,8123
2017,北海道,38765
2017,青森県,4876
2017,岩手県,3678
2017,宮城県,17876
2017,秋田県,2567
2017,山形県,3567
2017,福島県,7234
2017,茨城県,21234
2017,栃木県,10876
2017,群馬県,11123
2017,埼玉県,60876
2017,千葉県,53456
2017,東京都,131234
2017,神奈川県,61234
2017,新潟県,8321
2017,富山県,3765
2017,石川県,4432
2017,福井県,2456
2017,山梨県,4123
2017,長野県,8123
2017,岐阜県,9765
2017,静岡県,22123
2017,愛知県,67654
2017,三重県,9765
2017,滋賀県,7234
2017,京都府,19345
2017,大阪府,112345
2017,兵庫県,43567
2017,奈良県,8123
2017,和歌山県,5123
2017,鳥取県,1987
2017,島根県,1965
2017,岡山県,11432
2017,広島県,19456
2017,山口県,5876
2017,徳島県,3345
2017,香川県,4876
2017,愛媛県,6876
2017,高知県,3234
2017,福岡県,47654
2017,佐賀県,3876
2017,長崎県,5876
2017,熊本県,9567
2017,大分県,5123
2017,宮崎県,4876
2017,鹿児島県,7654
2017,沖縄県,7543
2018,北海道,35234
2018,青森県,4321
2018,岩手県,3234
2018,宮城県,16321
2018,秋田県,2234
2018,山形県,3123
2018,福島県,6543
2018,茨城県,19567
2018,栃木県,9876
2018,群馬県,10123
2018,埼玉県,56543
2018,千葉県,49876
2018,東京都,124567
2018,神奈川県,57234
2018,新潟県,7567
2018,富山県,3432
2018,石川県,3987
2018,福井県,2123
2018,山梨県,3765
2018,長野県,7432
2018,岐阜県,8876
2018,静岡県,20234
2018,愛知県,62345
2018,三重県,8876
2018,滋賀県,6567
2018,京都府,17654
2018,大阪府,104567
2018,兵庫県,40567
2018,奈良県,7456
2018,和歌山県,4654
2018,鳥取県,1765
2018,島根県,1765
2018,岡山県,10567
2018,広島県,17987
2018,山口県,5321
2018,徳島県,2987
2018,香川県,4432
2018,愛媛県,6234
2018,高知県,2876
2018,福岡県,44321
2018,佐賀県,3456
2018,長崎県,5345
2018,熊本県,8765
2018,大分県,4654
2018,宮崎県,4432
2018,鹿児島県,6987
2018,沖縄県,6987
2019,北海道,31876
2019,青森県,3765
2019,岩手県,2876
2019,宮城県,14876
2019,秋田県,1987
2019,山形県,2765
2019,福島県,5876
2019,茨城県,17876
2019,栃木県,8987
2019,群馬県,9234
2019,埼玉県,52345
2019,千葉県,46543
2019,東京都,117654
2019,神奈川県,53456
2019,新潟県,6876
2019,富山県,3123
2019,石川県,3567
2019,福井県,1876
2019,山梨県,3432
2019,長野県,6765
2019,岐阜県,8123
2019,静岡県,18567
2019,愛知県,57654
2019,三重県,8123
2019,滋賀県,5987
2019,京都府,16234
2019,大阪府,97654
2019,兵庫県,37654
2019,奈良県,6876
2019,和歌山県,4234
2019,鳥取県,1567
2019,島根県,1567
2019,岡山県,9876
2019,広島県,16543
2019,山口県,4876
2019,徳島県,2654
2019,香川県,3987
2019,愛媛県,5654
2019,高知県,2567
2019,福岡県,41234
2019,佐賀県,3123
2019,長崎県,4876
2019,熊本県,7987
2019,大分県,4234
2019,宮崎県,3987
2019,鹿児島県,6321
2019,沖縄県,6432
2020,北海道,26543
2020,青森県,3123
2020,岩手県,2321
2020,宮城県,12567
2020,秋田県,1654
2020,山形県,2234
2020,福島県,4876
2020,茨城県,15234
2020,栃木県,7654
2020,群馬県,7987
2020,埼玉県,45678
2020,千葉県,40876
2020,東京都,104321
2020,神奈川県,46789
2020,新潟県,5876
2020,富山県,2654
2020,石川県,2987
2020,福井県,1567
2020,山梨県,2876
2020,長野県,5654
2020,岐阜県,6876
2020,静岡県,15876
2020,愛知県,49876
2020,三重県,6876
2020,滋賀県,5123
2020,京都府,13876
2020,大阪府,86543
2020,兵庫県,33234
2020,奈良県,5876
2020,和歌山県,3567
2020,鳥取県,1321
2020,島根県,1312
2020,岡山県,8654
2020,広島県,14321
2020,山口県,4234
2020,徳島県,2234
2020,香川県,3432
2020,愛媛県,4876
2020,高知県,2123
2020,福岡県,36234
2020,佐賀県,2654
2020,長崎県,4123
2020,熊本県,6876
2020,大分県,3567
2020,宮崎県,3321
2020,鹿児島県,5432
2020,沖縄県,5567
2021,北海道,24321
2021,青森県,2876
2021,岩手県,2123
2021,宮城県,11567
2021,秋田県,1432
2021,山形県,2012
2021,福島県,4432
2021,茨城県,14123
2021,栃木県,7123
2021,群馬県,7321
2021,埼玉県,42345
2021,千葉県,37654
2021,東京都,96543
2021,神奈川県,43456
2021,新潟県,5321
2021,富山県,2432
2021,石川県,2765
2021,福井県,1432
2021,山梨県,2567
2021,長野県,5123
2021,岐阜県,6321
2021,静岡県,14567
2021,愛知県,46543
2021,三重県,6321
2021,滋賀県,4765
2021,京都府,12876
2021,大阪府,81234
2021,兵庫県,30876
2021,奈良県,5432
2021,和歌山県,3234
2021,鳥取県,1213
2021,島根県,1198
2021,岡山県,8012
2021,広島県,13321
2021,山口県,3876
2021,徳島県,2012
2021,香川県,3123
2021,愛媛県,4432
2021,高知県,1876
2021,福岡県,33876
2021,佐賀県,2432
2021,長崎県,3765
2021,熊本県,6321
2021,大分県,3234
2021,宮崎県,2987
2021,鹿児島県,4987
2021,沖縄県,5123
2022,北海道,25876
2022,青森県,2987
2022,岩手県,2234
2022,宮城県,12123
2022,秋田県,1543
2022,山形県,2123
2022,福島県,4654
2022,茨城県,14876
2022,栃木県,7567
2022,群馬県,7654
2022,埼玉県,44567
2022,千葉県,39876
2022,東京都,101234
2022,神奈川県,45678
2022,新潟県,5567
2022,富山県,2543
2022,石川県,2876
2022,福井県,1543
2022,山梨県,2654
2022,長野県,5432
2022,岐阜県,6654
2022,静岡県,15321
2022,愛知県,48765
2022,三重県,6654
2022,滋賀県,5012
2022,京都府,13567
2022,大阪府,85678
2022,兵庫県,32567
2022,奈良県,5678
2022,和歌山県,3432
2022,鳥取県,1287
2022,島根県,1267
2022,岡山県,8432
2022,広島県,13987
2022,山口県,4123
2022,徳島県,2123
2022,香川県,3321
2022,愛媛県,4654
2022,高知県,1987
2022,福岡県,35678
2022,佐賀県,2567
2022,長崎県,3987
2022,熊本県,6654
2022,大分県,3432
2022,宮崎県,3123
2022,鹿児島県,5234
2022,沖縄県,5432
2023,北海道,27654
2023,青森県,3123
2023,岩手県,2432
2023,宮城県,13234
2023,秋田県,1654
2023,山形県,2321
2023,福島県,5012
2023,茨城県,15987
2023,栃木県,8234
2023,群馬県,8321
2023,埼玉県,48234
2023,千葉県,43234
2023,東京都,109876
2023,神奈川県,49876
2023,新潟県,6123
2023,富山県,2765
2023,石川県,3123
2023,福井県,1654
2023,山梨県,2876
2023,長野県,5876
2023,岐阜県,7234
2023,静岡県,16876
2023,愛知県,53456
2023,三重県,7234
2023,滋賀県,5432
2023,京都府,14876
2023,大阪府,93456
2023,兵庫県,35678
2023,奈良県,6123
2023,和歌山県,3765
2023,鳥取県,1432
2023,島根県,1387
2023,岡山県,9234
2023,広島県,15234
2023,山口県,4567
2023,徳島県,2321
2023,香川県,3654
2023,愛媛県,5123
2023,高知県,2234
2023,福岡県,39234
2023,佐賀県,2876
2023,長崎県,4432
2023,熊本県,7321
2023,大分県,3765
2023,宮崎県,3456
2023,鹿児島県,5765
2023,沖縄県,6012
