collection_no,collection_name,lng,lat,mid_ma,formation,n_occurrences,n_genera,n_herbivore,n_predator
156736,Camel Bay,-106.894447,42.347221,10.5,,1,1,1,0
156738,UCMP V-99563,-120.553055,36.544167,14.4,Temblor,18,10,12,6
156739,Middle Oro Loma assemblage,-120.536667,36.523335,10.95,Oro Loma,1,1,1,0
156740,Upper Oro Loma assemblage,-120.536667,36.523335,7.050000000000001,Oro Loma,3,3,3,0
156741,Uppermost Oro Loma assemblage,-120.536667,36.523335,7.050000000000001,Oro Loma,1,1,1,0
156991,Marsland,-103.298615,42.44389,17.4,Runningwater,1,1,1,0
156993,15 Miles Northeast of Marsland,-103.140282,42.629444,17.4,Runningwater,1,1,1,0
157001,The Cove,-119.566666,44.333889,19.509999999999998,John Day,8,5,7,1
157237,UOMNH 3720,-119.28083,46.226391,7.050000000000001,Ringold,1,1,1,0
157331,NMMNH locality L-7475,-106.900002,33.799999,10.95,Popotosa,1,1,1,0
157349,El Mixtón,-102.962776,21.714443,7.050000000000001,Juchipila,10,5,8,2
157350,Puente de Cofradía,-102.898888,21.734167,7.050000000000001,Juchipila,2,1,2,0
157351,El Resbalón,-102.99028,21.606943,7.050000000000001,Juchipila,7,5,6,1
159094,Tributary of Ellison Creek,-115.304443,39.1675,14.4,,1,1,0,1
159702,Kam’s False-cat Locality,-117.996666,35.396942,10.95,Dove Spring,1,1,0,1
159704,Crane Bridge,-100.800003,42.799999,10.95,Ash Hollow,1,1,1,0
160680,Craterogale simus type locality,-102.722221,42.697777,17.4,Runningwater,1,1,0,1
163572,Pekania occulta type locality,-119.634399,44.523701,7.050000000000001,Rattlesnake,1,1,0,1
163573,Powerline Road Tom Quarry,-118.014503,35.397099,7.050000000000001,Dove Spring,8,6,6,2
163779,Fort Polk Collection,-93.276108,31.05611,14.4,,2,0,2,0
163789,Fort Polk East,-93.29583,31.038334,14.186499999999999,,1,1,1,0
163850,Fort Polk Castor Creek,-93.186111,31.075832,14.186499999999999,,2,0,0,0
163859,Fort Polk Castor Creek,-93.179169,31.061666,14.186499999999999,,13,12,10,3
164387,Vernon Parish ,-93.078545,31.073423,19.509999999999998,,1,0,1,0
167830,Cooper Center 02019,-117.714447,33.826111,17.4,Sespe,7,7,4,3
167840,LC 151,-117.733612,33.77972,17.4,Vaqueros,15,15,14,0
167841,LC 164,-117.733612,33.77972,17.4,Vaqueros,17,16,12,3
167842,LC 169,-117.733612,33.77972,17.4,Vaqueros,12,12,11,1
167844,Cooper Center 02027,-117.746941,33.745556,17.4,Vaqueros,4,3,3,0
167861,Deahl Butte,-104.218056,42.240833,17.4,Carpenter Ranch,1,1,1,0
167862,Merycochoerus Butte,-104.078888,42.237499,17.4,Carpenter Ranch,5,5,4,1
167863,East Sturdivant Butte,-104.046387,42.265278,17.4,Carpenter Ranch,3,3,2,1
167864,Dog Jaw Butte,-104.089165,42.241669,17.4,Carpenter Ranch,1,0,0,1
167866,Picture Gorge 36,-119.622002,44.7006,17.4,John Day,15,14,11,4
167867,Red Horse Quarry,-103.099998,42.799999,17.4,Runningwater,1,1,0,1
169259,Santa Cruz (Hemphillian),-106.199997,35.5,7.050000000000001,Chamita,2,1,2,0
170148,UNSM Dw-120,-103.317703,42.374001,17.4,Runningwater,1,1,1,0
170180,SW Durham,-99.977333,35.828613,7.54,Ogallala,1,1,1,0
170181,Antelope Hills 1,-99.850838,35.877739,7.54,Ogallala,2,2,2,0
170182,Antelope Hills 2,-99.8675,35.888187,7.54,Ogallala,1,1,1,0
170183,Antelope Hills 3,-99.853912,35.890671,7.54,Ogallala,1,1,1,0
170184,OMNH V619,-99.833458,35.854462,7.54,Ogallala,1,0,0,1
170185,Spring Creek 1,-99.839516,35.774616,10.5,Ogallala,4,1,4,0
170186,Trail Branch 1,-99.651833,35.794788,7.54,Ogallala,1,1,1,0
170187,Boggy Creek,-99.62851,35.802917,8.6,Ogallala,1,1,1,0
170191,Sourdough Creek 1,-99.605713,35.787319,7.050000000000001,Ogallala,3,2,3,0
170193,Sourdough Creek 2,-99.605713,35.787319,7.54,Ogallala,2,0,2,0
170194,Rhome,-99.565605,35.771294,7.54,Ogallala,2,2,2,0
170196,Wild Horse Creek 2,-99.658272,35.774445,8.6,Ogallala,2,0,1,1
170197,Gas well pad site,-99.651924,35.755917,7.050000000000001,Ogallala,2,1,2,0
170199,Picnic table site,-99.844604,35.62458,7.54,Ogallala,2,1,2,0
170200,Cheyenne West,-99.807251,35.609005,12.850000000000001,Ogallala,1,1,1,0
170201,Dempsey site,-99.862206,35.540962,7.050000000000001,Ogallala,1,1,0,1
170202,Sergeant Major Creek 3,-99.738579,35.512383,7.54,Ogallala,2,0,2,0
170203,OMNH V617,-99.713554,35.528278,7.54,Ogallala,1,1,1,0
170204,OMNH V620,-99.70813,35.509773,7.54,Ogallala,1,0,1,0
170308,Picture Gorge 1,-119.646988,44.744091,20.8,John Day,11,6,9,2
170310,Rose Creek South,-119.632217,44.70866,17.4,John Day,3,2,3,0
170312,Dead Cow Gulch,-119.661194,44.720039,17.4,John Day,1,1,1,0
173691,Paso del Águila ,-100.650002,22.25,8.4815,San Nicolás,3,1,3,0
17444,ACM Rosebud 4,-102.5,43.299999,20.8,Harrison,1,1,1,0
17445,ACM Rosebud 5,-102.5,43.299999,20.8,Harrison,3,2,2,1
17449,AMNH Rosebud 3,-102.5,43.299999,20.8,Harrison,1,1,1,0
17451,AMNH Rosebud 7,-102.5,43.299999,20.8,Harrison,12,9,10,2
17454,AMNH Rosebud 14,-102.5,43.299999,20.8,Harrison,1,1,1,0
17455,AMNH Rosebud 15,-102.5,43.299999,20.8,Harrison,6,3,5,1
17456,AMNH Rosebud 19,-102.5,43.299999,20.8,Harrison,1,1,0,1
17457,AMNH Rosebud 20,-102.5,43.299999,20.8,Harrison,2,2,2,0
174577,McConnell-Trenholm Site,-99.267799,43.4939,14.4,Fort Randall,9,4,9,0
174578,Foothold Hill,-99.267799,43.4939,14.4,Fort Randall,4,4,3,0
174579,Northern Exposure,-99.267799,43.4939,14.4,Fort Randall,2,2,2,0
17458,AMNH Rosebud 21,-102.5,43.299999,20.8,Harrison,4,4,4,0
17506,F:AM Rosebud 2,-102.5,43.299999,20.8,Harrison,1,1,1,0
17519,Harrison (LACM 2012),-102.5,43.299999,20.8,Harrison,2,1,0,2
175214,LACM 7838,-120.019547,39.879505,7.050000000000001,,1,1,1,0
175215,LACM 7832,-120.020737,39.750057,7.050000000000001,,3,2,3,0
175216,LACM 7837,-120.01712,39.744156,7.050000000000001,,2,2,2,0
175217,LACM 7840,-120.044785,39.833462,7.050000000000001,,3,3,3,0
175218,LACM 7833,-120.022461,39.752258,7.050000000000001,,3,2,3,0
175219,LACM 7834,-120.023514,39.758217,7.050000000000001,,3,2,3,0
175220,LACM 7835,-120.012985,39.739872,7.050000000000001,,2,1,2,0
175221,LACM 7836,-120.021111,39.732121,7.050000000000001,,2,1,2,0
175222,LACM 7839,-120.021568,39.711807,7.050000000000001,,1,1,1,0
175228,Babcock/Foisy Locality,-120.639999,46.459999,8.6,Ellensburg,9,7,6,3
175256,La Escalera,-103.0,21.75,7.050000000000001,Juchipila,3,2,3,0
175257,La Presa,-100.800003,21.0,7.050000000000001,,7,6,7,0
17528,John Day Unit L,-119.633331,44.700001,21.6,John Day,18,17,17,1
176936,Suwannee Springs Roadcut,-82.900002,29.9,17.4,Marks Head,1,1,1,0
17704,"Tunnel Hill, Ledingham ranch",-103.800003,42.400002,21.6,Harrison,7,6,5,2
17732,33 Ranch,-103.800003,42.400002,20.8,Harrison,1,1,1,0
17733,1/2 Mile North of Agate Post Office,-103.800003,42.400002,20.8,,1,1,1,0
17734,Agate (1 Mile NE),-103.800003,42.400002,20.8,Harrison,1,1,1,0
17735,Agate (2 Miles NE),-103.800003,42.400002,20.8,Marsland,1,0,0,1
17736,Agate (3 Miles NE),-103.800003,42.400002,20.8,Marsland,2,2,1,1
17737,Agate (4 Miles N),-103.800003,42.400002,20.8,Marsland,2,2,2,0
17738,Agate (5-7 Miles NE),-103.800003,42.400002,20.8,Marsland,7,7,5,1
17739,Agate (7 Miles NE),-103.800003,42.400002,20.8,Marsland,1,1,1,0
17740,Agate (8 Miles NE),-103.800003,42.400002,20.8,Harrison,2,2,2,0
17741,Agate Springs Quarries,-103.866669,42.416668,20.8,Marsland,19,14,14,5
17742,Alamos Canyon,-119.0,34.299999,20.8,Sespe,3,3,3,0
17743,American Horse Creek,-102.5,43.299999,20.8,Harrison,4,4,3,1
17744,American Museum-Cook Quarry,-103.800003,42.400002,20.8,Marsland,11,9,4,7
17745,AMNH Rosebud 5,-102.295303,43.1796,20.8,Rosebud,10,10,7,3
17746,AMNH Rosebud 6,-102.5,43.299999,20.8,Rosebud,1,1,1,0
17747,AMNH Rosebud 16,-102.5,43.299999,20.8,,6,5,6,0
17748,AMNH Rosebud 17,-102.5,43.299999,20.8,Rosebud,8,8,6,2
17749,AMNH Rosebud 18,-102.5,43.299999,20.8,Rosebud,6,4,6,0
17750,AMNH Rosebud 22,-102.5,43.299999,20.8,Rosebud,3,2,1,2
17751,AMNH Rosebud 23,-102.5,43.299999,20.8,,2,2,2,0
17752,AMNH Rosebud 24,-102.5,43.299999,20.8,Rosebud,2,2,1,1
17753,AMNH Rosebud 26,-102.5,43.299999,20.8,Rosebud,1,1,1,0
17754,AMNH Rosebud 27,-102.5,43.299999,20.8,Rosebud,3,3,2,1
17755,AMNH Rosebud 28,-102.5,43.299999,20.8,Rosebud,2,1,1,0
17756,AMNH Rosebud 29,-102.5,43.299999,20.8,Rosebud,4,4,3,1
17757,Andrews,-103.800003,42.400002,20.8,,1,1,1,0
17758,Anxiety Butte (Late Arikarean),-108.800003,49.599998,20.8,,4,4,4,0
17759,Bear Creek,-105.0,42.099998,20.8,,1,1,1,0
17760,Black Butte Mine,-117.0,34.799999,20.8,Hector,2,2,2,0
17761,Blacktail Deer Creek,-112.800003,45.0,20.8,Blacktail Deer Creek,6,5,5,0
17762,Bolero Lookout,-117.800003,33.599998,17.4,Vaqueros,5,3,3,0
17763,Brooksville,-82.199997,28.5,20.8,,5,2,4,1
17765,Canyon Spring,-115.657265,33.549671,19.509999999999998,Diligencia,1,1,1,0
17766,Cart Trail Quarry,-103.099998,42.200001,20.8,,1,1,1,0
17767,Castolon (TMM 40620),-103.199997,29.200001,20.8,Delaho,7,7,7,0
17768,Castolon (TMM 40635),-103.199997,29.200001,20.8,Delaho,16,11,11,3
17769,Castolon (TMM 40693),-103.199997,29.200001,20.8,Delaho,4,4,3,1
17770,Castolon (TMM 40694),-103.199997,29.200001,20.8,Delaho,2,2,2,0
17771,Castolon (TMM 40726),-103.199997,29.200001,20.8,Delaho,2,2,2,0
17772,Castolon (TMM 40823),-103.199997,29.200001,20.8,Delaho,2,2,2,0
17773,Castolon (TMM 40849),-103.199997,29.200001,20.8,Delaho,2,2,1,1
17774,Castolon (TMM 40879),-103.199997,29.200001,20.8,Delaho,3,3,1,2
17775,Castolon (TMM 40918),-103.199997,29.200001,20.8,Delaho,4,4,3,1
17776,Castolon (TMM 41460),-103.199997,29.200001,20.8,Delaho,2,2,2,0
17777,Chugwater,-105.0,42.099998,20.8,,5,5,3,2
17778,Diceratherium Quarry,-103.800003,42.400002,20.8,,1,1,1,0
17779,Eagle Nest Butte (Harrison),-101.900002,43.5,20.8,,1,1,0,1
17780,Eighteen Mile District,-104.199997,42.0,20.8,,10,8,5,5
17781,First Breaks South of Harrison,-103.800003,42.400002,20.8,Harrison,1,1,1,0
17782,FMNH Rosebud 2,-102.5,43.299999,20.8,Rosebud,1,1,1,0
17783,FMNH Rosebud 3,-102.5,43.299999,20.8,Rosebud,1,1,1,0
17784,Franklin Phosphate Pit No. 2,-82.099998,29.799999,20.8,,7,4,6,1
17785,Freeman Ranch,-104.5,43.0,20.8,Marsland,1,1,0,1
17786,Galusha Stenomylus Quarry,-103.099998,42.200001,20.8,,2,2,2,0
17787,Grasshopper Creek,-112.800003,45.0,20.8,,3,2,3,0
17788,Guernsey,-105.0,42.099998,20.8,Marsland,14,13,9,5
17789,Harper Quarry,-103.800003,42.400002,20.8,Marsland,10,7,6,4
17791,Hay Springs Creek (Upper Harrison),-102.816666,42.683334,20.8,Marsland,1,1,1,0
17792,Hole in the Rock,-103.800003,42.400002,20.8,Harrison,1,1,0,0
17793,Jay Em,-104.199997,42.0,20.8,Marsland,14,13,9,5
17794,Keeline,-104.5,43.0,20.8,Harrison,23,19,15,8
17796,Lay Ranch Beds,-104.199997,42.0,20.8,,13,10,8,5
17797,Leadville,-105.699997,39.700001,20.8,,1,1,0,1
17798,6 mi. NW of Lingle,-104.199997,42.0,20.8,,2,2,2,0
17799,Lions Bridge,-100.800003,42.799999,20.8,,1,1,1,0
17801,Manville,-104.5,43.0,20.8,,7,5,6,1
17802,McCann Canyon Quarry,-100.800003,42.799999,20.8,Harrison,24,23,19,0
17803,Mint Canyon (UC 3554),-118.389931,34.483662,20.8,Tick Canyon,1,1,1,0
17804,Mint Canyon (UC 3568),-118.383003,34.485954,20.8,Tick Canyon,1,1,1,0
17805,Morava Ranch Quarry,-103.099998,42.200001,20.8,,19,17,14,5
17806,Mouth of Bear Creek 1,-100.800003,42.799999,20.8,Harrison,1,1,1,0
17807,Mouth of Bear Creek 2,-100.800003,42.799999,20.8,Harrison,1,1,1,0
17808,Mouth of Bear Creek 3,-100.800003,42.799999,20.8,Harrison,1,1,1,0
17809,Niobrara Canyon,-103.800003,42.400002,20.8,Marsland,16,12,11,5
17810,North Boulder Valley,-112.0,46.0,20.8,Renova,7,6,7,0
178104,"UCMP loc. V2832, Hemphill County 6",-100.279999,35.830002,7.050000000000001,,3,2,3,0
17811,North of Jeriah (Harrison),-104.5,43.0,20.8,,4,4,2,2
17812,Northeast of Lusk,-104.5,43.0,20.8,,2,2,1,1
17813,North of Node,-104.5,43.0,20.8,,4,3,3,1
17814,North Pettus,-97.699997,28.6,20.8,,1,1,1,0
17815,North Ridge Highway 85,-104.5,43.0,20.8,,9,6,4,5
17816,Olson Ranch,-100.800003,42.799999,20.8,Harrison,24,23,17,0
17817,Parahippus Level,-104.199997,42.0,20.8,Marsland,5,3,5,0
17818,Peterson's Quarry A,-103.800003,42.400002,20.8,Harrison,4,2,4,0
17819,Pine Ridge Escarpment,-103.800003,42.400002,20.8,Harrison,26,22,18,8
17820,Podelack Ranch,-104.199997,42.0,20.8,Marsland,1,1,0,1
17821,Raw Hide Buttes (Lower Harrison),-104.5,43.0,20.8,,6,6,5,1
17823,Raw Hide Creek (Lower Harrison),-104.199997,42.0,20.8,Harrison,2,2,1,1
17824,Raw Hide Creek (Upper Harrison),-104.199997,42.0,20.8,Marsland,5,4,4,1
17825,Rosebud (LACM 1830),-102.5,43.299999,20.8,Rosebud,3,3,3,0
17826,Rosebud (LACM 1864),-102.5,43.299999,20.8,Rosebud,1,0,1,0
17827,Rosebud (LACM 1865),-102.5,43.299999,20.8,Rosebud,1,1,1,0
17828,Rosebud (LACM 1873),-102.5,43.299999,20.8,Rosebud,2,1,2,0
17829,Rosebud (LACM 1993),-102.5,43.299999,20.8,Rosebud,1,1,1,0
17830,Rosebud (LACM 1998),-102.5,43.299999,20.8,Rosebud,1,1,1,0
17831,Rosebud (LACM 2003),-102.5,43.299999,20.8,Rosebud,4,2,4,0
17832,Rosebud (SDSM 554),-102.5,43.299999,20.8,Rosebud,1,1,0,1
17833,Royal Valley,-104.400002,42.619999,20.8,Marsland,9,9,5,4
17834,Rushville,-102.5,42.700001,20.8,,1,1,1,0
17835,Sand Gulch,-104.199997,42.0,20.8,Marsland,8,7,6,2
17836,Santana Mesa,-104.199997,29.9,20.8,Rawls,8,6,7,1
17837,SB-1A,-83.0,30.299999,20.8,,16,12,7,7
17838,Silver Springs,-104.5,43.0,20.8,Marsland,3,3,1,2
17839,Sixteen Mile District,-104.199997,42.0,20.8,,10,9,7,3
17840,Southeast of Lusk,-104.5,43.0,20.8,Marsland,3,3,2,1
17841,South of Merriman,-100.800003,42.799999,20.8,Harrison,1,1,1,0
17842,South Side of Dry Creek,-103.099998,42.200001,20.8,Marsland,2,2,0,2
17843,Stage Hill II,-103.666664,41.700001,20.8,Wildcat Hills Beds,27,27,22,0
17844,Standing Rock Quarry,-107.0,35.700001,20.8,Zia Sand,9,8,5,4
17845,Stenomylus Quarry,-103.800003,42.400002,20.8,Harrison,5,5,4,1
17846,Syndyoceras Quarry,-103.800003,42.400002,20.8,Harrison,11,11,4,7
17847,Twelve-Fifteen Mile District,-104.199997,42.0,20.8,,6,5,5,1
17848,Twenty Mile District,-104.199997,42.0,20.8,,3,3,2,1
17849,Twentytwo Mile District,-104.199997,42.0,20.8,,1,1,1,0
17850,Twentyfive Mile District,-104.199997,42.0,20.8,Marsland,5,4,3,2
17853,Van Tassel (Lower),-104.5,43.0,20.8,,9,9,6,2
17854,Van Tassel (Upper),-104.5,43.0,20.8,,8,7,3,5
17856,West Morava Ranch,-103.099998,42.200001,20.8,Harrison,3,2,3,0
17857,Whistle Creek (Lower),-103.800003,42.400002,20.8,Harrison,1,1,0,1
17858,Whistle Creek (Upper),-103.800003,42.400002,20.8,Marsland,2,2,1,1
17861,Woodin,-112.599998,45.799999,20.8,,4,4,4,0
17862,Young Site,-103.800003,42.400002,20.8,Harrison,2,1,1,0
17863,Zodiolestes Locality,-103.800003,42.400002,20.8,Harrison,5,3,3,2
17864,Ahren's Prospect,-103.099998,42.799999,17.4,Runningwater,2,2,0,2
17865,Aletomeryx Quarry,-102.01667,42.75,17.4,Runningwater,12,10,5,7
17866,Andrews,-103.800003,42.400002,17.4,,1,1,1,0
17867,Antelope Creek,-103.099998,42.799999,17.4,,3,3,3,0
17868,Anxiety Butte (SMNH 72F10-0043),-108.800003,49.599998,17.4,Cypress Hills,5,4,5,0
17869,Anxiety Butte (SMNH 72F10-0056),-108.800003,49.599998,17.4,Cypress Hills,3,1,3,0
17870,Anxiety Butte (SMNH 72F10-0060),-108.800003,49.599998,17.4,Cypress Hills,5,4,5,0
17871,Aphelops Draw (Sheep Creek),-103.800003,42.400002,17.4,Sheep Creek,5,5,5,0
17872,Ashbrook Quarry,-103.800003,42.400002,17.4,Sheep Creek,4,3,3,1
17873,Warren Barnum Ranch,-103.099998,42.799999,17.4,Runningwater,2,2,1,1
17874,Belmont Area,-103.099998,42.799999,17.4,Runningwater,2,2,0,2
17875,Below Dry Creek Prospect B,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17876,Below Observation Quarry,-103.099998,42.799999,17.4,,1,1,1,0
17877,Black Bear Quarry I,-101.800003,43.200001,17.4,Batesland,21,16,15,0
17878,Black Bear Quarry II,-101.800003,43.200001,17.4,Rosebud,20,11,13,0
17879,Blair Ranch Quarry,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17880,Boulder Quarry,-103.800003,42.400002,14.4,Olcott,13,12,7,6
17881,Bridgeport Quarries,-103.099998,41.700001,17.4,Runningwater,20,17,12,8
17882,Brown Quarry,-103.800003,42.400002,17.4,Runningwater,1,1,0,1
17883,Buck Quarry,-103.800003,42.400002,17.4,Sheep Creek,2,2,2,0
17884,Canyon Ferry Reservoir 24LC21,-112.099998,46.599998,17.4,,1,0,1,0
17885,Canyon Ferry Reservoir Earl Douglass Location,-111.300003,46.099998,17.4,,1,1,1,0
17886,Carpenter Ranch Beds,-104.199997,42.0,17.4,,11,3,8,3
17887,Cephalogale Ash,-103.099998,42.799999,17.4,Runningwater,1,1,0,1
17888,Clinton Highway Locality,-102.5,42.700001,17.4,Runningwater,5,5,1,4
17889,Companion Quarry,-103.699997,42.150002,17.4,Sheep Creek,22,22,16,0
17890,Conference Quarry,-103.800003,42.400002,17.4,Sheep Creek,1,1,0,1
17891,Cottonwood Creek Quarry,-103.099998,42.799999,17.4,Runningwater,9,9,3,6
17892,Cottonwood Creek (UNSM Dw-118),-102.960701,42.488899,17.4,Runningwater,22,20,16,1
17893,Courthouse Butte,-104.199997,40.799999,17.4,Pawnee Creek,2,2,1,1
17894,Cross Cut Prospect,-103.099998,42.799999,17.4,Runningwater,1,1,0,1
17895,Dry Creek Prospect A,-103.099998,42.200001,17.4,Box Butte,7,7,6,1
17896,Dry Creek Prospect B,-103.099998,42.200001,17.4,Box Butte,4,4,1,3
17897,Dry Creek Prospect D,-103.099998,42.200001,17.4,Box Butte,3,3,3,0
17898,Dunlap Camel Quarry,-103.099998,42.799999,17.4,Runningwater,16,16,6,10
17899,East Channel Prospect,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17900,East Hilltop Quarry,-103.800003,42.400002,17.4,Sheep Creek,1,1,1,0
17901,East Jenkins Quarry,-103.800003,42.400002,14.4,Olcott,3,3,3,0
17902,East Ravine Quarry,-103.800003,42.400002,17.4,Sheep Creek,4,4,3,1
17903,East Sand Quarry,-103.800003,42.400002,14.4,Olcott,9,8,7,2
17904,East Surface Quarry,-103.800003,42.400002,14.4,Olcott,21,20,14,7
17905,Echo Quarry,-103.732651,42.1856,14.4,Olcott,32,30,19,13
17906,Elder Ranch,-103.099998,42.799999,17.4,Runningwater,4,4,0,4
17907,Esther Canyon,-103.099998,42.799999,17.4,Box Butte,3,2,2,1
17908,Eubanks,-104.199997,40.799999,17.4,Pawnee Creek,21,19,17,4
17909,Expectation Prospect,-103.099998,42.799999,17.4,Sand Canyon,1,1,0,1
17910,Farmingdale,-74.300003,40.299999,17.4,Kirkwood,7,4,6,1
17911,Far Surface Quarry,-103.800003,42.400002,14.4,Olcott,13,13,7,6
17912,Flint Hill North,-101.866669,43.133331,17.4,Batesland,44,31,31,6
17913,Flint Hill South Unit 2,-101.800003,43.200001,17.4,Batesland,10,9,7,0
17914,Flint Hill South Unit 6,-101.800003,43.200001,17.4,Batesland,15,12,11,0
17915,Foley Quarry,-103.099998,42.200001,17.4,Box Butte,14,8,12,1
17916,Gilmore Quarry,-103.099998,42.799999,17.4,,1,1,1,0
17917,Ginn Quarry,-103.099998,42.799999,17.4,,10,9,6,4
17918,G Quarry,-103.099998,42.799999,17.4,,1,1,0,1
17919,Grass Roots Quarry,-103.800003,42.400002,14.4,Olcott,8,8,6,2
17920,Greenside Quarry,-103.800003,42.400002,17.4,Sheep Creek,21,19,14,6
17921,Gregory Ranch,-103.099998,42.799999,17.4,Runningwater,1,1,0,1
17922,Hank's Locality,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17923,Havorka Quarry,-103.099998,42.799999,17.4,Runningwater,3,3,1,2
17924,Hay Springs Creek (Runningwater),-103.099998,42.799999,17.4,Runningwater,4,4,3,1
17925,Haystack Member,-120.199997,44.900002,17.4,John Day,15,13,13,2
17926,Hemingford A Quarry,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17927,Hemingford B Quarry,-103.099998,42.799999,17.4,Runningwater,9,9,7,2
17928,Hemingford C Quarry,-103.099998,42.799999,17.4,Runningwater,1,1,0,1
17929,Hemingford Quarry 0,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17930,Hemingford Quarry 2,-103.099998,42.200001,17.4,Runningwater,1,1,1,0
17931,Hemingford Quarry 3,-103.099998,42.200001,17.4,Runningwater,1,1,1,0
17932,Hemingford Quarry 7,-103.099998,42.200001,17.4,Runningwater,7,7,1,5
17933,Hemingford Quarry 7A,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17934,Hemingford Quarry 7B,-103.099998,42.200001,17.4,Runningwater,22,19,13,6
17935,Hemingford Quarry 9,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17936,Hemingford Quarry 11A,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17937,Hemingford Quarry 11B,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17938,Hemingford Quarry 12,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17939,Hemingford Quarry 12A,-103.099998,42.200001,17.4,Runningwater,1,1,1,0
17940,Hemingford Quarry 12B,-103.099998,42.200001,17.4,Runningwater,4,4,1,3
17941,Hemingford Quarry 12C,-103.099998,42.200001,17.4,Runningwater,1,1,1,0
17942,Hemingford Quarry 12D,-103.099998,42.200001,17.4,Runningwater,6,6,1,5
17943,Hemingford Quarry 17,-103.099998,42.200001,17.4,Runningwater,1,1,1,0
17944,Hemingford Quarry 21,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17945,Hemingford Quarry 23,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17946,Hemingford Quarry 24,-103.099998,42.799999,17.4,Runningwater,2,2,2,0
17947,Hemingford Quarry 25,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17948,Hemingford Quarry 27,-103.099998,42.200001,17.4,Runningwater,2,2,0,2
17949,Hemingford Quarry 28,-103.099998,42.200001,17.4,Runningwater,2,2,1,1
17950,Hemingford Quarry 51,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17952,Hilltop Quarry,-103.800003,42.400002,17.4,Sheep Creek,16,16,12,4
17953,Horse Creek Quarry,-105.099998,41.299999,17.4,"""middle Miocene""",7,5,6,1
17954,Hovarka Quarry,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17955,Humbug Quarry,-103.800003,42.400002,14.4,Olcott,25,24,13,12
17956,Jenkins Quarry,-103.800003,42.400002,14.4,Olcott,11,10,8,3
17957,Joe's Quarry,-105.099998,41.299999,17.4,"""middle Miocene""",5,5,5,0
17958,Johnson Canyon,-120.199997,44.900002,17.4,John Day,2,2,2,0
17959,Jorgenson Quarry,-103.099998,42.799999,17.4,,1,1,1,0
17960,Kildeer Mountains,-102.800003,47.400002,17.4,Kildeer,1,1,1,0
17961,Long Quarry,-103.800003,42.400002,17.4,Sheep Creek,18,18,12,6
