Category,Curve,N,F-stat,p (full),p (clean),AIC best,BIC best,RMSE_lin,RMSE_quad,Cook max,N influential,Verdict
Public Health,Linear No-Threshold (LNT),13,1273.5971053232279,7.0855543654602116e-12,8.714376997787099e-10,quadratic,quadratic,0.12259337475447725,0.010622790539473386,2.1680027522706045,1,ROBUST_NONLINEAR
Public Health,Fries Compression of Morbidity,11,21.6690544412386,0.0016340202835821716,0.2307629491558867,quadratic,quadratic,0.08418310142476497,0.04564217399647324,0.6973634651589833,2,OUTLIER_DEPENDENT
Public Health,Barker Hypothesis (U-shape),13,345.3417089230318,4.395673602886063e-09,4.321935972662061e-06,quadratic,quadratic,0.18522456793734798,0.03579922978538395,0.8383469995821435,2,ROBUST_NONLINEAR
Public Health,Omran Epidemiological Transition,183,0.10317912446081506,0.7484200710837557,0.6330348682691719,linear,linear,9.96173775698376,9.998964437542432,0.04840648106200763,4,NOT_SIGNIFICANT
Public Health,Wilkinson Curve,25,0.10761404987893498,0.7459786721327633,0.9820510194392811,linear,linear,2.3648157174519953,2.4305735535085273,0.3576925711169844,3,NOT_SIGNIFICANT
Public Health,BMI-Mortality J-Curve,9,12.202282010929505,0.012933252123455197,0.004258034625529539,quadratic,quadratic,0.43683787742948077,0.7161616309940924,2.065111867673563,2,OVERFITTING
Public Health,Alcohol-Mortality J-Curve,13,46.99438223570646,4.4299466973707347e-05,6.820080102121207e-05,quadratic,quadratic,0.14658304527003552,0.07873330661863748,1.0512492463406822,2,ROBUST_NONLINEAR
Demography,Demographic Transition (TFR),199,38.21664201727299,3.6048726226312056e-09,2.714324852659544e-07,quadratic,quadratic,0.7748665241193561,0.7121352505061583,0.08752758077453443,11,ROBUST_NONLINEAR
Demography,Bongaarts-Feeney Tempo Effect,26,0.16550540467729888,0.6878986433925869,0.5698672297980641,linear,linear,0.008934217983091686,0.009308747996653483,0.3475271297194952,1,NOT_SIGNIFICANT
Demography,Lee-Carter Mortality Model,92,104.63741984360529,1.1102230246251565e-16,4.1300296516055823e-14,quadratic,quadratic,8.557284454769023,5.828875475431002,0.1785402452560082,11,ROBUST_NONLINEAR
Demography,Coale-Trussell Fertility Schedule,13,34.66258196726247,0.00015362489558012893,0.03380825575418145,quadratic,quadratic,0.04138215830692266,0.024868549448023358,0.49061022729719256,1,ROBUST_NONLINEAR
Demography,Replacement Migration Curve,8,4.597310734236007,0.08487230090380304,0.7045964338671669,quadratic,quadratic,765.9871575725277,1072.863941798927,2.3432177871052384,1,NOT_SIGNIFICANT
Demography,Second Demographic Transition,109,0.2285015868306288,0.633621460988626,0.9186974425037419,linear,linear,0.5370505346234469,0.5403805190960148,0.21928906569758233,5,NOT_SIGNIFICANT
Environmental Science,Species-Area Curve,30,0.11914175129813265,0.7326418236773651,0.448911171230034,linear,linear,0.3520462819196302,0.35786782706589126,0.14012683098124518,1,NOT_SIGNIFICANT
Environmental Science,Hubbert Peak Oil (US),77,5.8412347870974894,0.01811976919456859,0.5187560305933081,quadratic,quadratic,1954.9979644679904,1913.9013017066968,0.16847544956287624,5,OUTLIER_DEPENDENT
Environmental Science,Keeling Curve (CO2),67,2343.127720055344,1.1102230246251565e-16,1.1102230246251565e-16,quadratic,quadratic,4.745051360133832,0.7758029454821798,0.18385600491299628,8,ROBUST_NONLINEAR
Environmental Science,HANPP vs Development,156,3.33726123802466,0.06967612246290311,0.7674243537494507,quadratic,linear,25.41113553081409,26.119437529319676,0.6490389262505059,6,NOT_SIGNIFICANT
Environmental Science,Jevons Paradox (Energy),66,13.449668231013627,0.0005054195979077303,0.008037540384078223,quadratic,quadratic,7405.6228842873115,6814.3735695511195,0.14265204286976083,5,ROBUST_NONLINEAR
Environmental Science,Forest Transition Curve,194,2.1651730806133824,0.1428143961493551,0.04286266472137257,quadratic,linear,24.416679624061786,24.390635106561312,0.04955484035527764,7,NOT_SIGNIFICANT
Psychology,Ebbinghaus Forgetting Curve,7,4.995127434445885,0.08911705039126994,0.9729134049914038,quadratic,quadratic,5.205614779102308,4.4192444229590375,2.127477450377338,2,NOT_SIGNIFICANT
Psychology,Weber-Fechner Law,17,3.912289722594563,0.0679608772095932,0.951877776505378,quadratic,quadratic,0.03927204843120313,0.03835351638641146,1.0922473392847796,1,NOT_SIGNIFICANT
Psychology,Dunning-Kruger Effect,18,875.5111917725343,1.021405182655144e-14,1.201226895730656e-10,quadratic,quadratic,3.9306457438108797,0.5406206746261595,0.5730174959254473,2,ROBUST_NONLINEAR
Psychology,Happiness U-Curve (Age),26,113.05034505980257,2.373691243562348e-10,1.5248623486119328e-07,quadratic,quadratic,0.3314099621452395,0.15303815759201436,0.28172221584233303,2,ROBUST_NONLINEAR
Physics,Hubble's Law,24,0.056741422998258594,0.8140313426680617,0.8879664773441711,linear,linear,243.9282157919774,259.9039080765738,0.2954660674392411,1,NOT_SIGNIFICANT
Physics,Kleiber's Law,422,44.92915355781268,6.616207581799927e-11,3.269162718311236e-12,quadratic,quadratic,0.18753956256745966,0.17894773078762474,0.07044704939156009,37,ROBUST_NONLINEAR
Physics,Gutenberg-Richter Law,10,5.4765817543117965,0.05182895975954138,0.5007856690411717,quadratic,quadratic,0.12844734282569592,0.10716916776222028,1.07985182847648,2,NOT_SIGNIFICANT
Physics,Moore's Law,99,6.319691113872247,0.013604493875413404,0.06334247661086134,quadratic,quadratic,0.2386082563777827,0.23180382958897705,0.13096452901571612,6,OUTLIER_DEPENDENT
Political Science,Lipset Hypothesis,181,15.873266101000771,9.86371195338398e-05,0.012129557654788736,quadratic,log,0.27930280551409065,0.26910577205370906,0.30404327099157447,6,ROBUST_NONLINEAR
Political Science,Duverger's Law,1660,36.640570116630265,1.7531240903423395e-09,9.92945059508088e-10,quadratic,quadratic,1.9112538870412044,1.8913554624522977,0.03280425604505622,95,ROBUST_NONLINEAR
Political Science,Zipf's Law (US Cities),100,9.031356588677712,0.0033778192899311943,0.07060745377022781,quadratic,quadratic,0.06504974918423169,0.0732095054890527,3.830540498926717,7,OUTLIER_DEPENDENT
Political Science,Crime-Temperature Curve,16,17.529286838765753,0.0010654595121337707,0.14565133138018127,quadratic,quadratic,8.10205728292129,6.190416597548519,1.054719787004162,1,OUTLIER_DEPENDENT
Political Science,Putnam Social Capital,22,0.2715332175472789,0.6083256580344476,0.9383633925859689,linear,linear,15.663027493719248,15.970556906444902,0.3534078701446077,1,NOT_SIGNIFICANT
Agriculture,Mitscherlich Yield Curve,18,157.38195265870976,2.3497425116758563e-09,2.4826965705493365e-08,quadratic,quadratic,0.9985643217860332,0.3831390789740198,0.7819499360321838,2,ROBUST_NONLINEAR
Agriculture,Green Revolution Yield Curve,62,2.2033525877475766,0.14303419368264736,0.1419678868109301,quadratic,linear,0.09432302819899215,0.0938623101966068,0.07559744850895742,2,NOT_SIGNIFICANT
Agriculture,Micronutrient U-shape (Vitamin D),19,24.386259323459925,0.0001482582925731446,5.6715922897687676e-05,quadratic,quadratic,0.32826902585389284,0.27775927587246346,0.9239183778153521,2,ROBUST_NONLINEAR
Agriculture,Body Weight Set-Point,16,0.11799980563770483,0.7367060372380017,0.07816366773895278,linear,linear,0.5236981336336654,0.6823702272525095,0.46074611922083075,1,NOT_SIGNIFICANT
