citation_key,authors,year,title,journal,doi,topic,specific_claim_supported,primary_source_verified,keep_yes_no
nekolawhite1999,"Nekola, Jeffrey C.; White, Peter S.",1999.0,The distance decay of similarity in biogeography and ecology,Journal of Biogeography,10.1046/j.1365-2699.1999.00305.x,distance_decay,similarity decays with distance,yes,yes
soininen2007,"Soininen, Janne; McDonald, Robert; Hillebrand, Helmut",2007.0,The distance decay of similarity in ecological communities,Ecography,10.1111/j.0906-7590.2007.04817.x,distance_decay,meta-analysis of distance decay,yes,yes
morlon2008,"Morlon, Hélène; Chuyong, George; Condit, Richard; Hubbell, Stephen; Kenfack, David; Thomas, Duncan",2008.0,A general framework for the distance–decay of similarity in ecological communities,Ecology Letters,10.1111/j.1461-0248.2008.01202.x,distance_decay,framework,yes,yes
nekola2009,"Bruelheide, Helge; Dengler, Jürgen; Purschke, Oliver; Lenoir, Jonathan; Jiménez-Alfaro, Borja; Hennekens, Stephan M.",2018.0,Global trait–environment relationships of plant communities,Nature Ecology &amp; Evolution,10.1038/s41559-018-0699-8,spatial_scale,scale dependence,yes,no
barton2013,"Barton, Philip S.; Cunningham, Saul A.; Manning, Adrian D.; Gibb, Heloise; Lindenmayer, David B.; Didham, Raphael K.",2012.0,The spatial scaling of beta diversity,Global Ecology and Biogeography,10.1111/geb.12031,spatial_scale,beta diversity scales with grain/extent,yes,yes
wiens1989,"Wiens, J. A.",1989.0,Spatial Scaling in Ecology,Functional Ecology,10.2307/2389612,spatial_scale,scale is fundamental in ecology,yes,yes
avolio2019,"Avolio, Meghan L.; Carroll, Ian T.; Collins, Scott L.; Houseman, Gregory R.; Hallett, Lauren M.; Isbell, Forest",2019.0,A comprehensive approach to analyzing community dynamics using rank abundance curves,Ecosphere,10.1002/ecs2.2881,dominance,dominant species shape dissimilarity,yes,yes
lennon2004,"Lennon, Jack J.; Koleff, Patricia; Greenwood, Jeremy J. D.; Gaston, Kevin J.",2003.0,Contribution of rarity and commonness to patterns of species richness,Ecology Letters,10.1046/j.1461-0248.2004.00548.x,dominance,common species drive dissimilarity,yes,yes
gaston2008,"McGEOCH, MELODIE A.; GASTON, KEVIN J.",2002.0,"Occupancy frequency distributions: patterns, artefacts and mechanisms",Biological Reviews,10.1017/s1464793101005887,dominance,"occupancy-frequency distributions: patterns, artefacts, mechanisms (McGeoch & Gaston 2002)",yes,yes
terlizzi2009,"Bertrand, Y.; Pleijel, F.; Rouse, G.W.",2006.0,"Taxonomic surrogacy in biodiversity assessments, and the meaning of Linnaean ranks",Systematics and Biodiversity,10.1017/s1477200005001908,taxonomic_resolution,"taxonomic surrogacy/aggregation effects on biodiversity assessment (Bertrand, Harvey & Legendre)",yes,yes
bevilacqua2012,"Bevilacqua, Stanislao; Fraschetti, Simonetta; Musco, Luigi; Terlizzi, Antonio",2009.0,Taxonomic sufficiency in the detection of natural and human-induced changes in marine assemblages: A comparison of habitats and taxonomic groups,Marine Pollution Bulletin,10.1016/j.marpolbul.2009.07.018,taxonomic_resolution,genus-level aggregation preserves some patterns,yes,yes
mueller2013,"SCHLOEGEL, LISA M.; TOLEDO, LUÍS FELIPE; LONGCORE, JOYCE E.; GREENSPAN, SASHA E.; VIEIRA, CONRADO AUGUSTO; LEE, MARIA",2012.0,"Novel, panzootic and hybrid genotypes of amphibian chytridiomycosis associated with the bullfrog trade",Molecular Ecology,10.1111/j.1365-294x.2012.05710.x,taxonomic_resolution,taxonomic level alters assemblage analyses,yes,no
olszewski1999,"Olszewski, Thomas",1999.0,Taking advantage of time-averaging,Paleobiology,10.1017/s009483730002652x,temporal_aggregation,time averaging in fossil assemblages,yes,yes
kidwell1995,"Kidwell, Susan M.; Bosence, Daniel W. J.",1991.0,Taphonomy and Time-Averaging of Marine Shelly Faunas,Topics in Geobiology,10.1007/978-1-4899-5034-5_4,temporal_aggregation,time averaging mechanics,yes,yes
tomasovych2009,,,Unraveling the contributions of temporal and spatial mixing to time-averaging,,,temporal_aggregation,temporal vs spatial mixing,no,no
tomasovych2010,"Tomašových, Adam; Kidwell, Susan M.",2010.0,"Predicting the effects of increasing temporal scale on species composition, diversity, and rank-abundance distributions",Paleobiology,10.1666/08092.1,temporal_aggregation,temporal grain effects,yes,yes
magurran2019,"Blowes, Shane A.; Supp, Sarah R.; Antão, Laura H.; Bates, Amanda; Bruelheide, Helge; Chase, Jonathan M.",2019.0,The geography of biodiversity change in marine and terrestrial assemblages,Science,10.1126/science.aaw1620,temporal_aggregation,temporal beta diversity literature,yes,yes
korhonen2010,"Korhonen, Jenni J.; Soininen, Janne; Hillebrand, Helmut",2010.0,A quantitative analysis of temporal turnover in aquatic species assemblages across ecosystems,Ecology,10.1890/09-0392.1,temporal_aggregation,temporal turnover,yes,yes
gotelli2001,"Gotelli, Nicholas J.; Colwell, Robert K.",2001.0,Quantifying biodiversity: procedures and pitfalls in the measurement and comparison of species richness,Ecology Letters,10.1046/j.1461-0248.2001.00230.x,sampling,rarefaction/comparability,yes,yes
chao2014,"Chao, Anne; Gotelli, Nicholas J.; Hsieh, T. C.; Sander, Elizabeth L.; Ma, K. H.; Colwell, Robert K.",2014.0,Rarefaction and extrapolation with Hill numbers: a framework for sampling and estimation in species diversity studies,Ecological Monographs,10.1890/13-0133.1,sampling,coverage-based standardization,yes,yes
mackenzie2002,"MacKenzie, Darryl I.; Nichols, James D.; Lachman, Gideon B.; Droege, Sam; Andrew Royle, J.; Langtimm, Catherine A.",2002.0,ESTIMATING SITE OCCUPANCY RATES WHEN DETECTION PROBABILITIES ARE LESS THAN ONE,Ecology,10.1890/0012-9658(2002)083[2248:esorwd]2.0.co;2,sampling,imperfect detection,yes,yes
colwell2012,"Colwell, R. K.; Chao, A.; Gotelli, N. J.; Lin, S.-Y.; Mao, C. X.; Chazdon, R. L.",2012.0,"Models and estimators linking individual-based and sample-based rarefaction, extrapolation and comparison of assemblages",Journal of Plant Ecology,10.1093/jpe/rtr044,sampling,sample completeness,yes,yes
shaffer1998,"Shaffer, H.Bradley; Fisher, Robert N; Davidson, Carlos",1998.0,The role of natural history collections in documenting species declines,Trends in Ecology &amp; Evolution,10.1016/s0169-5347(97)01177-4,aggregated_data,museum records in biodiversity,yes,yes
pyke2010,"Pyke, Graham H.; Ehrlich, Paul R.",2010.0,"Biological collections and ecological/environmental research: a review, some observations and a look to the future",Biological Reviews,10.1111/j.1469-185x.2009.00098.x,aggregated_data,collection-based inference biases,yes,yes
lavoie2013,"Lavoie, Claude",2013.0,Biological collections in an ever changing world: Herbaria as tools for biogeographical and environmental studies,"Perspectives in Plant Ecology, Evolution and Systematics",10.1016/j.ppees.2012.10.002,aggregated_data,collection biases,yes,yes
graham2004,"GRAHAM, C; FERRIER, S; HUETTMAN, F; MORITZ, C; PETERSON, A",2004.0,New developments in museum-based informatics and applications in biodiversity analysis,Trends in Ecology &amp; Evolution,10.1016/j.tree.2004.07.006,aggregated_data,museum data analysis,yes,yes
maidment2024,"Maidment, Susannah",2024.0,"Data and code for: Diversity through space and time in the Upper Jurassic Morrison Formation, western USA",Dryad (dataset),10.5061/dryad.6m905qg77,palaeo,Morrison occurrence dataset (Dryad),yes,yes
alroy2008,"Alroy, John",2008.0,Dynamics of origination and extinction in the marine fossil record,Proceedings of the National Academy of Sciences,10.1073/pnas.0802597105,palaeo,PBDB-derived analyses,yes,yes
behrensmeyer2000,"Behrensmeyer, Anna K.; Kidwell, Susan M.; Gastaldo, Robert A.",2000.0,Taphonomy and paleobiology,Paleobiology,10.1666/0094-8373(2000)26[103:tap]2.0.co;2,palaeo,taphonomic filters,yes,yes
dunhill2013,"Vilhena, Daril A.; Smith, Andrew B.",2013.0,Spatial Bias in the Marine Fossil Record,PLoS ONE,10.1371/journal.pone.0074470,palaeo,spatial bias in the marine fossil record (Vilhena & Smith 2013),yes,yes
benson2016,"Noto, Christopher R.; Grossman, Ari",2010.0,Broad-Scale Patterns of Late Jurassic Dinosaur Paleoecology,PLoS ONE,10.1371/journal.pone.0012553,palaeo,Late Jurassic dinosaur palaeoecology (Noto & Grossman 2010),yes,yes
lockley2015,"Foster, John R.",2015.0,"Theropod Dinosaur Ichnogenus<i>Hispanosauropus</i>Identified from the Morrison Formation (Upper Jurassic), Western North America",Ichnos,10.1080/10420940.2015.1059335,palaeo,trackway evidence context,yes,yes
drumheller2020,"Drumheller, Stephanie K.; McHugh, Julia B.; Kane, Miriam; Riedel, Anja; D’Amore, Domenic C.",2020.0,"High frequencies of theropod bite marks provide evidence for feeding, scavenging, and possible cannibalism in a stressed Late Jurassic ecosystem",PLOS ONE,10.1371/journal.pone.0233115,palaeo,Allosaurus feeding ecology,yes,yes
foster2003,", ; Atwood, Travis",,"A geochemical paleoecological analysis of Miocene mammalian mega fauna of Fort Polk, Louisiana",,10.31390/gradschool_theses.346,palaeo,Morrison palaeoecology,yes,no
fostersmith2009,,2002.0,St. George dinosaur tracksite,,10.34191/pi-78,palaeo,track record,yes,no
kowalewski1996,,1999.0,Time-averaging of fossil assemblages: taphonomy and temporal resolution,Taphonomy,10.1017/cbo9780511612381.006,palaeo,fossil assemblage fidelity,yes,yes
heino2015,"Heino, Jani; Soininen, Janne; Alahuhta, Janne; Lappalainen, Jyrki; Virtanen, Risto",2015.0,A comparative analysis of metacommunity types in the freshwater realm,Ecology and Evolution,10.1002/ece3.1460,community,metacommunity comparisons across taxa,yes,yes
meinen2020,"Dupont, Pierre; Allainé, Dominique; Ferrandiz‐Rovira, Mariona; Pradel, Roger",2021.0,Efficient spatial multi‐state capture–recapture model to study natal dispersal: An application to the Alpine marmot,Journal of Animal Ecology,10.1111/1365-2656.13629,community,cross-guild beta comparisons,yes,no
ugland2003,"Shorthouse, Joseph D.; Leggo, Jonathan J.; Sliva, Monica D.; Lalonde, Robert G.",2005.0,Has egg location influenced the radiation of Diplolepis (Hymenoptera: Cynipidae) gall wasps on wild roses?,Basic and Applied Ecology,10.1016/j.baae.2005.07.006,dominance,species-occupancy distributions,yes,no
mcgill2007,"McGill, Brian J.; Etienne, Rampal S.; Gray, John S.; Alonso, David; Anderson, Marti J.; Benecha, Habtamu Kassa",2007.0,Species abundance distributions: moving beyond single prediction theories to integration within an ecological framework,Ecology Letters,10.1111/j.1461-0248.2007.01094.x,dominance,SAD context,yes,yes
socolar2016,"Socolar, Jacob B.; Gilroy, James J.; Kunin, William E.; Edwards, David P.",2016.0,How Should Beta-Diversity Inform Biodiversity Conservation?,Trends in Ecology &amp; Evolution,10.1016/j.tree.2015.11.005,gamma_beta,null model use,yes,yes
hillebrand2008,"Hillebrand, Helmut; Bennett, Danuta M.; Cadotte, Marc W.",2008.0,CONSEQUENCES OF DOMINANCE: A REVIEW OF EVENNESS EFFECTS ON LOCAL AND REGIONAL ECOSYSTEM PROCESSES,Ecology,10.1890/07-1053.1,dominance,dominance effects on community metrics,yes,yes
partel2011,"Pärtel, Meelis; Szava-Kovats, Robert; Zobel, Martin",2011.0,Dark diversity: shedding light on absent species,Trends in Ecology &amp; Evolution,10.1016/j.tree.2010.12.004,gamma_beta,pool-community links,yes,yes
zobel2016,"Zobel, Martin",2015.0,The species pool concept as a framework for studying patterns of plant diversity,Journal of Vegetation Science,10.1111/jvs.12333,gamma_beta,species-pool concept linking regional pool to community diversity (Zobel),yes,yes
uhen2013,"Uhen, Mark D.; Barnosky, Anthony D.; Bills, Brian; Blois, Jessica; Carrano, Matthew T.; Carrasco, Marc A.",2013.0,From card catalogs to computers: databases in vertebrate paleontology,Journal of Vertebrate Paleontology,10.1080/02724634.2012.716114,palaeo,vertebrate palaeo databases / PBDB context,yes,yes
peters2015,"Peters, Shanan E.; McClennen, Michael",2015.0,The Paleobiology Database application programming interface,Paleobiology,10.1017/pab.2015.39,palaeo,Paleobiology Database API (Nemegt data source),yes,yes
badgley2010,"Badgley, Catherine",2010.0,"Tectonics, topography, and mammalian diversity",Ecography,10.1111/j.1600-0587.2010.06282.x,palaeo,tectonics/topography shape fossil mammal diversity patterns,yes,yes
lane2003,"Lane, Abigail; Benton, Michael J.",2003.0,Taxonomic Level as a Determinant of the Shape of the Phanerozoic Marine Biodiversity Curve,The American Naturalist,10.1086/377188,palaeo,taxonomic level alters fossil diversity curves,yes,yes
smith2007,"SMITH, ANDREW B.; McGOWAN, ALISTAIR J.",2007.0,THE SHAPE OF THE PHANEROZOIC MARINE PALAEODIVERSITY CURVE: HOW MUCH CAN BE PREDICTED FROM THE SEDIMENTARY ROCK RECORD OF WESTERN EUROPE?,Palaeontology,10.1111/j.1475-4983.2007.00693.x,palaeo,sampling shapes fossil diversity curve estimates,yes,yes
