oid,sfm,lng,lat,nam,aka,noc,oei,eag,lag,aut,pby,rid,cc2,stp,prc,gsc,ggc,pm1,gpl,ps1,pln,pla,ssc,scm,ldc,lt1,la1,ff1,env,gcm,cps,tpm,tpq,pcm,cct,ccx,ccv,ccc,ccd,rgp,altv,altu,cpb,tpf,ccu,cpa,tps,tpt,lt2,cpt,tpc,tpo,tpb,tpe,lm1,ff2,lm2,smb,lf1,ccm,la2,cpc,acm,tcm,ccs,tpl,tpr,ccr,sls,slb,slu,slo,cpd,tpa,cny
col:38021,Nemegt,101.040001,43.529999,"Nemegt, Northern Sayr, site 23 [PMPE]","Polish-Mongolian Palaeontological Expeditions, Nem023",1,Maastrichtian,72.2,66,Gradzinski and Jerzykiewicz,1972,ref:10453,MN,Omnogov,__,small collection,"Northern Sayr, Nemegt locality",gplates,628,mid,94.3,36.54,bed,middle part of Nemegt Formation (Upper Nemegt beds),,sandstone,,Y,terrestrial indet.,"sandstone, conglomerate, and sandstone with silt intercalations",macrofossils,body,good,,general faunal/floral,"selective quarrying,mechanical,field collection",,PMPE,1970,vertebrate,1500,meters,some,occasional,,some,parautochthonous,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:38022,Nemegt,101.049721,43.52,"Nemegt, Northern Sayr, site 26 [PMPE]","Polish-Mongolian Palaeontological Expedition, Nem026",2,Maastrichtian,72.2,66,Gradzinski and Jerzykiewicz,1972,ref:10453,MN,Omnogov,__,small collection,"southern part of northern sayr, Nemegt locality",gplates,628,mid,94.31,36.53,bed,"lower part of ""Upper beds"" (= Nemegt Fm.), about 5 m above Passage Series","sandstone and ""sands with silt intercalations""",sandstone,,Y,terrestrial indet.,,macrofossils,body,variable,,general faunal/floral,"selective quarrying,mechanical,field collection",,Z. Kielan-Jaworowska & PMPE,1970,vertebrate,1550,meters,many,occasional,,,autochthonous,time-averaged,sandstone,,,,,,,,silty,,,,,,,,,,,,,,,,,,
col:38023,Nemegt,101.029724,43.518055,"Nemegt, Western Sayr, site 12 [PMPE]","Polish-Mongolian Palaeontological Expedition, Nem012",1,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,MN,Omnogov,__,small collection,"NW part of Nemegt locality; listed as ""2.5 km"" NW of Central Sayr in ref 9900 but shown as much closer in ref 10453 map, where it is clearly in the N part of the Western Sayr",gplates,628,mid,94.3,36.52,bed,upper part of formation (= Upper Nemegt beds here),"""upper sandstone with silt intercalations""",sandstone,yellow,,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,mechanical,field collection",,Malecki & PMPE,"1965, 1970, 2008",vertebrate,1500,meters,some,occasional,,some,parautochthonous,snapshot,,,,,,,silty,,,,,,,,,,,,,,,,,,,,
col:38024,Nemegt,100.441391,43.581669,"Altan Ula IV, site 6 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4006",1,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,,gplates,628,mid,93.76,36.47,bed,upper part of formation,,conglomerate,,Y,terrestrial indet.,,macrofossils,body,variable,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,PMPE,1964-1965,vertebrate,1635,meters,some,frequent,,some,parautochthonous,,sandstone,,,,,,,,,Upper,,,,,,,,,,,,,,,,,
col:38695,Nemegt,100.48278,43.566387,"Altan Ula III, site 2 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU3002",2,Maastrichtian,72.2,66,Kielan-Jaworowska and Dovchin,1968,ref:10137,MN,Omnogov,__,small collection,"Altan Ula III, 40 km W of Nemegt, Omnogov (southern Mongolia). Quarry atop a small hill",gplates,628,mid,93.8,36.46,bed,"upper Nemegt beds = Nemegt Fm., ""tentatively placed"" low in formation","""a poorly indurated, fine sandstone approximately 35 cm thick""",sandstone,fine,Y,terrestrial indet.,,macrofossils,body,good,"""The bones are entirely disarticulated, and apparently are chaotically dispersed. However, the bones of the two forearms occur separately. This suggests that the arrangeent of bones in space is not due to transportation by water, but was effected by natural disarticulation of the skeleton at the place of burial.""",taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,"Z. Kielan-Jaworowska, PMPE, KMIDP","1965, 2008",vertebrate,,,many,occasional,,none,autochthonous,snapshot,,tooth marks,dispersed,random,,,,,,,poorly lithified,quarry re-opened in 2008 by Korea-Mongolia International Dinosaur Project,,,,,,,,,,,,,,,
col:38696,Nemegt,100.48333,43.566666,"Altan Ula III, site 3 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU3003",1,Maastrichtian,72.2,66,Kielan-Jaworowska,1966,ref:9902,MN,Omnogov,__,small collection,"Altan Ula III, 40 km W of Nemegt, Omnogov (southern Mongolia)",gplates,628,mid,93.81,36.46,bed,"upper Nemegt beds = Nemegt Fm., high in formation",,sandstone,,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,mechanical,field collection",,"Rachtan, PMPE III",1965,vertebrate,,,some,occasional,,,,snapshot,sandstone,,dispersed,,,,conglomeratic,,,,,,,,,,,,,,,,,,,,
col:38697,Nemegt,100.448891,43.59111,"Altan Ula IV, site 2 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4002",1,Maastrichtian,72.2,66,Kielan-Jaworowska,1966,ref:9902,MN,Omnogov,__,small collection,,gplates,628,mid,93.77,36.48,bed,lower part of section,,conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,PMPE,1965,vertebrate,,,many,occasional,,,,snapshot,sandstone,,,,,,sandy,,,,,,,,,,,,,,,,,,,,
col:38698,Nemegt,100.446114,43.588055,"Altan Ula IV, site 3 [PMPE]",Polish-Mongolian Palaeontological Expedition,1,Maastrichtian,72.2,66,Kielan-Jaworowska and Dovchin,1968,ref:10137,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.48,bed,lower-middle of section,,sandstone,,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,mechanical,field collection",,PMPE,1965,vertebrate,,,,frequent,,,,,,,,,,,silty,,,,,,,,,,,,,,,,,,,,
col:38699,Nemegt,100.441666,43.582222,"Altan Ula IV, site 5 [PMPE]","Polish-Mongolian Palaeontological Expedition, Quarry AU4005",1,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.76,36.47,bed,middle of section,,sandstone,,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Walknowski & PMPE,1964,vertebrate,,,many,occasional,,,,snapshot,,,dispersed,,,,conglomeratic,,,,,,,,,,,,,,,,,,,,
col:38700,Nemegt,100.452782,43.601112,"Altan Ula IV, site 10 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4010",1,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.49,bed,,,sandstone,,Y,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,PMPE,1965,vertebrate,,,some,occasional,,,parautochthonous,snapshot,,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
col:38701,Nemegt,100.445557,43.587776,"Altan Ula IV, site 1 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4001",1,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.48,bed,,,sandstone,,Y,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Kuczynski & PMPE,1965,vertebrate,,,some,,,,parautochthonous,snapshot,,,,,,,silty,,,,,,,,,,,,,,,,,,,,
col:38702,Nemegt,100.456108,43.603058,"Altan Ula IV, site 9 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4009",1,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.49,bed,low in section,,sandstone,,Y,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,PMPE,1964,vertebrate,,,some,occasional,,,parautochthonous,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:38703,Nemegt,100.374809,43.441261,"Tsagan Hushu, site 4 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh004",1,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.75,36.32,bed,near base of section,,sandstone,fine,Y,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,"Gradzinski, Skarzynski & PMPE",1964–1965,vertebrate,,,,occasional,,many,parautochthonous,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:38704,Nemegt,100.369415,43.439934,"Tsagan Hushu, site 3 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh003",1,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.75,36.32,bed,near top of section,,sandstone,fine,Y,terrestrial indet.,,macrofossils,body,medium,,taxonomic,"selective quarrying,mechanical,field collection",,Kielan-Jaworowska & PMPE,1964,vertebrate,,,,occasional,,,autochthonous,snapshot,,,,life position,,,,,,,,,,,,,,,,,,,,,,,
col:38705,Nemegt,100.373161,43.443558,"Tsagan Hushu, tortoise layer [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, site T",4,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.75,36.32,group of beds,"""one complex of beds"" near middle of section","""one complex of fine-grained beds of silty sands""",sandstone,fine,Y,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,mechanical,field collection",,PMPE,1963–1964,vertebrate,,,some,,,many,parautochthonous,,,,concentrated,,,,silty,,,,,,,,,,,,,,,,,,,,
col:38706,Nemegt,100.403053,43.440556,"Tsagan Hushu, White Sayr mammal lens [PMPE]",Polish-Mongolian Palaeontological Expeditions 2/3,1,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.78,36.33,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,,,taxonomic,"selective quarrying,mechanical,field collection",,PMPE 2-3,1964-1965,vertebrate,,,,frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:51972,Nemegt,101.275002,43.491669,Nemegt locality (PIN coll. 551) [MPE],"Mongolian Paleontological Expedition, Nemegtu",6,Maastrichtian,72.2,66,Maleev,1955,ref:34612,MN,Omnogov,__,small collection,"Nemegt, Nemegt Basin",gplates,628,mid,94.52,36.55,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,good,,taxonomic,"mechanical,field collection,survey of museum collection",,MPE,"1946, 1948–1949",vertebrate,1500,meters,,,PIN,,,snapshot,,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
col:52008,Nemegt,99.599998,43.540001,Bugin Tsav [SMPE],Bugin-Tsab,2,Maastrichtian,72.2,66,Barsbold,1988,ref:13914,MN,Omnogov,__,small collection,"Bugin Tsav (= Bügin Tsav), SW Mongolia",gplates,628,mid,93.05,36.26,bed,"described as ""Senonian"" in original paper",,not reported,,,terrestrial indet.,,macrofossils,body,good,,taxonomic,field collection,,SMPE,1970s,vertebrate,,,,frequent,,,,snapshot,,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
col:52012,Nemegt,99.599998,43.540001,Bugin Tsav [SMPE],Bugin-Tsab,1,Maastrichtian,72.2,66,Barsbold,1974,ref:13915,MN,Omnogov,__,small collection,"Bugin Tsav (= Bügin Tsav), SW Mongolia",gplates,628,mid,93.05,36.26,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,R. Barsbold & B. Namsray,1964–1967,vertebrate,,,,occasional,,,,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:53227,Nemegt,101.275002,43.491669,foot of Nemegtu Mountain [SMPE] (PIN coll. 551),"Soviet-Mongolian Paleontological Expedition, Nemegtu",3,Maastrichtian,72.2,66,Rozhdestvensky,1952,ref:24890,MN,Omnogov,__,outcrop,at foot of Nemegtu Mtn.,gplates,628,mid,94.52,36.55,group of beds,,,not reported,,,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,mechanical,field collection",,SMPE,1948-1949,vertebrate,1500,meters,,,,,,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:54095,Nemegt,101.275002,43.491669,"Red Walls, Nemegt",,1,Maastrichtian,72.2,66,Lü et al.,2004,ref:14617,MN,Omnogov,__,small collection,"The Nemegt locality of Gradzinski et al. (1968), Nemegt Basin, southern Gobi Desert Mongolia. eastern Nemegt, near Red Walls",gplates,628,mid,94.52,36.55,bed,,,not reported,,,fluvial indet.,,macrofossils,body,variable,incomplete skeleton with an almost complete skull,taxonomic,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",,MHIDO,1996,vertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:55257,Nemegt,100.011108,43.86639,Bugin Tsav I [HMNS-GIN/KID],"Bugin-tsav, northern outcrops of Bugin Tsav; Bügiin Tsav",31,Maastrichtian,72.2,66,Watabe and Weishampel,1994,ref:14738,MN,Omnogov,__,outcrop,"northern area of Bugin Tsav; N: 43-51-5909; E: 100-00-3976; A: 982m
Bugin-tsav, southern Gobi Desert",gplates,628,mid,93.29,36.66,bed,,"""upper white sandstone bed""",siltstone,"current ripples,deformed bedding",Y,fine channel fill,prograding meandering fluvial point bars Dr. D. E. Fastovsky (sedimentologist) concluded that there had been at least four river sequences in Bugin Tsav. The second river sequence from the bottom had yielded abundant large dinosaur fossils. It became clear that eggshells with embryonic bones found during the 1993 expedition were from the third river sequence and ornithomimid skeleton found in 1995 was from the fourth river sequence.,"macrofossils,mesofossils",body,good,,general faunal/floral,"surface (in situ),mechanical,field collection",,"HMNS-GIN, Korea-Mongolia International Dinosaur Project","1993-1995, 1998, 2006, 2008–2010, 2018",vertebrate,982,meters,many,frequent,,some,autochthonous,snapshot,sandstone,tooth marks,,life position,,,,Y,,,,,white,"partial skeletons,eggs",Saurolophus elements show tooth marks from Tarbosaurus,,,,,,,,,,,,
col:55258,Nemegt,99.833054,43.474724,"Khermin Tsav I, Upper White Beds [HMNS-GIN]",Khermeen Tsav,20,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42291,MN,Omnogov,__,outcrop,Khermeen Tsav; N: 43-28-2896; E: 99-49-5871 A: 991m,gplates,628,mid,93.27,36.25,group of beds,"From the Upper White Beds (NemegtFormation).
from the ""Upper White Beds"" (ref 35934), which is confusing because the upper beds of the formation are usually called the ""Red Beds"" and ref 41448 says that the Red Bed is the fossiliferous layer.
Nemegt Formation according to Suzuki et al. (2004)","""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",sandstone,"""cross stratification"",fine,medium,red",Y,eolian indet.,"""predominantly eolian and fluvio-lacustrine deposits""","macrofossils,mesofossils",body,excellent,,general faunal/floral,field collection,some macrofossils,HMNS-GIN,"1994, 1997, 2006",vertebrate,991,meters,many,,,many,,,mudstone,arthropod boring,,,,,,,,,lithified,,massive,,,"JMJPE explored here in 1994 and 1997, collected some partial skeletons of Tarbosaurus and Gallimimus, some footprints (natural casts) of theropod, egg nests and eggshells with various surface morphologies, many turtles, plant fossils (leaf impression) and molluscs (bivalves and gastropods)",,,,,,,,,,,
col:59087,Nemegt,107.783333,43.575001,Shar Tsav tracksite,,3,Maastrichtian,72.2,66,Ishigaki,1997,ref:76471,MN,Omnogov,__,outcrop,"Shar Tsav, 275 km E of Dalanzadgad, 95 km SE from the new som Manlai, ca. 53 km SE from the Uguumur Brigade. Footprints are in the main outcrop at the E end of the cliff.",gplates,628,mid,100.17,37.96,group of beds,"questionable formation assignment; 4 track-bearing layers, with some incomplete tracks on layers in-between.","""bluish white hard medium to coarse sandstone""; ""In the eastern area (dinosaur footprint area), the section is composed of one unit: alternation of mudstone and sandstone. Thickness of the beds in the eastern area is 16 m. On the top sandstone layers in this area, there are many ripple marks preserved. The strike trend of the ripple mark is NNE-SSE to NE-SW (31.2 + 180 degree, N = 18). Paleocurrent direction on trough cross-stratification on the hard sandstone layers is north to northwest (338.5 degree, standard deviation = 5.42, N = 9)""",sandstone,"current ripples,""cross stratification"",medium,coarse,white,blue",Y,fluvial indet.,,macrofossils,"cast,mold/impression,trace",,,paleoecologic,"surface (in situ),observed (not collected)",,HMNS-GIN,"1995–1996, 2001",vertebrate,,,,,,,autochthonous,,mudstone,,concentrated,life position,,,,,,,lithified,,,,,,18000 specimens,,,,,,,,,,
col:65335,Nemegt,100.484444,43.849724,Gooreeliyn-Tsav [SMPE/SMGE[,"Gurilyn Tsav, Gurlin Tsav, Gooriliyn-Tsav, Soviet-Mongolian Paleontological Expedition, Gurilin Tsav",4,Maastrichtian,72.2,66,Mikhailov,1991,ref:27284,MN,Omnogov,__,small collection,,gplates,628,mid,93.71,36.74,bed,,,not reported,,,terrestrial indet.,,macrofossils,"body,soft parts",good,,taxonomic,"surface (in situ),field collection",,SMPE/SMGE,"1980, 1987",vertebrate,,,,,PIN,,autochthonous,snapshot,,,,life position,,,,,,,,,,,,,,,,,,,,,,,
col:65345,Nemegt,100.477776,43.572224,Altan Ula III [SMPE] (PIN coll. 4231),Soviet-Mongolian Paleontological Expedition,3,Maastrichtian,72.2,66,Mikhailov,1991,ref:27284,MN,Omnogov,__,small collection,"Altan Ula III, 40 km W of Nemegt, Omnogov (southern Mongolia)",gplates,628,mid,93.8,36.47,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,good,,paleoecologic,field collection,,SMPE,,vertebrate,,,,none,PIN,,,snapshot,sandstone,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
col:65347,Nemegt,99.599998,43.540001,Bugin Tsav [SMPE/SMGE],"Boogiyn-Tsav, Bugeen-Tsab, Bugin-Tsab",2,Maastrichtian,72.2,66,Sochava,1969,ref:61563,MN,Omnogov,__,small collection,"Bugin Tsav (= Bügin Tsav, Bugin-Tsab), SW Mongolia",gplates,628,mid,93.05,36.26,bed,,,sandstone,gray,Y,terrestrial indet.,,macrofossils,body,good,,paleoecologic,"surface (in situ),mechanical,field collection",,SMPE/SMGE,1967–1968,vertebrate,,,,frequent,PIN,,autochthonous,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:69801,Nemegt,99.599998,43.540001,Bugin Tsav [SMPE],,3,Maastrichtian,72.2,66,Perle et al.,1993,ref:14285,MN,Omnogov,__,outcrop,"Bugin Tsav (= Bügin Tsav), SW Mongolia",gplates,628,mid,93.05,36.26,bed,,"""variegated, predominantly red sandstones""",sandstone,red,Y,terrestrial indet.,,macrofossils,body,excellent,,taxonomic,"mechanical,survey of museum collection",,B. Namsarai,1987,vertebrate,,,many,occasional,,some,,snapshot,,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
