Number,Label,Authors,Year,First appearance,Context
"27","etrojans","Casagrande et al., 2024","2024","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"28","isik","Isik et al., 2023","2023","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"29","vinayaga2020","Vinayaga-Sureshkanth et al., 2020","2020","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"30","yilmaz2022","Yilmaz & Karsligil, 2022","2022","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"31","sato","Sato et al., 2025","2025","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"32","li2020","Li & Zhang, 2020","2020","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"33","petersen","Petersen, 2019","2019","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"34","zhou","Zhou, 2024","2024","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"35","hannemann","Hannemann et al., 2023","2023","3.1. Scoping review (RQ1)","The included D4 studies provide the strongest evidence. A long-term real-world analysis reconstructed rider-relevant patterns from operator data [2]; investigative studies of rental applications..."
"36","gdpr","European Parliament and Council, 2016","2016","3.3. Public-document disclosure audit (RQ3)","We coded 13 operator privacy notices across 14 domains; 2 further operators could not be retrieved as reproducible text and were recorded as unavailable (Fig. 4; Table 4). Operational and account-..."
