title,year,doi,url,venue,authors,work_type,query_ids,source_apis
"Systematic review of data exchange for road side unit in a vehicular ad hoc network: coherent taxonomy, prominent features, datasets, metrics, performance measures, motivation, opportunities, challenges and methodological aspects",2024,10.1007/s42452-024-06174-9,https://doi.org/10.1007/s42452-024-06174-9,Discover Applied Sciences,Ahmed Thair Shakir; Md. Shabiul Islam; Jit Singh Mandeep; Mohammad Tariqul Islam; Nor Fadzilah Abdullah; Younus Hasan Taher; Omer T. Abdullahi; Mohamed S. Soliman,article,Q09,OpenAlex
Technicalities:,2024,10.2307/jj.13632419.4,https://doi.org/10.2307/jj.13632419.4,"See Me, See You",Clarissa Chikiamco; Cheng Jia Yun,book-chapter,Q13,Crossref
Techno-Econo-Environmental Analysis of Hybrid PV-Battery System Integrated with Drinking Water Treatment Plant,2024,10.1007/978-981-97-5098-6_29,https://doi.org/10.1007/978-981-97-5098-6_29,Lecture Notes on Data Engineering and Communications Technologies,Fengjuan Wang; Yi Shi; Minna Ma,book-chapter,Q11,Crossref
Techno-Economic Analysis of a Standalone Solar PV/DG/Battery Hybrid System for Rural Electrification,2024,10.52783/jisem.v9i2.26,https://doi.org/10.52783/jisem.v9i2.26,Journal of Information Systems Engineering and Management,,journal-article,Q11,Crossref
Technology Scaling Effects on SRAM Data Remanence,2024,10.1109/drc61706.2024.10605370,https://doi.org/10.1109/drc61706.2024.10605370,2024 Device Research Conference (DRC),Umeshwarnath Surendranathan; Farzana Hoque; Aleksandar Milenkovic; Biswajit Ray,proceedings-article,Q12,Crossref
Technology stack used in BharatNests a booking and rental app,2024,10.56726/irjmets53495,https://doi.org/10.56726/irjmets53495,International Research Journal of Modernization in Engineering Technology and Science,,journal-article,Q04,Crossref
TensorRT Powered Model for Ultra-Fast Li-Ion Battery Capacity Prediction on Embedded Devices,2024,10.3390/en17122797,https://doi.org/10.3390/en17122797,Energies,Chunxiang Zhu; Jiacheng Qian; Mingyu Gao,journal-article,Q10,Crossref
The (un)sustainability of rural tourism travel in the Global South: A social practice theory perspective,2024,10.1002/jtr.2668,https://doi.org/10.1002/jtr.2668,International Journal of Tourism Research,Rama Permana; Janet Dickinson; Svetla Stoyanova-Bozhkova; Angela Smith,article,Q04,OpenAlex
The current landscape of cybersecurity and the major cybersecurity threats and their impact on organizations and users,2024,10.2139/ssrn.4981155,https://doi.org/10.2139/ssrn.4981155,,Darina Shamatonova,posted-content,Q06,Crossref
"The Effect of a Real-World, Long-Term Media Literacy Intervention: A Difference-in-Differences Approach",2024,10.31234/osf.io/c5gzd,https://doi.org/10.31234/osf.io/c5gzd,,Emma Hoes,posted-content,Q13,Crossref
The Future Design of Smart Energy Systems with Energy Flexumers: A Constructive Literature Review,2024,10.3390/en17092039,https://doi.org/10.3390/en17092039,Energies,Jin‐Li Hu; Nhi Ha Bao Bui,article,Q06;Q10,OpenAlex
The provenance of Apple Health data: A timeline of update history,2024,10.1016/j.fsidi.2024.301804,https://doi.org/10.1016/j.fsidi.2024.301804,Forensic Science International: Digital Investigation,Luke Jennings; Matthew Sorell; Hugo G. Espinosa,journal-article,Q05,Crossref
The road not taken yet: A review of cyber security risks in mobility-as-a-service (MaaS) ecosystems and a research agenda,2024,10.1016/j.rtbm.2024.101162,https://doi.org/10.1016/j.rtbm.2024.101162,Research in Transportation Business & Management,Ali Alderete Peralta; Nazmiye Balta‐Ozkan; Shujun Li,review,Q06,OpenAlex
The Role of Cybersecurity Legislation in Promoting Data Privacy,2024,10.4018/979-8-3373-0588-2.ch008,https://doi.org/10.4018/979-8-3373-0588-2.ch008,"Advances in Information Security, Privacy, and Ethics",Ngozi Tracy Aleke,book-chapter,Q02,Crossref
The Role of Machine Learning and Deep Learning in Threat Detection,2024,10.4018/979-8-3373-0588-2.ch002,https://doi.org/10.4018/979-8-3373-0588-2.ch002,"Advances in Information Security, Privacy, and Ethics",Omar Ali,book-chapter,Q02,Crossref
The role of users' privacy concerns in the decision for smart battery electric vehicle charging,2024,10.54941/ahfe1005217,https://doi.org/10.54941/ahfe1005217,AHFE International,Madlen Günther; Bettina Kämpfe; Josef Krems,proceedings-article,Q09,Crossref
TLS key material identification and extraction in memory: Current state and future challenges,2024,10.1016/j.fsidi.2024.301766,https://doi.org/10.1016/j.fsidi.2024.301766,Forensic Science International: Digital Investigation,Daniel Baier; Alexander Basse; Jan-Niclas Hilgert; Martin Lambertz,journal-article,Q05,Crossref
Toplu taşımada eşitliğin değerlendirilmesi için yeni bir model ve yaklaşım,2024,,http://hdl.handle.net/11527/27388,Istanbul Technical University Academic Open Archive (Istanbul Technical University),"Kasımoğlu, Kaya",dissertation,Q07,OpenAlex
Toronto Transit Commission and COVID-19: Statistical and Spatial Analysis of Ridership Changes During the Pandemic,2024,10.32920/25418038.v1,http://dx.doi.org/10.32920/25418038.v1,,Yichun Du,preprint,Q07,OpenAlex
Towards Municipal Data Utilities: Experiences Regarding the Development of a Municipal Data Utility for Intra- and Intermunicipal Actors within the German City of Mainz,2024,10.3390/smartcities7030054,https://doi.org/10.3390/smartcities7030054,Smart Cities,Philipp Lämmel; Jonas Merbeth; Tim Cleffmann; Lukas Koch,article,Q07,OpenAlex
"Towards Secured Smart Grid 2.0: Exploring Security Threats, Protection Models, and Challenges",2024,10.48550/arxiv.2411.04365,http://arxiv.org/abs/2411.04365,arXiv (Cornell University),Lan-Huong Nguyen; Van-Linh Nguyen; Ren‐Hung Hwang; Jian-Jhih Kuo; Yuwen Chen; Chien‐Chung Huang; Ping-I Pan,preprint,Q03;Q06;Q16,OpenAlex
"Towards verifiable, privacy-preserving carbon emissions claims",2024,10.59350/r2c73-v9z28,https://doi.org/10.59350/r2c73-v9z28,,Anil Madhavapeddy,posted-content,Q07,Crossref
"Towards verifiable, privacy-preserving carbon emissions claims",2024,10.59350/7paa5-tsy38,https://doi.org/10.59350/7paa5-tsy38,,Anil Madhavapeddy,posted-content,Q07,Crossref
Tracking Multi-Stage Tactics in Ransomware Attacks Using Automated Digital Forensics,2024,10.22541/au.172771695.53079402/v1,https://doi.org/10.22541/au.172771695.53079402/v1,,Xinyue Yang; Lan Zhao; Qiuhan Zhou; Yunfeng Liu; Xu Zhang; Zekai Li,posted-content,Q14,Crossref
Transforming Mobility: Cutting-Edge Innovations in Modern Transportation Systems,2024,10.62311/nesx/rb-978-81-978028-9-8,https://doi.org/10.62311/nesx/rb-978-81-978028-9-8,,Murali Krishna Pasupuleti,book,Q01,OpenAlex
Understanding socio-demographic factors associated with shared-use-paths (SUPs) utilization,2024,10.1016/j.jcmr.2024.100012,https://doi.org/10.1016/j.jcmr.2024.100012,Journal of Cycling and Micromobility Research,Boniphace Kutela; Frank Ngeni; Norris Novat; Hellen Shita; Mark Ngotonie; Rafael John Mwekh’iga; Neema Langa; Subasish Das,journal-article,Q01,Crossref
Unlocking Access: A Comprehensive Analysis of Barriers to Shared Micromobility Systems in the US,2024,10.2139/ssrn.4796818,https://doi.org/10.2139/ssrn.4796818,SSRN Electronic Journal,Farzana Mehzabin Tuli; Suman Mitra,journal-article,Q01,Crossref
"Unsettled Issues Regarding Electric Vehicle Battery
                    Recycling",2024,10.4271/epr2024030,https://doi.org/10.4271/epr2024030,,Xiao Lin; Irdanto Saputra Lase,report,Q09,Crossref
Uses and Limitations of Big Data for Evaluating Transportation Equity,2024,10.5038/cutr-nicr-y3-1-11,http://dx.doi.org/10.5038/cutr-nicr-y3-1-11,,Tia Boyd; Taylor Dinehart; Kristine Williams,report,Q06,OpenAlex
Using Natural Language Processing (NLP) for Phishing and Spam Detection,2024,10.4018/979-8-3373-0588-2.ch003,https://doi.org/10.4018/979-8-3373-0588-2.ch003,"Advances in Information Security, Privacy, and Ethics",Yara Shamoo,book-chapter,Q02,Crossref
Vehicle as a Service (VaaS): Leverage Vehicles to Build Service Networks and Capabilities for Smart Cities,2024,10.1109/comst.2024.3370169,https://doi.org/10.1109/comst.2024.3370169,IEEE Communications Surveys & Tutorials,Xianhao Chen; Yiqin Deng; Haichuan Ding; Guanqiao Qu; Haixia Zhang; Pan Li; Yuguang Fang,article,Q10,OpenAlex
Vehicle-to-Vehicle Energy Sharing Scheme: A Privacy-Preserving Solution Based on Local Differential Privacy Method,2024,10.1109/mnet.2024.3391618,https://doi.org/10.1109/mnet.2024.3391618,IEEE Network,Zhichao Ju; Yuancheng Li,journal-article,Q07,Crossref
Vertical Balance of an Autonomous Two-Wheeled Single-Track Electric Vehicle,2024,10.3390/technologies12060076,https://doi.org/10.3390/technologies12060076,Technologies,David Rodríguez-Rosa; Andrea Martín-Parra; Andrés García-Vanegas; Francisco Moya; Ismael Payo; Fernando J. Castillo-García,article,Q10,OpenAlex
“A reservation I have is that presumably no travel app will improve the actual services”: Place based perspectives of mobility as a service,2024,10.1016/j.trf.2024.03.010,https://doi.org/10.1016/j.trf.2024.03.010,Transportation Research Part F Traffic Psychology and Behaviour,Rich C. McIlroy,article,Q04,OpenAlex
"“Everyone freaks out when the leaks are made”: data leaks, investigative journalism and intelligence practice",2024,10.1108/jfc-05-2023-0123,https://doi.org/10.1108/jfc-05-2023-0123,Journal of Financial Crime,Benjamin Scott,journal-article,Q14,Crossref
"""Theory and Practice of Public Management of Smart Infrastructure in the Conditions of the Digital Society’ Development: Socio-economic Aspects""",2023,10.46852/0424-2513.1.2023.29,https://doi.org/10.46852/0424-2513.1.2023.29,Economic Affairs,Volodymyr Yermachenko,article,Q06,OpenAlex
2PSLAF: Privacy-Preserving Secure lightweight authentication framework for Vehicle-to-Vehicle communications,2023,10.21203/rs.3.rs-1298797/v3,https://doi.org/10.21203/rs.3.rs-1298797/v3,,P Muralidhara Rao,posted-content,Q07,Crossref
5th International Conference on Advanced Research Methods and Analytics (CARMA 2023),2023,10.4995/carma2023.2023.17009,http://dx.doi.org/10.4995/carma2023.2023.17009,,CARMA Scientific Committee; María del Rocío Martínez Torres; S. L. Toral,paratext,Q06,OpenAlex
A critical review on renewable battery thermal management system using heat pipes,2023,10.1007/s10973-023-12100-9,https://doi.org/10.1007/s10973-023-12100-9,Journal of Thermal Analysis and Calorimetry,Asif Afzal; R. K. Abdul Razak; A. D. Mohammed Samee; Rahul Kumar; Ümit Ağbulut; Sung Goon Park,review,Q10,OpenAlex
A Framework for Synthetic Agetech Attack Data Generation,2023,10.3390/jcp3040033,https://doi.org/10.3390/jcp3040033,Journal of Cybersecurity and Privacy,Noel Khaemba; Issa Traoré; Mohammad Mamun,journal-article,Q02,Crossref
A Highly Accurate Temperature Detection System Using Stm32 for Battery Management System of Electric Vehicle,2023,10.2139/ssrn.4471767,https://doi.org/10.2139/ssrn.4471767,,Monika Verma; mini sreejeth; Madhusudan Singh,posted-content,Q03,Crossref
A Holistic Approach for Designing a Battery Electric Vehicle Thermal Management System,2023,10.51202/9783181024232-77,https://doi.org/10.51202/9783181024232-77,ELIV 2023,S. Miller; L. Nicoletti,book-chapter,Q03,Crossref
a legal perspective on the future of smart mobility and sustainability,2023,,http://hdl.handle.net/10362/159949,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)","Gomes, João Francisco Martins Quinta",dissertation,Q06,OpenAlex
A novel GPU based Geo-Location Inference Attack on WebGL framework,2023,10.1016/j.hcc.2023.100135,https://doi.org/10.1016/j.hcc.2023.100135,High-Confidence Computing,Weixian Mai; Yinhao Xiao,journal-article,Q16,Crossref
A Qualitative and Quantitative Analysis of Research in Mobility Technologies for Visually Impaired People,2023,10.1109/access.2023.3291074,https://doi.org/10.1109/access.2023.3291074,IEEE Access,Jyoti Madake; Shripad Bhatlawande; Anjali Solanke; Swati Shilaskar,article,Q10,OpenAlex
A Retrospective Real-World Observational Study Assessing the Evolution of Bisacodyl Prescriptions in Patients with Constipation During Long-Term Treatment,2023,10.1007/s40801-023-00354-6,https://doi.org/10.1007/s40801-023-00354-6,Drugs - Real World Outcomes,Michel Bouchoucha; Caroline Amand; Beatrice Bois De Fer; Robert Lange,journal-article,Q13,Crossref
A Review of Anomaly Detection Strategies to Detect Threats to Cyber-Physical Systems,2023,10.3390/electronics12153283,https://doi.org/10.3390/electronics12153283,Electronics,Nicholas Jeffrey; Qing Tan; José R. Villar,review,Q11,OpenAlex
A review of important heavy metals toxicity with special emphasis on nephrotoxicity and its management in cattle,2023,10.3389/fvets.2023.1149720,https://doi.org/10.3389/fvets.2023.1149720,Frontiers in Veterinary Science,Ifrah Tahir; Khalid A. Alkheraije,review,Q11,OpenAlex
"A Review on Cybersecurity Analysis, Attack Detection, and Attack Defense Methods in Cyber-physical Power Systems",2023,10.35833/mpce.2021.000604,https://doi.org/10.35833/mpce.2021.000604,Journal of Modern Power Systems and Clean Energy,Dajun Du; Minggao Zhu; Xue Li; Minrui Fei; Siqi Bu; Lei Wu; Kang Li,review,Q11,OpenAlex
A Review on Dynamic Recycling of Electric Vehicle Battery: Disassembly and Echelon Utilization,2023,10.3390/batteries9010057,https://doi.org/10.3390/batteries9010057,Batteries,Jinhua Xiao; Chengran Jiang; Bo Wang,review,Q10,OpenAlex
"A Review on the Internet of Things (IoT) Forensics: Challenges, Techniques, and Evaluation of Digital Forensic Tools",2023,10.5772/intechopen.109840,https://doi.org/10.5772/intechopen.109840,IntechOpen eBooks,Ammar Alazab; Ansam Khraisat; Sarabjot Singh,review,Q11,OpenAlex
A Survey of Cyber-Physical Systems From a Game-Theoretic Perspective,2023,10.1109/access.2023.3239834,https://doi.org/10.1109/access.2023.3239834,IEEE Access,Wayes Tushar; Chau Yuen; Tapan Kumar Saha; Mohammad Sohrab Hasan Nizami; Mollah Rezaul Alam; David B. Smith; H. Vincent Poor,article,Q09,OpenAlex
A Survey on Blockchain-Based Trust Management for Internet of Things,2023,10.1109/jiot.2023.3237893,https://doi.org/10.1109/jiot.2023.3237893,IEEE Internet of Things Journal,Yijia Liu; Jie Wang; Zheng Yan; Zhiguo Wan; Riku Jäntti,article,Q11,OpenAlex
A Systematic Literature Review on Machine Learning in Shared Mobility,2023,10.1109/ojits.2023.3334393,https://doi.org/10.1109/ojits.2023.3334393,IEEE Open Journal of Intelligent Transportation Systems,Julian Teusch; Jan N. Gremmel; Christian Koetsier; Fatema Tuj Johora; Monika Sester; David M. Woisetschläger; Jörg P. Müller,article,Q04,OpenAlex
A Systematic Literature Review on Security of Vehicular Ad-Hoc Network (VANET) Based on VEINS Framework,2023,10.1109/access.2023.3274774,https://doi.org/10.1109/access.2023.3274774,IEEE Access,‪Mahmood A. Al-Shareeda‬‏; Selvakumar Manickam,article,Q02;Q06,OpenAlex
Access over ownership: Barriers and psychological motives for adopting mobility as a service (MaaS) from the perspective of users and non-users,2023,10.1016/j.trip.2023.101005,https://doi.org/10.1016/j.trip.2023.101005,Transportation Research Interdisciplinary Perspectives,Andrea L. Hauslbauer; B. Verse; Edeltraud Guenther; Tibor Petzoldt,article,Q04,OpenAlex
Acknowledgment to the Reviewers of Journal of Cybersecurity and Privacy in 2022,2023,10.3390/jcp3010002,https://doi.org/10.3390/jcp3010002,Journal of Cybersecurity and Privacy,,journal-article,Q02,Crossref
"AdHocProx: Sensing Mobile, Ad-Hoc Collaborative Device Formations using Dual Ultra-Wideband Radios",2023,10.1145/3544548.3581300,https://doi.org/10.1145/3544548.3581300,,Richard Li; Teddy Seyed; Nicolai Marquardt; Eyal Ofek; Steve Hodges; Mike Sinclair; Hugo Romat; Michel Pahud; Jatin Sharma; William Buxton; Ken Hinckley; Nathalie Henry Riche,article,Q05,OpenAlex
Advanced Battery Testers,2023,10.12968/s1467-5560(23)60260-x,https://doi.org/10.12968/s1467-5560(23)60260-x,Electric and Hybrid Vehicle Technology International,,journal-article,Q09,Crossref
AI-Driven Urban Energy Solutions—From Individuals to Society: A Review,2023,10.3390/en16247988,https://doi.org/10.3390/en16247988,Energies,Kinga Stecuła; Radosław Wolniak; Wieslaw Grebski,review,Q06;Q10,OpenAlex
An optimal model for selection of stops for bus routes in busy times: Based on General Transit Feed Specification,2023,10.54097/hset.v38i.5824,https://doi.org/10.54097/hset.v38i.5824,"Highlights in Science, Engineering and Technology",Qinglin Zhu,journal-article,Q07,Crossref
"An Overview of Current Challenges and Emerging Technologies to Facilitate Increased Energy Efficiency, Safety, and Sustainability of Railway Transport",2023,10.3390/fi15110347,https://doi.org/10.3390/fi15110347,Future Internet,Zdenko Kljaić; Danijel Pavković; Mihael Cipek; Maja Trstenjak; Tomislav Josip Mlinarić; Mladen Nikšić,article,Q09,OpenAlex
An overview of data-driven battery health estimation technology for battery management system,2023,10.1016/j.neucom.2023.02.031,https://doi.org/10.1016/j.neucom.2023.02.031,Neurocomputing,Minzhi Chen; Guijun Ma; Weibo Liu; Nianyin Zeng; Xin Luo,journal-article,Q11,Crossref
An Overview of Urban Mobility: Revolutionizing with Innovative Smart Parking Systems,2023,10.3390/su151713174,https://doi.org/10.3390/su151713174,Sustainability,Gaetano Rocco; Claudia Pipino; Claudio Pagano,article,Q09,OpenAlex
Analysing the alignment between circular economy and industry 4.0 nexus with industry 5.0 era: An integrative systematic literature review,2023,10.1002/sd.2542,https://doi.org/10.1002/sd.2542,Sustainable Development,Sehrish Atif,article,Q10,OpenAlex
ANALYSIS OF CURRENT THREATS TO THE INFORMATION SECURITY OF ORGANIZATIONSAND THE FORMATION OF THE INFORMATION PLATFORM AGAINST THEM,2023,10.28925/2663-4023.2023.22.5467,https://doi.org/10.28925/2663-4023.2023.22.5467,"Cybersecurity: Education, Science, Technique",Svitlana Lehominova; Halyna Haidur,journal-article,Q06,Crossref
Analysis Of Data Security Systems In Business Organizations,2023,10.59562/jessi.v4i2.1124,https://doi.org/10.59562/jessi.v4i2.1124,"Journal of Embedded Systems, Security and Intelligent Systems",Veronika Asri Tandirerung; Fauziah; Sul Fitriana; Putri Rahayu; Dzaky Raihan Muharram,journal-article,Q10,Crossref
