registry_row,country_code,name,location,system_id,website_domain,auto_discovery_domain,supported_versions,authentication_type,auto_discovery_status,auto_discovery_sha256,declared_version,feed_names,has_vehicle_status,vehicle_status_status,vehicle_status_sha256,vehicle_count,vehicle_field_names,has_vehicle_id,has_location_fields,has_last_reported,has_battery_percent,has_range,has_deep_link,vehicle_types_status,vehicle_types_sha256,vehicle_type_count,form_factors,propulsion_types,motorized_declared,fetched_at_utc,error_stage,error_message
11,AT,Bird Wiener Neustadt,Wiener Neustadt,bird-wiener neustadt,bird.co,mds.bird.co,1.1 ; 2.3,,200,4afe2ef8fd2c07905a0682179bd660e0d0b76e074f579dd6bf1c40eb66ce637d,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,2c77aef1df5afb6262662fdd66be2017667e228007de8c62cdf2c9eb80a28570,0,,false,false,false,false,false,false,200,cbc30455664e2caa5695dffa3af8e26c19fd6ea92a9277d93cd1e2d114145001,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:57:59.132677+00:00,,
12,AT,city bike Linz,Linz,nextbike_al,citybikelinz.at,gbfs.nextbike.net,2.3,,200,29052d7360c588289e2a586793abb2d6fc9a5fbc31e6402919f6876363b47858,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,1b997127f711b5a08abfe545ff3cc271ad200f55112de26695d223ae2bae247a,387,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,a0946b5e09d60c81da183dbe41f89ec39c4b7ede7fae43302db75ba738129e85,2,bicycle;cargo_bicycle,human,false,2026-07-13T15:57:59.133863+00:00,,
13,AT,Dott Baden bei Wien,Baden bei Wien,dott-baden-bei-wien,ridedott.com,gbfs.api.ridedott.com,2.3,,200,bbc7de6a7e8acda4d01d8fc3487a7e2925ca26993cd9e6c2acdf908d83d4adb0,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,9295735ce644a263ff17d208253383097b9327991f47ab51099ae03f5f3fd4ca,84,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,c47b6e20fd4cf64adba7ec5ffcb458ba3fd20ea1476db986c03e6145154b67d6,1,scooter,electric,true,2026-07-13T15:57:59.246579+00:00,,
14,AT,Dott Bregenz,Bregenz,dott-bregenz,ridedott.com,gbfs.api.ridedott.com,2.3,,200,1c975952b2486450857f6395ff8613dad95a7a5b586b40c50ec2ab4e56a80c11,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,a67b06ea2e45b304bc8f48fa837181b9e72b69f98cbb54241fcf40e961653f32,241,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,7c3ac44bd39a02b12cda3763a32f628b764265735f73fc41a47baf36ae0c6092,1,scooter,electric,true,2026-07-13T15:57:59.431297+00:00,,
15,AT,Dott Dornbirn,Dornbirn,dott-dornbirn,ridedott.com,gbfs.api.ridedott.com,2.3,,200,1cc360ff9d0cca9d84b7cae370153de6727f00717d8bb80c5a45873ce12ea5e8,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,7253abb24f4adbdb0607146838bfbc51fc9a8495cf06454e0db6c16033909e57,119,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,e39194e60614b5cc052c0e2234c37f9d6930d416ee4313f56f65a6cc51580f97,1,scooter,electric,true,2026-07-13T15:57:59.445122+00:00,,
16,AT,Dott Feldkirchen bei Graz,Feldkirchen bei Graz,dott-feldkirchen-bei-graz,ridedott.com,gbfs.api.ridedott.com,2.3,,200,afcded609c147ddb8c8c522366872e4d4f04ea0f3e8b9f944de9eb55aaef6902,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,f841df16d72881a375d5f416c053716a6f40cedc4b74ad87cf7b397215a00513,782,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,04d9f61808ef3f7cbb754f4eec922764a5f54790f78ddffd66433298a4a79c05,1,scooter,electric,true,2026-07-13T15:57:59.445785+00:00,,
17,AT,Dott Innsbruck,Innsbruck,dott-innsbruck,ridedott.com,gbfs.api.ridedott.com,2.3,,200,055b149fd00aea9a0b5c815610d97d712d11cb4369c70b6418e2d3d05c26e749,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,b0f46ec3a376c818e94a676f87954c06c93461859b5af047ad030f9e6d89a91d,130,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,fd45a9ca98e21989c1f0b0f44f6aa9db932a97426061d53af5607857766e7056,1,scooter,electric,true,2026-07-13T15:57:59.458914+00:00,,
18,AT,Dott Klagenfurt,Klagenfurt,dott-klagenfurt,ridedott.com,gbfs.api.ridedott.com,2.3,,200,c79c1b0922a540a512b55db4d407ffa8c082962db62fe47ff9d72b09a1153b2f,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,66cc24e82ec3e855ab83e64a5f66b507b441b5ea8a0604e86e87885af69d139b,160,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,404f63d7024fee0fef06d771838cd99d4c78e586219c78ece54de22d2b555e69,1,scooter,electric,true,2026-07-13T15:57:59.912044+00:00,,
19,AT,Dott Klopein,Carinthia,dott-klopein,ridedott.com,gbfs.api.ridedott.com,2.3,,,,,,false,,,,,false,false,false,false,false,false,,,,,,false,2026-07-13T15:58:00.033887+00:00,auto_discovery,RuntimeError: HTTPError: HTTP Error 403: Forbidden
20,AT,Dott Korneuburg,Korneuburg,dott-korneuburg,ridedott.com,gbfs.api.ridedott.com,2.3,,200,103ad490ab638d62c4e92bb6364976559e6d5fece290b47d4cf36155d16809f2,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,903df2fb782a866d7e705086806b2d571f7461a662f59b1a3fd9f51840e566c8,91,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,6b68b58195f923903bb45a6a5e7d984a533cd1d4bbf3a84ab3092d2e2d62607c,1,scooter,electric,true,2026-07-13T15:58:00.068162+00:00,,
21,AT,Dott Leoben,Leoben,dott-leoben,ridedott.com,gbfs.api.ridedott.com,2.3,,200,5c6285c09ea53608122e652d6cbc08fe9f1f125c383d2b048378f3a24c756a31,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,10288a7707a5d7de84e3e8e28d326d3aaa6499e060fa1fb8bc4bd2fd861bff13,86,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,a4f20b22676d02500c0b0b148235b89c1241005061fb5cdc8327986375417177,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:58:00.129333+00:00,,
22,AT,Dott Linz,Linz,dott-linz,ridedott.com,gbfs.api.ridedott.com,2.3,,200,c713cc96fe8e15aad67f4e15f5ea03594c986b728a414ae93ba7bacc7f2ce1a1,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,f65b70592531f8cd37314559bcb0f57e7f73109d9b2c82f1636aabde32c88d90,378,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,de4f695e8e3daab5f913ea93ab6b2568d29b4334a19244c1cf330847e49a2827,1,scooter,electric,true,2026-07-13T15:58:00.140013+00:00,,
23,AT,Dott Mödling,Mödling,dott-modling,ridedott.com,gbfs.api.ridedott.com,2.3,,200,ee2f2623a5eafeba9da01378c11dd191e739a158aba56f7054a1fa0ede580443,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,96287e2aaa32267e8f072169bf8d1a9497ba34020e06c19b19a48df8f8a0bbbe,56,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,1fe9d69f1bf4ef0bd5cd158d07fc3d5fa90430d1ce7fcb317e0c6b5413d345e2,1,scooter,electric,true,2026-07-13T15:58:00.157230+00:00,,
24,AT,Dott Saint Anton am Arlberg,Saint Anton am Arlberg,dott-sankt-anton-am-arlberg,ridedott.com,gbfs.api.ridedott.com,2.3,,200,f22d2190ed080b9be37ac88504bf0e9e82027e2a6c6c2ddd2c061dbbe86b8eaf,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,18ee9b3061078215ec6995a9dd3817240579d845d5f7f6c3dc18d34c280113ce,34,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,bc7731ce04e22ace9642292a3f89c65d8899960747925068c6a63a448bc5784a,1,scooter,electric,true,2026-07-13T15:58:00.280082+00:00,,
25,AT,Dott Serfaus,Serfaus,dott-serfaus,ridedott.com,gbfs.api.ridedott.com,2.3,,200,62f5aff463cc054e8c2c33325bfb84cc879eeba0bcca97cf658a03ddd171b786,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,284f0d5136a8dd02d1e289538d6c7eb7ae433958d5e47230a232144ac121e407,47,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,e9ecd3011a4f583aaeb2d234eb698ca32b222f59c25688b19ba292f4863fdc8f,1,scooter,electric,true,2026-07-13T15:58:00.360950+00:00,,
26,AT,Dott Steyr,Steyr,dott-steyr,ridedott.com,gbfs.api.ridedott.com,2.3,,200,3fc6d3170cd0f148fb75f69b00c26ba3670feecfb29d58180f7c90bbe2ab9428,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,3ea6daebbc22ef6a39be74287c6de721d8f6f908621b8146383bc5b03b424843,24,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,d8476c3dab3f82e6b527260de2c66b0b5e157b95bf9bdbef0ba8bb9793b26b7d,1,scooter,electric,true,2026-07-13T15:58:00.460896+00:00,,
27,AT,Dott Velden-Am-Worthersee,Velden-Am-Worthersee,dott-velden-am-worthersee,ridedott.com,gbfs.api.ridedott.com,2.3,,200,fe27e96ca0f27b24ee7066164cd945b60d8d9119f25a0905fbad893a8568b979,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,fb3dfcd3ef39872869b5408d2d9326a8bacc57e91c82b48d3c8c9567d76a0b34,47,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,9df58d2660d5cb5a01e9f79619455bc3d9f2c0ec23e44de8cccf06d3d03a90d6,1,scooter,electric,true,2026-07-13T15:58:00.489129+00:00,,
28,AT,Dott Villach,Villach,dott-villach,ridedott.com,gbfs.api.ridedott.com,2.3,,200,6da63572f7079f02aadec09093a2d7f312a5d6b544c401afff1fe29f716ed563,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,0cb495b9577148d5eb29194ead0d0ad36741b2a97ab2028a87112fbc43e31247,126,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,f3ddc2f2a16c6d7fd725405e6ece9c36bfdb0c137cf08c7c5237cf980d673c7d,1,scooter,electric,true,2026-07-13T15:58:00.633101+00:00,,
29,AT,Dott Wels,Wels,dott-wels,ridedott.com,gbfs.api.ridedott.com,2.3,,200,e2dd3f4e1d235c40b37b239032e1cb3f8f7f0dfab724fab00cd8a171b7635560,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,f29e738df3137502b11dd2288e68b7ad813fe1721e8b3758e5d3cf16e8480eb5,111,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,1c293453f74bc63d7b415c9684315af9b3f59bcdfc76c197506240fdbe5fe5f3,1,scooter,electric,true,2026-07-13T15:58:00.794278+00:00,,
30,AT,EVENTbike - Austria,Eisenstadt,nextbike_eq,nextbike.at,gbfs.nextbike.net,2.3,,200,f409f92f27df521ac80a0b234ac6ea4e5097f0f7c84c3b7a973cb1ff3b0c0a17,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,058214ab6548ae5ad0518f09eb0795d5218c1557db9666439131629d9341bae5,202,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,2a8eae14116bfa107c9f9ffd7608ae4612f06b4b97cebac9296b4155c97148d7,1,bicycle,human,false,2026-07-13T15:58:00.808131+00:00,,
31,AT,Getaround Graz,Graz,getaround_graz,getaround.com,getaround.com,3.0,,200,04db50579ada9cd487792ab103b7448c14a9c7fa39f010ce4f2ea466925ea2dc,3.0,system_information;system_pricing_plans;vehicle_status;vehicle_types,true,200,d43def578d9a8c23033fa28bed644b59cce3969f82c42e35bab20ce543dbc1bf,1,current_range_meters;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;vehicle_id;vehicle_type_id,true,true,false,false,true,true,200,2726f37ab0a8976122d7a50b8c60d14cc67d28710e2a00dcec50f2f87ec4c266,1,car,combustion,true,2026-07-13T15:58:00.813122+00:00,,
32,AT,Getaround Innsbruck,Innsbruck,getaround_innsbruck,getaround.com,getaround.com,3.0,,200,4889b1f3ba5689211134a777182af0d7f49e0c910d0e484effc9c11f6830b1e2,3.0,system_information;system_pricing_plans;vehicle_status;vehicle_types,true,200,2f221a0c1db9e675cbb2987e97d87246ecbeec569ab9654556a623b9d864f1e0,1,current_range_meters;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;vehicle_id;vehicle_type_id,true,true,false,false,true,true,200,98a249aa88aceb6bac505c086b93be84f3a9a4c7180098ce4463582789552767,1,car,combustion,true,2026-07-13T15:58:00.871969+00:00,,
33,AT,nextbike Klagenfurt Austria,Klagenfurt,nextbike_ka,nextbike.at,gbfs.nextbike.net,2.3,,200,3a830e156963272ef6290fad9264adf7154812eb258e3f6816129acd8a1f991a,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,3a3045c5dc5b4d1c7c62e960364879b2346b17665a66bdcaa23b9bb4efa413af,250,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,true,true,true,200,6e00ea113ef7e985a598c33ed55605c43b482586863ebd31172a79d644f92bda,6,bicycle;cargo_bicycle,electric_assist;human,true,2026-07-13T15:58:00.945985+00:00,,
34,AT,nextbike Niederösterreich,Austria,nextbike_la,nextbike.at,gbfs.nextbike.net,2.3,,200,59e933950c7710e13b1442eeb9252095a8f0f8560991cd5a1cc29d20bef9d082,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,7358a95be81efb6c35f1e6b145312b17a1628804d32ed64bd5d9684f40be9033,1122,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,3cb4bf1c63ea6dc31c8b89f54b6205c4b50247bbd2f873707bf17733320ff228,7,bicycle;cargo_bicycle,electric_assist;human,true,2026-07-13T15:58:01.089352+00:00,,
35,AT,Stadtrad Innsbruck Austria,Innsbruck,nextbike_si,stadtrad-innsbruck.at,gbfs.nextbike.net,2.3,,200,eda79be576708ea729a5dd1ab750d99596c31bd0f89847d8a2037be715406c08,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,80d313bd5ce6b3b5d247c4c201aa48ae60a71c5f11821c8dd3606506873e2311,464,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,18886578ee6f4740f26ca94a6452c3e009190e4bb4549dd2fde568e65cea6943,2,bicycle;cargo_bicycle,human,false,2026-07-13T15:58:01.117154+00:00,,
36,AT,VMOBIL Rad,Dornbirn,nextbike_vo,nextbike.at,gbfs.nextbike.net,2.3,,200,c375d98b442d588f6d3f4458b99d96e937f0d21e64094540dae8f8310428af36,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,1b4f1bfb2d01d91540a4d0aef588e277e3b770e69d0f5cadaa967f54ae996e4a,101,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,fc960601b437b32b9c0f13e773dd453d67feabe3d84f0dbfbff3b5fa30f91ebf,1,bicycle,human,false,2026-07-13T15:58:01.148577+00:00,,
37,AT,VVT REGIORAD Tirol,Austria,nextbike_vt,regiorad.vvt.at,gbfs.nextbike.net,2.3,,200,24c0f4bff35229d948f423cc5c40778f4b570333a18ebfec85e9a62a77dd41bf,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,2f2d1b04bf4260516de78d15bec16037bb63e66d10c37e65b1dfbab84df01733,99,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,1b3dcc242a6ef1085b5d260a5b082056d2dd6141c82897cce5a25845b82e575c,2,bicycle;cargo_bicycle,electric_assist;human,true,2026-07-13T15:58:01.271568+00:00,,
38,AT,WienMobil Rad,Vienna,nextbike_wr,nextbike.at,gbfs.nextbike.net,2.3,,200,968cc41ccd22f1b9da0a3f75b36825e1bc5fcdd14c1c64ca473fae5dbbb0f1cc,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,25da0117ee4d1c8733845d128e99786844b4aa435a91ab8d5e04563b5f193fa1,3085,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,true,true,true,200,d4b574b7865e443c821cba70dfcb23ee382ae1806231543402c64e539a9393d0,7,bicycle,electric_assist;human,true,2026-07-13T15:58:01.341542+00:00,,
39,BA,BL bike,Banja Luka,nextbike_bj,nextbike.ba,gbfs.nextbike.net,2.3,,200,f147b33f9cfd0eecc30d7f0b2dbd501367c439784a14c1057bdb8b70163469b5,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,12401cbe899731f36f886db8c1dce37a319f076c63edb78ed9039aef347aa789,35,bike_id;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,false,false,true,200,0a090599f4c71a7c31c9a53a740601952c029cd720e0f422ba30d69854338064,2,bicycle,human,false,2026-07-13T15:58:01.394432+00:00,,
40,BA,nextbike BIH,Bosnia and Herzegovina,nextbike_ba,nextbike.ba,gbfs.nextbike.net,2.3,,200,325d8f85575b369b8853434e4a2cb14daeba011c6c638bbddd21580e6e783893,2.3,free_bike_status;station_information;station_status;system_hours;system_information;system_pricing_plans;system_regions;vehicle_types,true,200,ecd23c319e19dbf4dff5d426002578f86b40547b0e56d0b5a0ac9d87f4d473e2,119,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;lat;lon;pricing_plan_id;rental_uris;station_id;vehicle_type_id,true,true,false,true,true,true,200,4e1699f1c9d2ce2d580b82548ecd23cbacaec774f986a4c20d343705612a7a91,7,bicycle,electric_assist;human,true,2026-07-13T15:58:01.455478+00:00,,
