system,fn_hz,zeta,hr,sbp_true,sbp_dev,dbp_true,dbp_dev,map_true,map_dev,pp_true,pp_dev
underdamped,10.0,0.15,72.679810044025,112.5684052788423,120.97554129073418,54.92187374130918,51.384994478038834,71.86560452202856,71.86560452202856,57.64653153753313,69.59054681269535
overdamped,8.0,0.8,72.679810044025,112.5684052788423,105.58741325889537,54.92187374130918,55.04603347685532,71.86560452202856,71.86560452202856,57.64653153753313,50.541379782040046
optimal,25.0,0.65,86.52825664961881,102.29335774363874,104.18951031608638,62.4662941446514,63.09905767811212,74.17244584899916,74.17244584899916,39.82706359898734,41.090452637974266
underdamped,10.0,0.15,86.52825664961881,102.29335774363874,109.25982814696913,62.4662941446514,60.454774649990625,74.17244584899916,74.17244584899916,39.82706359898734,48.8050534969785
overdamped,8.0,0.8,86.52825664961881,102.29335774363874,96.34408594894956,62.4662941446514,61.941595596344015,74.17244584899916,74.17244584899916,39.82706359898734,34.40249035260554
optimal,25.0,0.65,62.78376419023469,114.87257229473154,111.87336553828906,84.05338447915364,82.36672948916558,93.11190035686235,93.11190035686234,30.819187815577905,29.506636049123486
underdamped,10.0,0.15,62.78376419023469,114.87257229473154,118.85859908369778,84.05338447915364,82.29496426743074,93.11190035686235,93.11190035686235,30.819187815577905,36.56363481626704
overdamped,8.0,0.8,62.78376419023469,114.87257229473154,113.00723547741957,84.05338447915364,83.90487012771167,93.11190035686235,93.11190035686234,30.819187815577905,29.102365349707895
optimal,25.0,0.65,79.29360879127856,143.34495600320037,145.99721939872396,91.04136698400994,90.92581081635481,106.41467579495799,106.414675794958,52.303589019190426,55.071408582369145
underdamped,10.0,0.15,79.29360879127856,143.34495600320037,152.26752118725582,91.04136698400994,86.44250821218714,106.41467579495799,106.414675794958,52.303589019190426,65.82501297506869
overdamped,8.0,0.8,79.29360879127856,143.34495600320037,138.98091035898986,91.04136698400994,90.04237242586788,106.41467579495799,106.41467579495799,52.303589019190426,48.93853793312198
optimal,25.0,0.65,93.86715487974931,149.24722903993515,146.60525263407288,91.69902762435203,92.50217365897201,108.61385676832904,108.61385676832904,57.54820141558312,54.10307897510087
underdamped,10.0,0.15,93.86715487974931,149.24722903993515,160.57437416522762,91.69902762435203,79.16367749720929,108.61385676832904,108.61385676832904,57.54820141558312,81.41069666801833
overdamped,8.0,0.8,93.86715487974931,149.24722903993515,146.03536292696504,91.69902762435203,90.58008918735652,108.61385676832904,108.61385676832904,57.54820141558312,55.455273739608515
optimal,25.0,0.65,91.55336520814416,112.42062184986794,111.19429144941985,80.27087619067268,79.76297140585446,89.72047568241891,89.72047568241891,32.14974565919526,31.431320043565393
underdamped,10.0,0.15,91.55336520814416,112.42062184986794,118.01904015953015,80.27087619067268,74.9921032126297,89.72047568241891,89.72047568241891,32.14974565919526,43.02693694690045
overdamped,8.0,0.8,91.55336520814416,112.42062184986794,106.86990598453913,80.27087619067268,80.90369640518362,89.72047568241891,89.72047568241891,32.14974565919526,25.966209579355507
optimal,25.0,0.65,61.778913270304166,116.94697780993627,116.90496864840857,60.62883614841391,60.754753934564704,77.18212053399668,77.18212053399668,56.31814166152236,56.150214713843866
underdamped,10.0,0.15,61.778913270304166,116.94697780993627,126.20293556396295,60.62883614841391,56.64506046683016,77.18212053399668,77.18212053399667,56.31814166152236,69.5578750971328
overdamped,8.0,0.8,61.778913270304166,116.94697780993627,112.23260048268303,60.62883614841391,59.88498778070441,77.18212053399668,77.18212053399668,56.31814166152236,52.34761270197862
optimal,25.0,0.65,66.2264963408415,113.20708186768218,112.81235060696942,53.78270486223268,54.45738553745556,71.24898807021275,71.24898807021275,59.4243770054495,58.35496506951386
underdamped,10.0,0.15,66.2264963408415,113.20708186768218,122.90300600232372,53.78270486223268,48.80125662389586,71.24898807021275,71.24898807021275,59.4243770054495,74.10174937842785
overdamped,8.0,0.8,66.2264963408415,113.20708186768218,113.52217071664762,53.78270486223268,56.56895210852119,71.24898807021275,71.24898807021275,59.4243770054495,56.953218608126434
optimal,25.0,0.65,87.59215067906715,120.05287179264388,119.65803340777667,70.14080815321469,70.96504783201853,84.81118894561322,84.81118894561321,49.91206363942919,48.692985575758144
underdamped,10.0,0.15,87.59215067906715,120.05287179264388,129.81575949069295,70.14080815321469,62.66233693760507,84.81118894561322,84.81118894561321,49.91206363942919,67.15342255308789
overdamped,8.0,0.8,87.59215067906715,120.05287179264388,115.2333810033047,70.14080815321469,71.12204119123739,84.81118894561322,84.81118894561321,49.91206363942919,44.111339812067314
optimal,25.0,0.65,62.611821990097035,121.7863466115285,121.61845309373243,64.79791573497164,62.99099270393805,81.54821457574968,81.54821457574967,56.98843087655686,58.62746038979438
underdamped,10.0,0.15,62.611821990097035,121.7863466115285,130.06791807723758,64.79791573497164,61.99072377584891,81.54821457574968,81.54821457574967,56.98843087655686,68.07719430138866
overdamped,8.0,0.8,62.611821990097035,121.7863466115285,117.4894500676861,64.79791573497164,63.951348039078326,81.54821457574968,81.54821457574967,56.98843087655686,53.53810202860778
optimal,25.0,0.65,75.96540676575012,102.31403162436013,101.30916889884655,66.353169224951,65.11194322694752,76.92294948556159,76.92294948556159,35.96086239940912,36.197225671899034
underdamped,10.0,0.15,75.96540676575012,102.31403162436013,106.65506214118639,66.353169224951,62.27697842005769,76.92294948556159,76.92294948556157,35.96086239940912,44.378083721128704
overdamped,8.0,0.8,75.96540676575012,102.31403162436013,99.07598195633658,66.353169224951,65.4819096277669,76.92294948556159,76.92294948556157,35.96086239940912,33.59407232856968
optimal,25.0,0.65,63.33123097025681,103.91067588448459,106.06038552354717,65.97255539257674,65.8399883636606,77.12350034618336,77.12350034618336,37.93812049190785,40.22039715988657
underdamped,10.0,0.15,63.33123097025681,103.91067588448459,108.61877903162002,65.97255539257674,63.8645137084415,77.12350034618336,77.12350034618335,37.93812049190785,44.75426532317852
overdamped,8.0,0.8,63.33123097025681,103.91067588448459,103.01693032381793,65.97255539257674,69.15417057327018,77.12350034618336,77.12350034618336,37.93812049190785,33.86275975054775
optimal,25.0,0.65,71.39645606674439,134.41823950619457,132.74923160324772,81.10718066791671,80.7345590470861,96.7766095910211,96.77660959102109,53.31105883827786,52.01467255616163
underdamped,10.0,0.15,71.39645606674439,134.41823950619457,143.95979951229546,81.10718066791671,78.58117525444828,96.7766095910211,96.7766095910211,53.31105883827786,65.37862425784718
overdamped,8.0,0.8,71.39645606674439,134.41823950619457,130.21750162942163,81.10718066791671,82.7190146536576,96.7766095910211,96.77660959102109,53.31105883827786,47.49848697576404
optimal,25.0,0.65,84.03473599256407,123.15185271822061,122.13794603581272,71.65561374569884,72.26924885003672,86.79162255833481,86.79162255833481,51.496238972521766,49.868697185776
underdamped,10.0,0.15,84.03473599256407,123.15185271822061,133.95672948318904,71.65561374569884,67.35160283564502,86.79162255833481,86.7916225583348,51.496238972521766,66.60512664754401
overdamped,8.0,0.8,84.03473599256407,123.15185271822061,115.70936786251653,71.65561374569884,69.78215099118734,86.79162255833481,86.79162255833481,51.496238972521766,45.92721687132919
optimal,25.0,0.65,88.83926085908794,128.57895733746216,130.76006755907363,90.13210355260085,89.52536590121049,101.43257770987482,101.43257770987482,38.446853784861304,41.23470165786314
underdamped,10.0,0.15,88.83926085908794,128.57895733746216,138.10630530307515,90.13210355260085,87.02365274926834,101.43257770987482,101.43257770987482,38.446853784861304,51.08265255380681
overdamped,8.0,0.8,88.83926085908794,128.57895733746216,124.91384720326894,90.13210355260085,89.62456564617642,101.43257770987482,101.43257770987482,38.446853784861304,35.28928155709252
optimal,25.0,0.65,83.07303728390747,124.54999120994513,127.22969635663675,86.4960572399452,83.97647209216944,97.6810426178624,97.6810426178624,38.05393396999993,43.253224264467306
underdamped,10.0,0.15,83.07303728390747,124.54999120994513,132.55308477040725,86.4960572399452,83.77603935667608,97.6810426178624,97.6810426178624,38.05393396999993,48.77704541373117
overdamped,8.0,0.8,83.07303728390747,124.54999120994513,120.90434214839341,86.4960572399452,84.15066881349244,97.6810426178624,97.6810426178624,38.05393396999993,36.75367333490097
optimal,25.0,0.65,69.76449354223021,104.91839642439191,104.54738594565926,71.77392417947486,70.93131497548416,81.51589823425826,81.51589823425826,33.144472244917054,33.6160709701751
underdamped,10.0,0.15,69.76449354223021,104.91839642439191,109.0869527873464,71.77392417947486,69.93584380352489,81.51589823425826,81.51589823425826,33.144472244917054,39.151108983821516
overdamped,8.0,0.8,69.76449354223021,104.91839642439191,103.38179853727455,71.77392417947486,73.33188878037335,81.51589823425826,81.51589823425826,33.144472244917054,30.0499097569012
optimal,25.0,0.65,61.965508049208324,116.84533176442461,114.75407674017374,73.97154870764072,71.72044894185707,86.57320605439948,86.57320605439948,42.87378305678389,43.03362779831667
underdamped,10.0,0.15,61.965508049208324,116.84533176442461,124.28454082563881,73.97154870764072,73.41092032953783,86.57320605439948,86.57320605439948,42.87378305678389,50.87362049610098
overdamped,8.0,0.8,61.965508049208324,116.84533176442461,118.62477573963294,73.97154870764072,73.4204589062324,86.57320605439948,86.57320605439948,42.87378305678389,45.20431683340054
optimal,25.0,0.65,70.08061296135874,131.52665957425975,132.10985200553867,75.28918656590544,72.76583933809533,91.81876045399135,91.81876045399136,56.237473008354314,59.34401266744334
underdamped,10.0,0.15,70.08061296135874,131.52665957425975,140.7418485648309,75.28918656590544,73.5069682847085,91.81876045399135,91.81876045399136,56.237473008354314,67.23488028012238
overdamped,8.0,0.8,70.08061296135874,131.52665957425975,126.06781479159484,75.28918656590544,74.97335848931773,91.81876045399135,91.81876045399136,56.237473008354314,51.09445630227711
optimal,25.0,0.65,86.00266590208601,116.72881050078284,118.98279091431067,74.77064824438688,74.07793993658477,87.1031821603821,87.10318216038209,41.958162256395966,44.9048509777259
underdamped,10.0,0.15,86.00266590208601,116.72881050078284,126.54795625316913,74.77064824438688,69.24172012971772,87.1031821603821,87.1031821603821,41.958162256395966,57.30623612345141
overdamped,8.0,0.8,86.00266590208601,116.72881050078284,116.28813147592774,74.77064824438688,77.11571077226911,87.1031821603821,87.1031821603821,41.958162256395966,39.17242070365863
optimal,25.0,0.65,84.70481318581054,132.81317041070352,134.38404222375533,98.67609700195504,96.11306269530081,108.70982090610516,108.70982090610515,34.13707340874848,38.27097952845452
underdamped,10.0,0.15,84.70481318581054,132.81317041070352,139.1301658639871,98.67609700195504,96.67555313599075,108.70982090610516,108.70982090610516,34.13707340874848,42.454612727996334
overdamped,8.0,0.8,84.70481318581054,132.81317041070352,130.59495984078492,98.67609700195504,96.82092847056762,108.70982090610516,108.70982090610516,34.13707340874848,33.7740313702173
optimal,25.0,0.65,79.2823562243471,145.62885381336486,142.70498489400418,91.22931366300412,88.48233903335354,107.21867396480332,107.21867396480332,54.399540150360735,54.222645860650644
underdamped,10.0,0.15,79.2823562243471,145.62885381336486,153.067476776735,91.22931366300412,87.55970939615007,107.21867396480332,107.21867396480332,54.399540150360735,65.50776738058492
overdamped,8.0,0.8,79.2823562243471,145.62885381336486,141.8010071255265,91.22931366300412,90.0267977269072,107.21867396480332,107.21867396480332,54.399540150360735,51.77420939861929
optimal,25.0,0.65,91.6876747080708,113.90093491817048,115.43664109312611,74.83444613607412,73.38828557347138,86.31704623042424,86.31704623042424,39.06648878209636,42.048355519654734
underdamped,10.0,0.15,91.6876747080708,113.90093491817048,120.41736739305396,74.83444613607412,67.55828640446073,86.31704623042424,86.31704623042424,39.06648878209636,52.859080988593234
overdamped,8.0,0.8,91.6876747080708,113.90093491817048,109.9651160501552,74.83444613607412,76.20064630988715,86.31704623042424,86.31704623042424,39.06648878209636,33.764469740268055
optimal,25.0,0.65,58.12770232835406,97.06576985171685,94.25879381644693,59.933515974037824,58.42241991611238,70.8475969465431,70.8475969465431,37.13225387767903,35.83637390033454
underdamped,10.0,0.15,58.12770232835406,97.06576985171685,100.97580673850945,59.933515974037824,55.882605598021826,70.8475969465431,70.8475969465431,37.13225387767903,45.09320114048762
overdamped,8.0,0.8,58.12770232835406,97.06576985171685,94.70468669288637,59.933515974037824,56.643604220097494,70.8475969465431,70.84759694654312,37.13225387767903,38.061082472788875
optimal,25.0,0.65,85.10974631502621,124.10213666872619,122.69632887448641,91.53079582324798,91.81766913559804,101.10431248996206,101.10431248996206,32.571340845478204,30.878659738888373
underdamped,10.0,0.15,85.10974631502621,124.10213666872619,131.12042037945068,91.53079582324798,90.07391573074231,101.10431248996206,101.10431248996206,32.571340845478204,41.046504648708364
overdamped,8.0,0.8,85.10974631502621,124.10213666872619,120.83747647348032,91.53079582324798,91.1853021977699,101.10431248996206,101.10431248996206,32.571340845478204,29.652174275710422
optimal,25.0,0.65,81.77341209892283,122.76877551540639,123.04138522395509,65.3959019900534,66.15437556290388,82.25919796297609,82.25919796297609,57.372873525352986,56.88700966105121
underdamped,10.0,0.15,81.77341209892283,122.76877551540639,131.31816335243445,65.3959019900534,64.03115102277373,82.25919796297609,82.25919796297609,57.372873525352986,67.28701232966073
overdamped,8.0,0.8,81.77341209892283,122.76877551540639,118.50480838577147,65.3959019900534,64.98221502910214,82.25919796297609,82.2591979629761,57.372873525352986,53.52259335666933
optimal,25.0,0.65,84.36273373390497,109.0210531549919,107.02850723488208,59.99640156146344,61.561912347117726,74.40595016853752,74.40595016853752,49.02465159352846,45.46659488776436
underdamped,10.0,0.15,84.36273373390497,109.0210531549919,118.07842387112564,59.99640156146344,56.72889998813455,74.40595016853752,74.40595016853752,49.02465159352846,61.349523882991086
overdamped,8.0,0.8,84.36273373390497,109.0210531549919,104.2637061740364,59.99640156146344,60.38337044493678,74.40595016853752,74.40595016853753,49.02465159352846,43.88033572909962
optimal,25.0,0.65,67.19638474811988,131.17730432479354,131.73770059063236,72.48180348829754,73.68382064655154,89.73385209707732,89.73385209707732,58.695500836495995,58.05387994408082
underdamped,10.0,0.15,67.19638474811988,131.17730432479354,142.41187963053954,72.48180348829754,69.99168342804772,89.73385209707732,89.73385209707732,58.695500836495995,72.42019620249182
overdamped,8.0,0.8,67.19638474811988,131.17730432479354,129.05347488343898,72.48180348829754,70.85301786929314,89.73385209707732,89.73385209707732,58.695500836495995,58.20045701414584
optimal,25.0,0.65,73.11607372174626,109.79878329812715,110.05010374577613,72.69329161492055,72.45245890212207,83.59950652148662,83.59950652148662,37.105491683206594,37.59764484365405
underdamped,10.0,0.15,73.11607372174626,109.79878329812715,118.2409915920691,72.69329161492055,70.44259448514508,83.59950652148662,83.59950652148662,37.105491683206594,47.798397106924014
overdamped,8.0,0.8,73.11607372174626,109.79878329812715,105.88058556526325,72.69329161492055,74.33730511021643,83.59950652148662,83.59950652148662,37.105491683206594,31.543280455046812
optimal,25.0,0.65,77.63586077775369,106.15063837337158,107.00441516562147,55.72568172597272,56.18270097486197,70.54681436439849,70.54681436439849,50.42495664739886,50.821714190759494
underdamped,10.0,0.15,77.63586077775369,106.15063837337158,116.11467919529264,55.72568172597272,52.74653154819721,70.54681436439849,70.54681436439849,50.42495664739886,63.36814764709543
overdamped,8.0,0.8,77.63586077775369,106.15063837337158,101.05608387141031,55.72568172597272,56.00632272598311,70.54681436439849,70.54681436439849,50.42495664739886,45.0497611454272
optimal,25.0,0.65,87.503713844555,102.91651985543113,101.36091211543382,71.91398552981276,72.20492527258276,81.02639144778672,81.02639144778672,31.00253432561837,29.155986842851064
underdamped,10.0,0.15,87.503713844555,102.91651985543113,110.55581169135128,71.91398552981276,70.26036945810475,81.02639144778672,81.02639144778672,31.00253432561837,40.29544223324653
overdamped,8.0,0.8,87.503713844555,102.91651985543113,99.79836249186958,71.91398552981276,72.47811154436953,81.02639144778672,81.02639144778672,31.00253432561837,27.320250947500057
optimal,25.0,0.65,82.62242889890693,134.33156092907947,134.9077865020564,86.09566969006153,88.36774441656571,100.2733822657062,100.2733822657062,48.235891239017946,46.5400420854907
underdamped,10.0,0.15,82.62242889890693,134.33156092907947,143.9731843339503,86.09566969006153,85.15177190781117,100.2733822657062,100.2733822657062,48.235891239017946,58.82141242613912
overdamped,8.0,0.8,82.62242889890693,134.33156092907947,130.42749296595406,86.09566969006153,84.6025683180232,100.2733822657062,100.2733822657062,48.235891239017946,45.82492464793086
optimal,25.0,0.65,73.14725952750132,121.38292408741455,121.18295102521323,66.41922692058894,66.48145982699309,82.57440681898973,82.57440681898973,54.96369716682561,54.70149119822014
underdamped,10.0,0.15,73.14725952750132,121.38292408741455,131.90851576946662,66.41922692058894,65.78128195869155,82.57440681898973,82.57440681898973,54.96369716682561,66.12723381077507
overdamped,8.0,0.8,73.14725952750132,121.38292408741455,116.78906999316472,66.41922692058894,66.6091056005556,82.57440681898973,82.57440681898973,54.96369716682561,50.17996439260912
optimal,25.0,0.65,73.180886496919,114.1173355067134,116.52174156653665,73.03600692742312,71.63008386418528,85.11081790037059,85.11081790037059,41.081328579290286,44.89165770235137
underdamped,10.0,0.15,73.180886496919,114.1173355067134,122.58991766816327,73.03600692742312,69.25430056110895,85.11081790037059,85.11081790037059,41.081328579290286,53.33561710705432
overdamped,8.0,0.8,73.180886496919,114.1173355067134,111.98907942446236,73.03600692742312,70.93946605005142,85.11081790037059,85.11081790037059,41.081328579290286,41.04961337441094
optimal,25.0,0.65,85.09853487148023,124.44426608385363,123.24538311951818,85.63360249285009,85.96131919114586,97.04100928329812,97.04100928329814,38.81066359100355,37.28406392837232
underdamped,10.0,0.15,85.09853487148023,124.44426608385363,133.46476663527633,85.63360249285009,80.11712869618961,97.04100928329812,97.04100928329814,38.81066359100355,53.347637939086724
overdamped,8.0,0.8,85.09853487148023,124.44426608385363,121.11461682276378,85.63360249285009,84.67875495069725,97.04100928329812,97.04100928329812,38.81066359100355,36.435861872066525
optimal,25.0,0.65,63.6054303591757,146.67183644270455,146.55120583985212,89.25744413569217,91.68337352562078,106.13294349778707,106.13294349778707,57.41439230701238,54.867832314231336
underdamped,10.0,0.15,63.6054303591757,146.67183644270455,155.4445186575203,89.25744413569217,87.34203377650493,106.13294349778707,106.13294349778707,57.41439230701238,68.10248488101536
overdamped,8.0,0.8,63.6054303591757,146.67183644270455,142.98529461460578,89.25744413569217,89.10216164180459,106.13294349778707,106.13294349778707,57.41439230701238,53.88313297280119
optimal,25.0,0.65,82.0360123529046,109.45548209315291,109.6818153307771,63.55334833075597,60.91880021163851,77.0451122927254,77.04511229272542,45.902133762396936,48.763015119138586
underdamped,10.0,0.15,82.0360123529046,109.45548209315291,115.98193247607634,63.55334833075597,61.05699517937339,77.0451122927254,77.0451122927254,45.902133762396936,54.92493729670295
overdamped,8.0,0.8,82.0360123529046,109.45548209315291,106.76691362256861,63.55334833075597,63.293027215471305,77.0451122927254,77.04511229272542,45.902133762396936,43.473886407097304
optimal,25.0,0.65,77.81197355092846,113.56350611342208,113.31436605966182,77.66246323753069,76.13223278727143,88.2146610716729,88.2146610716729,35.90104287589139,37.18213327239039
underdamped,10.0,0.15,77.81197355092846,113.56350611342208,120.7178742118794,77.66246323753069,76.80581942509713,88.2146610716729,88.2146610716729,35.90104287589139,43.91205478678228
overdamped,8.0,0.8,77.81197355092846,113.56350611342208,109.39045243392557,77.66246323753069,75.58333763887998,88.2146610716729,88.2146610716729,35.90104287589139,33.80711479504559
optimal,25.0,0.65,61.15239357178488,97.59829003186753,96.07942956032517,58.81976725712685,57.801950643760954,70.21772707265194,70.21772707265194,38.778522774740686,38.27747891656421
underdamped,10.0,0.15,61.15239357178488,97.59829003186753,103.71292917064112,58.81976725712685,56.61823648849528,70.21772707265194,70.21772707265194,38.778522774740686,47.09469268214584
overdamped,8.0,0.8,61.15239357178488,97.59829003186753,95.34597111995299,58.81976725712685,58.96550146074005,70.21772707265194,70.21772707265194,38.778522774740686,36.38046965921294
optimal,25.0,0.65,78.19754759082335,135.870370956702,135.71994335828933,78.27425999977947,76.87709741351898,95.20317093408508,95.20317093408508,57.59611095692253,58.842845944770346
underdamped,10.0,0.15,78.19754759082335,135.870370956702,142.25888619271961,78.27425999977947,75.9657477570794,95.20317093408508,95.20317093408508,57.59611095692253,66.29313843564022
overdamped,8.0,0.8,78.19754759082335,135.870370956702,133.59305916871065,78.27425999977947,76.22935632925089,95.20317093408508,95.20317093408507,57.59611095692253,57.36370283945976
optimal,25.0,0.65,92.94037926857203,141.36515441495192,143.29445801079783,88.08128454903367,86.55942962448418,103.74272196570085,103.74272196570085,53.28386986591825,56.735028386313644
underdamped,10.0,0.15,92.94037926857203,141.36515441495192,150.16711289301594,88.08128454903367,77.52946828666032,103.74272196570085,103.74272196570084,53.28386986591825,72.63764460635562
overdamped,8.0,0.8,92.94037926857203,141.36515441495192,133.01007378124083,88.08128454903367,87.2219684416071,103.74272196570085,103.74272196570082,53.28386986591825,45.78810533963373
optimal,25.0,0.65,57.29296097289348,146.75001820079498,149.59966202461956,91.36697723305592,91.22629764791066,107.6454125689953,107.6454125689953,55.38304096773906,58.373364376708906
underdamped,10.0,0.15,57.29296097289348,146.75001820079498,156.56750784617356,91.36697723305592,87.31963040906845,107.6454125689953,107.6454125689953,55.38304096773906,69.2478774371051
overdamped,8.0,0.8,57.29296097289348,146.75001820079498,142.36732968282246,91.36697723305592,89.54544287092945,107.6454125689953,107.6454125689953,55.38304096773906,52.82188681189301
optimal,25.0,0.65,85.97646356443514,126.69459725358023,129.40086859534182,88.98662352746183,88.71678160633965,100.06992269674141,100.06992269674141,37.7079737261184,40.68408698900217
underdamped,10.0,0.15,85.97646356443514,126.69459725358023,131.56709511356289,88.98662352746183,87.60729172288225,100.06992269674141,100.06992269674141,37.7079737261184,43.959803390680634
overdamped,8.0,0.8,85.97646356443514,126.69459725358023,122.08928813999879,88.98662352746183,90.14453185305483,100.06992269674141,100.06992269674141,37.7079737261184,31.944756286943957
optimal,25.0,0.65,77.96214545271633,130.11516527601987,129.95972524420938,88.14666835023792,86.63705199958508,100.48223987927096,100.48223987927095,41.96849692578195,43.3226732446243
underdamped,10.0,0.15,77.96214545271633,130.11516527601987,138.06412220237252,88.14666835023792,88.4385161005527,100.48223987927096,100.48223987927095,41.96849692578195,49.62560610181981
overdamped,8.0,0.8,77.96214545271633,130.11516527601987,126.59154184560444,88.14666835023792,88.98934012638199,100.48223987927096,100.48223987927095,41.96849692578195,37.60220171922245
optimal,25.0,0.65,68.45624053394458,106.04609171087303,107.42692662794889,75.80550454247488,80.56501413898295,84.69395548593891,84.6939554859389,30.24058716839815,26.86191248896594
underdamped,10.0,0.15,68.45624053394458,106.04609171087303,110.04183893782715,75.80550454247488,75.48535897285163,84.69395548593891,84.6939554859389,30.24058716839815,34.55647996497552
overdamped,8.0,0.8,68.45624053394458,106.04609171087303,104.42443310695873,75.80550454247488,76.37735941468317,84.69395548593891,84.6939554859389,30.24058716839815,28.04707369227556
optimal,25.0,0.65,70.69313994540525,133.7235570450451,136.68805826827554,86.86331948974716,87.64224530195277,100.6366936768926,100.6366936768926,46.86023755529796,49.04581296632277
underdamped,10.0,0.15,70.69313994540525,133.7235570450451,139.53481809638777,86.86331948974716,83.70159184931283,100.6366936768926,100.6366936768926,46.86023755529796,55.83322624707493
overdamped,8.0,0.8,70.69313994540525,133.7235570450451,131.68762432482828,86.86331948974716,85.50670758808873,100.6366936768926,100.63669367689259,46.86023755529796,46.18091673673955
optimal,25.0,0.65,69.96616012423256,118.78453462254342,119.31513627350463,83.10513020758081,81.08591136522772,93.59218305706449,93.59218305706449,35.679404414962605,38.22922490827692
underdamped,10.0,0.15,69.96616012423256,118.78453462254342,124.50137033744235,83.10513020758081,81.02740968492384,93.59218305706449,93.59218305706449,35.679404414962605,43.473960652518514
overdamped,8.0,0.8,69.96616012423256,118.78453462254342,114.70944234429199,83.10513020758081,82.91651231902526,93.59218305706449,93.59218305706449,35.679404414962605,31.792930025266728
optimal,25.0,0.65,68.49222774093538,104.90715510752074,105.5974116969257,56.93881839862381,54.46214348039649,71.03789012968308,71.03789012968306,47.96833670889693,51.13526821652921
underdamped,10.0,0.15,68.49222774093538,104.90715510752074,114.72127585643625,56.93881839862381,54.18376042522538,71.03789012968308,71.03789012968306,47.96833670889693,60.53751543121087
overdamped,8.0,0.8,68.49222774093538,104.90715510752074,102.84165646425522,56.93881839862381,58.00519224505497,71.03789012968308,71.03789012968308,47.96833670889693,44.83646421920025
optimal,25.0,0.65,76.61484509133818,121.76611346869464,123.44012246428191,88.54873222193746,89.30114766727985,98.31213602220113,98.31213602220113,33.217381246757185,34.138974797002064
underdamped,10.0,0.15,76.61484509133818,121.76611346869464,131.63361556707434,88.54873222193746,85.70572540962303,98.31213602220113,98.31213602220113,33.217381246757185,45.927890157451316
overdamped,8.0,0.8,76.61484509133818,121.76611346869464,119.72586384759632,88.54873222193746,86.7329237175583,98.31213602220113,98.31213602220113,33.217381246757185,32.99294013003802
optimal,25.0,0.65,76.31043416464728,119.44650801251247,117.62801945410402,81.55875425663892,80.83514385351005,92.69489519007456,92.69489519007456,37.88775375587355,36.79287560059397
underdamped,10.0,0.15,76.31043416464728,119.44650801251247,127.85156755784665,81.55875425663892,80.70497583942957,92.69489519007456,92.69489519007456,37.88775375587355,47.146591718417085
overdamped,8.0,0.8,76.31043416464728,119.44650801251247,116.88908784160823,81.55875425663892,80.36898290457745,92.69489519007456,92.69489519007456,37.88775375587355,36.52010493703078
optimal,25.0,0.65,93.5422382288152,135.15528996690395,136.25231386223706,82.8490152429511,79.29334058105002,98.22311344846007,98.22311344846007,52.30627472395285,56.95897328118704
underdamped,10.0,0.15,93.5422382288152,135.15528996690395,141.80028109580869,82.8490152429511,71.07323817690447,98.22311344846007,98.22311344846007,52.30627472395285,70.72704291890422
