name,haplotype,pop,region,chrom,start,end,mean_prob,ND_type,Altai,Vindija,Denisova,Chagyrskaya,closest_reference,strict_overlap,segment_length,analysis_group
HG01345,hap1,CLM,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01345,hap2,CLM,AMERICA,chr9,133483000,133621000,0.9036,Neanderthal,16,21,2,17,Vindija,False,138000,Admixed Americas
HG01346,hap2,CLM,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01348,hap2,CLM,AMERICA,chr9,133483000,133502000,0.90445,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01349,hap2,CLM,AMERICA,chr9,133483000,133502000,0.90445,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01351,hap1,CLM,AMERICA,chr9,133481000,133511000,0.9136,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01351,hap2,CLM,AMERICA,chr9,133254000,133511000,0.93549,Neanderthal,39,51,4,46,Vindija,True,257000,Admixed Americas
HG01352,hap2,CLM,AMERICA,chr9,133481000,133511000,0.9136,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01356,hap1,CLM,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01357,hap2,CLM,AMERICA,chr9,133301000,133341000,0.97118,Neanderthal,7,10,0,11,Chagyrskaya,False,40000,Admixed Americas
HG01362,hap2,CLM,AMERICA,chr9,133301000,133521000,0.98038,Neanderthal,40,58,0,55,Vindija,False,220000,Admixed Americas
HG01363,hap2,CLM,AMERICA,chr9,133481000,133511000,0.9136,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01365,hap2,CLM,AMERICA,chr9,133481000,133511000,0.91029,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01374,hap1,CLM,AMERICA,chr9,133301000,133446000,0.97745,Neanderthal,31,49,0,45,Vindija,False,145000,Admixed Americas
HG01374,hap2,CLM,AMERICA,chr9,133481000,133511000,0.91338,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01375,hap1,CLM,AMERICA,chr9,133184000,133427000,0.97832,Neanderthal,47,45,4,51,Chagyrskaya,True,243000,Admixed Americas
HG01376,hap1,CLM,AMERICA,chr9,133481000,133511000,0.91338,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01377,hap2,CLM,AMERICA,chr9,133484000,133513000,0.8494,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01383,hap1,CLM,AMERICA,chr9,133301000,133441000,0.98515,Neanderthal,31,49,0,45,Vindija,False,140000,Admixed Americas
HG01383,hap2,CLM,AMERICA,chr9,133481000,133510000,0.92212,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01384,hap1,CLM,AMERICA,chr9,133484000,133511000,0.85831,Neanderthal,2,2,0,2,Tie,False,27000,Admixed Americas
HG01384,hap2,CLM,AMERICA,chr9,133190000,133217000,0.91442,Neanderthal,1,1,0,3,Chagyrskaya,False,27000,Admixed Americas
HG01385,hap1,CLM,AMERICA,chr9,133301000,133441000,0.98515,Neanderthal,31,49,0,45,Vindija,False,140000,Admixed Americas
HG01385,hap2,CLM,AMERICA,chr9,133190000,133217000,0.91442,Neanderthal,1,1,0,3,Chagyrskaya,False,27000,Admixed Americas
HG01389,hap2,CLM,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01391,hap1,CLM,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01438,hap2,CLM,AMERICA,chr9,133481000,133511000,0.92274,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01439,hap2,CLM,AMERICA,chr9,133481000,133511000,0.92274,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01455,hap2,CLM,AMERICA,chr9,133481000,133509000,0.88761,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01456,hap2,CLM,AMERICA,chr9,133481000,133508000,0.90147,Neanderthal,2,2,0,2,Tie,False,27000,Admixed Americas
HG01457,hap1,CLM,AMERICA,chr9,133481000,133509000,0.88761,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01461,hap1,CLM,AMERICA,chr9,133179000,133236000,0.91287,Neanderthal,1,1,0,2,Chagyrskaya,True,57000,Admixed Americas
HG01463,hap1,CLM,AMERICA,chr9,133179000,133236000,0.91287,Neanderthal,1,1,0,2,Chagyrskaya,True,57000,Admixed Americas
HG01464,hap1,CLM,AMERICA,chr9,133482000,133511000,0.84695,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01468,hap1,CLM,AMERICA,chr9,133484000,133511000,0.85831,Neanderthal,2,2,0,2,Tie,False,27000,Admixed Americas
HG01479,hap1,CLM,AMERICA,chr9,133224000,133251000,0.87074,Neanderthal,5,5,0,4,Tie,True,27000,Admixed Americas
HG01491,hap2,CLM,AMERICA,chr9,133481000,133511000,0.92141,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01494,hap2,CLM,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
NA19651,hap1,MXL,AMERICA,chr9,133301000,133446000,0.97791,Neanderthal,30,48,0,44,Vindija,False,145000,Admixed Americas
NA19653,hap2,MXL,AMERICA,chr9,133301000,133446000,0.97791,Neanderthal,30,48,0,44,Vindija,False,145000,Admixed Americas
NA19658,hap2,MXL,AMERICA,chr9,133301000,133340000,0.95605,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
NA19659,hap1,MXL,AMERICA,chr9,133301000,133340000,0.95605,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
NA19670,hap2,MXL,AMERICA,chr9,133449000,133479000,0.82732,Neanderthal,6,7,0,6,Vindija,False,30000,Admixed Americas
NA19675,hap1,MXL,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19677,hap2,MXL,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19678,hap2,MXL,AMERICA,chr9,133481000,133509000,0.90789,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19679,hap1,MXL,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19680,hap2,MXL,AMERICA,chr9,133481000,133509000,0.90789,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19720,hap2,MXL,AMERICA,chr9,133483000,133502000,0.90937,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
NA19722,hap2,MXL,AMERICA,chr9,133481000,133509000,0.80253,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19735,hap2,MXL,AMERICA,chr9,133481000,133509000,0.80714,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19747,hap1,MXL,AMERICA,chr9,133254000,133513000,0.98454,Neanderthal,50,52,4,58,Chagyrskaya,True,259000,Admixed Americas
NA19748,hap1,MXL,AMERICA,chr9,133254000,133513000,0.98454,Neanderthal,50,52,4,58,Chagyrskaya,True,259000,Admixed Americas
NA19756,hap2,MXL,AMERICA,chr9,133480000,133502000,0.8928,Neanderthal,2,6,0,3,Vindija,False,22000,Admixed Americas
NA19757,hap1,MXL,AMERICA,chr9,133480000,133502000,0.8928,Neanderthal,2,6,0,3,Vindija,False,22000,Admixed Americas
NA19758,hap1,MXL,AMERICA,chr9,133030000,133076000,0.93337,Neanderthal,20,20,14,21,Chagyrskaya,False,46000,Admixed Americas
NA19760,hap2,MXL,AMERICA,chr9,133030000,133076000,0.93337,Neanderthal,20,20,14,21,Chagyrskaya,False,46000,Admixed Americas
NA19761,hap2,MXL,AMERICA,chr9,133449000,133502000,0.91957,Neanderthal,8,13,0,9,Vindija,False,53000,Admixed Americas
NA19763,hap2,MXL,AMERICA,chr9,133449000,133502000,0.91957,Neanderthal,8,13,0,9,Vindija,False,53000,Admixed Americas
NA19771,hap1,MXL,AMERICA,chr9,133385000,133621000,0.96195,Neanderthal,25,39,2,35,Vindija,False,236000,Admixed Americas
NA19772,hap1,MXL,AMERICA,chr9,133385000,133621000,0.96195,Neanderthal,25,39,2,35,Vindija,False,236000,Admixed Americas
NA19779,hap2,MXL,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19781,hap2,MXL,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
NA19794,hap1,MXL,AMERICA,chr9,133301000,133346000,0.91796,Neanderthal,7,10,0,11,Chagyrskaya,False,45000,Admixed Americas
NA19796,hap2,MXL,AMERICA,chr9,133301000,133346000,0.91796,Neanderthal,7,10,0,11,Chagyrskaya,False,45000,Admixed Americas
HG01577,hap2,PEL,AMERICA,chr9,133383000,133511000,0.9742,Neanderthal,13,27,0,22,Vindija,False,128000,Admixed Americas
HG01579,hap1,PEL,AMERICA,chr9,133383000,133511000,0.9742,Neanderthal,13,27,0,22,Vindija,False,128000,Admixed Americas
HG01922,hap2,PEL,AMERICA,chr9,133078000,133085000,0.81186,Neanderthal,1,1,0,1,Tie,False,7000,Admixed Americas
HG01936,hap2,PEL,AMERICA,chr9,133301000,133621000,0.94515,Neanderthal,52,70,2,67,Vindija,False,320000,Admixed Americas
HG01937,hap2,PEL,AMERICA,chr9,133301000,133621000,0.94515,Neanderthal,52,70,2,67,Vindija,False,320000,Admixed Americas
HG01941,hap1,PEL,AMERICA,chr9,133483000,133502000,0.9051,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01943,hap1,PEL,AMERICA,chr9,133483000,133502000,0.9051,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01961,hap2,PEL,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01965,hap1,PEL,AMERICA,chr9,133326000,133443000,0.98689,Neanderthal,33,38,0,42,Chagyrskaya,False,117000,Admixed Americas
HG01973,hap1,PEL,AMERICA,chr9,133448000,133502000,0.94812,Neanderthal,8,13,0,9,Vindija,False,54000,Admixed Americas
HG01975,hap2,PEL,AMERICA,chr9,133448000,133502000,0.94812,Neanderthal,8,13,0,9,Vindija,False,54000,Admixed Americas
HG02302,hap1,PEL,AMERICA,chr9,133484000,133511000,0.86455,Neanderthal,2,2,0,2,Tie,False,27000,Admixed Americas
HG02304,hap1,PEL,AMERICA,chr9,133301000,133511000,0.91977,Neanderthal,32,50,0,45,Vindija,False,210000,Admixed Americas
HG02304,hap2,PEL,AMERICA,chr9,133254000,133276000,0.94877,Neanderthal,7,1,4,1,Altai,True,22000,Admixed Americas
HG02312,hap1,PEL,AMERICA,chr9,133184000,133427000,0.97833,Neanderthal,47,45,4,51,Chagyrskaya,True,243000,Admixed Americas
HG02312,hap1,PEL,AMERICA,chr9,133481000,133509000,0.82672,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG00638,hap1,PUR,AMERICA,chr9,133480000,133502000,0.8928,Neanderthal,2,6,0,3,Vindija,False,22000,Admixed Americas
HG00639,hap2,PUR,AMERICA,chr9,133480000,133502000,0.8928,Neanderthal,2,6,0,3,Vindija,False,22000,Admixed Americas
HG00732,hap1,PUR,AMERICA,chr9,133483000,133524000,0.9289,Neanderthal,4,8,0,5,Vindija,False,41000,Admixed Americas
HG00733,hap2,PUR,AMERICA,chr9,133483000,133524000,0.9289,Neanderthal,4,8,0,5,Vindija,False,41000,Admixed Americas
HG00740,hap1,PUR,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG00742,hap1,PUR,AMERICA,chr9,133184000,133267000,0.9599,Neanderthal,8,7,1,8,Tie,True,83000,Admixed Americas
HG01047,hap2,PUR,AMERICA,chr9,133301000,133479000,0.98942,Neanderthal,37,56,0,51,Vindija,False,178000,Admixed Americas
HG01049,hap1,PUR,AMERICA,chr9,133190000,133390000,0.9757,Neanderthal,38,32,4,35,Altai,True,200000,Admixed Americas
HG01049,hap2,PUR,AMERICA,chr9,133402000,133541000,0.97047,Neanderthal,12,20,0,22,Chagyrskaya,False,139000,Admixed Americas
HG01050,hap2,PUR,AMERICA,chr9,133191000,133509000,0.97987,Neanderthal,50,52,4,57,Chagyrskaya,True,318000,Admixed Americas
HG01060,hap2,PUR,AMERICA,chr9,133483000,133502000,0.90937,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01061,hap1,PUR,AMERICA,chr9,133254000,133307000,0.93079,Neanderthal,7,3,4,4,Altai,True,53000,Admixed Americas
HG01061,hap2,PUR,AMERICA,chr9,133347000,133514000,0.98607,Neanderthal,31,47,0,41,Vindija,False,167000,Admixed Americas
HG01062,hap1,PUR,AMERICA,chr9,133483000,133502000,0.90988,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01066,hap2,PUR,AMERICA,chr9,133343000,133479000,0.98472,Neanderthal,30,46,0,40,Vindija,False,136000,Admixed Americas
HG01067,hap2,PUR,AMERICA,chr9,133301000,133502000,0.99348,Neanderthal,39,61,0,53,Vindija,False,201000,Admixed Americas
HG01069,hap1,PUR,AMERICA,chr9,133301000,133497000,0.99254,Neanderthal,38,60,0,52,Vindija,False,196000,Admixed Americas
HG01071,hap1,PUR,AMERICA,chr9,133301000,133497000,0.99254,Neanderthal,38,60,0,52,Vindija,False,196000,Admixed Americas
HG01086,hap2,PUR,AMERICA,chr9,133482000,133511000,0.84695,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01092,hap1,PUR,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01094,hap2,PUR,AMERICA,chr9,133301000,133479000,0.99122,Neanderthal,37,56,0,51,Vindija,False,178000,Admixed Americas
HG01096,hap1,PUR,AMERICA,chr9,133301000,133479000,0.99122,Neanderthal,37,56,0,51,Vindija,False,178000,Admixed Americas
HG01100,hap1,PUR,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01161,hap2,PUR,AMERICA,chr9,133448000,133509000,0.93523,Neanderthal,8,8,0,9,Chagyrskaya,False,61000,Admixed Americas
HG01162,hap1,PUR,AMERICA,chr9,133480000,133502000,0.8928,Neanderthal,2,6,0,3,Vindija,False,22000,Admixed Americas
HG01164,hap1,PUR,AMERICA,chr9,133481000,133621000,0.91406,Neanderthal,13,14,2,13,Vindija,False,140000,Admixed Americas
HG01170,hap1,PUR,AMERICA,chr9,133481000,133510000,0.82729,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01172,hap1,PUR,AMERICA,chr9,133481000,133510000,0.82729,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01174,hap2,PUR,AMERICA,chr9,133483000,133502000,0.90445,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01177,hap2,PUR,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01182,hap1,PUR,AMERICA,chr9,133300000,133479000,0.98853,Neanderthal,37,56,0,51,Vindija,False,179000,Admixed Americas
HG01183,hap2,PUR,AMERICA,chr9,133201000,133446000,0.97509,Neanderthal,43,55,4,51,Vindija,True,245000,Admixed Americas
HG01184,hap2,PUR,AMERICA,chr9,133201000,133446000,0.97509,Neanderthal,43,55,4,51,Vindija,True,245000,Admixed Americas
HG01191,hap2,PUR,AMERICA,chr9,133184000,133427000,0.98036,Neanderthal,47,45,4,51,Chagyrskaya,True,243000,Admixed Americas
HG01205,hap2,PUR,AMERICA,chr9,133480000,133511000,0.89712,Neanderthal,2,2,0,2,Tie,False,31000,Admixed Americas
HG01206,hap2,PUR,AMERICA,chr9,133482000,133511000,0.84695,Neanderthal,2,2,0,2,Tie,False,29000,Admixed Americas
HG01241,hap1,PUR,AMERICA,chr9,133483000,133504000,0.88211,Neanderthal,2,6,0,3,Vindija,False,21000,Admixed Americas
HG01243,hap1,PUR,AMERICA,chr9,133483000,133502000,0.90937,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01247,hap1,PUR,AMERICA,chr9,133481000,133509000,0.80708,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01247,hap2,PUR,AMERICA,chr9,133483000,133502000,0.90988,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01305,hap2,PUR,AMERICA,chr9,133191000,133514000,0.98615,Neanderthal,56,58,4,64,Chagyrskaya,True,323000,Admixed Americas
HG01325,hap2,PUR,AMERICA,chr9,133301000,133340000,0.95609,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01395,hap2,PUR,AMERICA,chr9,133254000,133514000,0.93247,Neanderthal,39,51,4,46,Vindija,True,260000,Admixed Americas
HG01396,hap1,PUR,AMERICA,chr9,133191000,133236000,0.9509,Neanderthal,1,1,0,2,Chagyrskaya,True,45000,Admixed Americas
HG01402,hap2,PUR,AMERICA,chr9,133301000,133340000,0.95604,Neanderthal,7,10,0,11,Chagyrskaya,False,39000,Admixed Americas
HG01403,hap1,PUR,AMERICA,chr9,133190000,133236000,0.94988,Neanderthal,1,1,0,3,Chagyrskaya,True,46000,Admixed Americas
HG03007,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133254000,133511000,0.93715,Neanderthal,39,51,4,46,Vindija,True,257000,Central/South Asia
HG03593,hap2,BEB,CENTRAL_SOUTH_ASIA,chr9,133030000,133084000,0.97118,Neanderthal,23,22,14,24,Chagyrskaya,False,54000,Central/South Asia
HG03595,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133168000,133256000,0.92712,Neanderthal,6,6,0,6,Tie,True,88000,Central/South Asia
HG03596,hap2,BEB,CENTRAL_SOUTH_ASIA,chr9,133168000,133251000,0.93491,Neanderthal,6,6,0,6,Tie,True,83000,Central/South Asia
HG03600,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133481000,133509000,0.81279,Neanderthal,2,2,0,2,Tie,False,28000,Central/South Asia
HG03616,hap2,BEB,CENTRAL_SOUTH_ASIA,chr9,133481000,133509000,0.81865,Neanderthal,2,2,0,2,Tie,False,28000,Central/South Asia
HG03808,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133301000,133327000,0.90028,Neanderthal,2,5,0,6,Chagyrskaya,False,26000,Central/South Asia
HG03904,hap2,BEB,CENTRAL_SOUTH_ASIA,chr9,133069000,133088000,0.83802,Neanderthal,4,3,1,4,Tie,False,19000,Central/South Asia
HG04131,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133301000,133387000,0.9669,Neanderthal,27,32,0,32,Tie,False,86000,Central/South Asia
HG04131,hap2,BEB,CENTRAL_SOUTH_ASIA,chr9,133397000,133502000,0.97512,Neanderthal,12,29,0,22,Vindija,False,105000,Central/South Asia
HG04144,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133030000,133089000,0.96516,Neanderthal,24,23,15,25,Chagyrskaya,False,59000,Central/South Asia
HG04144,hap1,BEB,CENTRAL_SOUTH_ASIA,chr9,133228000,133443000,0.9798,Neanderthal,47,48,4,52,Chagyrskaya,True,215000,Central/South Asia
HGDP00054,hap1,Balochi,CENTRAL_SOUTH_ASIA,chr9,133301000,133479000,0.99142,Neanderthal,36,55,0,50,Vindija,False,178000,Central/South Asia
HGDP00056,hap1,Balochi,CENTRAL_SOUTH_ASIA,chr9,133030000,133088000,0.96786,Neanderthal,24,23,15,25,Chagyrskaya,False,58000,Central/South Asia
HGDP00060,hap1,Balochi,CENTRAL_SOUTH_ASIA,chr9,133301000,133526000,0.97996,Neanderthal,40,57,0,54,Vindija,False,225000,Central/South Asia
HGDP00090,hap1,Balochi,CENTRAL_SOUTH_ASIA,chr9,133301000,133526000,0.98005,Neanderthal,40,58,0,55,Vindija,False,225000,Central/South Asia
HGDP00096,hap2,Balochi,CENTRAL_SOUTH_ASIA,chr9,133326000,133483000,0.98281,Neanderthal,35,28,0,32,Altai,False,157000,Central/South Asia
HGDP00005,hap1,Brahui,CENTRAL_SOUTH_ASIA,chr9,132994000,133026000,0.89847,Neanderthal,1,1,0,1,Tie,False,32000,Central/South Asia
HGDP00005,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133301000,133446000,0.97841,Neanderthal,30,48,0,44,Vindija,False,145000,Central/South Asia
HGDP00025,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133030000,133088000,0.96786,Neanderthal,24,23,15,25,Chagyrskaya,False,58000,Central/South Asia
HGDP00027,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133326000,133483000,0.98283,Neanderthal,35,28,0,32,Altai,False,157000,Central/South Asia
HGDP00033,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133301000,133498000,0.99108,Neanderthal,38,60,0,52,Vindija,False,197000,Central/South Asia
HGDP00037,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133474000,133509000,0.82652,Neanderthal,2,2,0,2,Tie,False,35000,Central/South Asia
HGDP00043,hap2,Brahui,CENTRAL_SOUTH_ASIA,chr9,133301000,133446000,0.97857,Neanderthal,30,48,0,44,Vindija,False,145000,Central/South Asia
HGDP00356,hap1,Burusho,CENTRAL_SOUTH_ASIA,chr9,133030000,133088000,0.9681,Neanderthal,24,23,15,25,Chagyrskaya,False,58000,Central/South Asia
NA20849,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133192000,133237000,0.92441,Neanderthal,1,1,0,2,Chagyrskaya,True,45000,Central/South Asia
NA20850,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133011000,133070000,0.94672,Neanderthal,19,19,12,20,Chagyrskaya,False,59000,Central/South Asia
NA20850,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133481000,133509000,0.8128,Neanderthal,2,2,0,2,Tie,False,28000,Central/South Asia
NA20862,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133483000,133522000,0.94753,Neanderthal,4,8,0,5,Vindija,False,39000,Central/South Asia
NA20876,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133481000,133511000,0.91344,Neanderthal,2,2,0,2,Tie,False,30000,Central/South Asia
NA20877,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133030000,133088000,0.96785,Neanderthal,24,23,15,25,Chagyrskaya,False,58000,Central/South Asia
NA20882,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133301000,133502000,0.99398,Neanderthal,39,62,0,54,Vindija,False,201000,Central/South Asia
NA20884,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133192000,133236000,0.92873,Neanderthal,1,1,0,2,Chagyrskaya,True,44000,Central/South Asia
NA20896,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133192000,133236000,0.92877,Neanderthal,1,1,0,2,Chagyrskaya,True,44000,Central/South Asia
NA20900,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133301000,133502000,0.99398,Neanderthal,39,62,0,54,Vindija,False,201000,Central/South Asia
NA20902,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133192000,133236000,0.92873,Neanderthal,1,1,0,2,Chagyrskaya,True,44000,Central/South Asia
NA21087,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133425000,133446000,0.88113,Neanderthal,1,5,0,5,Tie,False,21000,Central/South Asia
NA21088,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133254000,133513000,0.93475,Neanderthal,39,51,4,46,Vindija,True,259000,Central/South Asia
NA21093,hap1,GIH,CENTRAL_SOUTH_ASIA,chr9,133404000,133513000,0.96339,Neanderthal,10,21,0,19,Vindija,False,109000,Central/South Asia
NA21093,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133254000,133429000,0.87287,Neanderthal,29,30,4,27,Vindija,True,175000,Central/South Asia
NA21097,hap2,GIH,CENTRAL_SOUTH_ASIA,chr9,133301000,133526000,0.97978,Neanderthal,40,58,0,55,Vindija,False,225000,Central/South Asia
