entity,period,era,region,dominant,stock_index,trade_openness,closure_type,outcome,geo_barrier,external_threat,relative_pop,tech_position,institutional_quality,regime_duration_yrs,has_external_patron
インカ帝国,AD1438-AD1533,early_modern,americas,stock,0.55,0.05,maritime_ban,overtaken,0.7,0.9,0.3,0.1,0.5,95,0
アステカ帝国,AD1428-AD1521,early_modern,americas,stock,0.5,0.1,maritime_ban,overtaken,0.4,0.9,0.3,0.1,0.4,93,0
ポルトガル帝国,AD1415-AD1580,early_modern,europe,flow,0.3,0.9,none,disrupted,0.5,0.7,0.05,0.8,0.5,165,0
オランダ共和国,AD1581-AD1795,early_modern,europe,flow,0.35,0.95,none,disrupted,0.3,0.8,0.05,0.8,0.8,214,0
スペイン帝国,AD1492-AD1808,early_modern,europe,flow,0.4,0.6,none,disrupted,0.6,0.7,0.2,0.5,0.4,316,0
ムガル帝国（前期）,AD1526-AD1700,early_modern,south_asia,flow,0.55,0.6,none,survived,0.5,0.4,0.8,0.6,0.6,174,0
大英帝国,AD1815-AD1945,modern,europe,flow,0.65,0.85,none,survived,0.8,0.6,0.3,0.9,0.9,130,0
米国（モンロー主義期）,AD1823-AD1898,modern,americas,stock,0.8,0.3,bloc,survived,0.9,0.2,0.4,0.7,0.8,75,0
明治〜大正日本,AD1868-AD1930,modern,east_asia,flow,0.55,0.65,none,survived,0.8,0.5,0.4,0.7,0.7,62,0
エチオピア帝国,AD1855-AD1936,modern,africa,stock,0.4,0.15,maritime_ban,survived,0.8,0.6,0.2,0.2,0.4,81,0
シャム（タイ）,AD1782-AD1932,modern,southeast_asia,flow,0.45,0.6,none,survived,0.3,0.7,0.2,0.4,0.5,150,0
スイス,AD1815-AD現在,modern,europe,stock,0.75,0.4,bloc,survived,0.9,0.5,0.05,0.8,0.9,210,0
1930s日本（大東亜共栄圏）,AD1930-AD1945,20c,east_asia,stock,0.6,0.2,bloc,disrupted,0.7,0.9,0.3,0.6,0.5,15,0
ナチスドイツ,AD1933-AD1945,20c,europe,stock,0.7,0.15,bloc,disrupted,0.2,0.9,0.3,0.9,0.4,12,0
ファシストイタリア,AD1922-AD1943,20c,europe,stock,0.5,0.2,bloc,disrupted,0.5,0.8,0.2,0.5,0.3,21,0
ソ連,AD1922-AD1991,20c,europe,stock,0.75,0.1,bloc,disrupted,0.6,0.8,0.6,0.7,0.4,69,0
東ドイツ,AD1949-AD1990,20c,europe,stock,0.55,0.15,bloc,disrupted,0.1,0.7,0.1,0.5,0.3,41,1
ユーゴスラビア,AD1945-AD1992,20c,europe,stock,0.45,0.3,bloc,disrupted,0.5,0.5,0.1,0.4,0.3,47,0
英国帝国特恵制度,AD1932-AD1960,20c,europe,flow,0.65,0.55,bloc,survived,0.8,0.7,0.3,0.7,0.8,28,0
米国（戦後〜冷戦期）,AD1945-AD1991,20c,americas,flow,0.85,0.7,none,survived,0.9,0.6,0.5,0.95,0.9,46,0
戦後日本（高度成長期）,AD1945-AD1990,20c,east_asia,flow,0.65,0.65,none,survived,0.8,0.3,0.3,0.85,0.7,45,1
シンガポール,AD1965-AD現在,20c,southeast_asia,flow,0.5,0.95,none,survived,0.5,0.3,0.01,0.8,0.9,60,0
韓国,AD1961-AD現在,20c,east_asia,flow,0.6,0.7,none,survived,0.5,0.6,0.15,0.8,0.6,64,1
北朝鮮,AD1948-AD現在,20c,east_asia,stock,0.35,0.05,bloc,survived,0.5,0.7,0.05,0.3,0.2,77,1
キューバ,AD1959-AD現在,20c,americas,stock,0.35,0.15,bloc,survived,0.7,0.7,0.02,0.3,0.3,66,1
現代日本,AD1990-AD現在,contemporary,east_asia,stock,0.8,0.35,none,survived,0.8,0.5,0.25,0.7,0.7,35,1
現代中国,AD1978-AD現在,contemporary,east_asia,flow,0.75,0.6,none,survived,0.5,0.5,0.95,0.75,0.5,47,0
現代ロシア,AD1991-AD現在,contemporary,europe,stock,0.65,0.3,bloc,survived,0.6,0.6,0.3,0.5,0.3,34,0
マケドニア王国（アレクサンドロス後）,BC323-BC168,ancient,europe,flow,0.45,0.7,none,overtaken,0.3,0.8,0.2,0.7,0.5,155,0
セレウコス朝シリア,BC312-BC63,ancient,middle_east,flow,0.4,0.65,none,overtaken,0.3,0.8,0.3,0.6,0.4,249,0
パルティア,BC247-AD224,ancient,middle_east,flow,0.45,0.65,none,overtaken,0.4,0.7,0.4,0.6,0.5,471,0
ササン朝ペルシア,AD224-AD651,ancient,middle_east,stock,0.6,0.4,none,overtaken,0.4,0.9,0.4,0.6,0.5,427,0
クシャーナ朝,AD30-AD375,ancient,south_asia,flow,0.35,0.75,none,overtaken,0.3,0.7,0.3,0.5,0.4,345,0
グプタ朝インド,AD320-AD550,ancient,south_asia,flow,0.6,0.6,none,overtaken,0.5,0.8,0.6,0.8,0.6,230,0
唐朝中国,AD618-AD907,medieval,east_asia,flow,0.7,0.75,none,overtaken,0.5,0.6,0.9,0.85,0.8,289,0
ウマイヤ朝,AD661-AD750,medieval,middle_east,flow,0.4,0.7,none,overtaken,0.3,0.6,0.5,0.7,0.4,89,0
高麗,AD918-AD1392,medieval,east_asia,flow,0.5,0.55,none,overtaken,0.5,0.9,0.15,0.6,0.5,474,0
クメール帝国（アンコール）,AD802-AD1431,medieval,southeast_asia,stock,0.6,0.3,none,overtaken,0.3,0.7,0.3,0.5,0.4,629,0
シュリーヴィジャヤ,AD650-AD1377,medieval,southeast_asia,flow,0.3,0.85,none,overtaken,0.5,0.6,0.15,0.5,0.4,727,0
マジャパヒト王国,AD1293-AD1527,medieval,southeast_asia,flow,0.45,0.7,none,overtaken,0.5,0.6,0.2,0.5,0.4,234,0
キエフ大公国,AD882-AD1240,medieval,europe,flow,0.35,0.6,none,overtaken,0.1,0.9,0.2,0.4,0.3,358,0
ジェノヴァ共和国,AD1099-AD1797,medieval,europe,flow,0.35,0.9,none,overtaken,0.5,0.6,0.03,0.7,0.6,698,0
マリ帝国,AD1235-AD1600,medieval,africa,flow,0.4,0.65,none,overtaken,0.4,0.6,0.3,0.4,0.5,365,0
元朝中国,AD1271-AD1368,early_modern,east_asia,flow,0.55,0.8,none,overtaken,0.5,0.4,0.8,0.6,0.3,97,0
ティムール朝,AD1370-AD1507,early_modern,central_asia,flow,0.45,0.65,none,overtaken,0.2,0.7,0.3,0.6,0.4,137,0
琉球王国,AD1429-AD1879,early_modern,east_asia,flow,0.25,0.85,none,overtaken,0.6,0.8,0.01,0.3,0.4,450,0
ポーランド・リトアニア共和国,AD1569-AD1795,early_modern,europe,stock,0.5,0.4,none,overtaken,0.1,0.9,0.3,0.4,0.3,226,0
スウェーデン帝国,AD1611-AD1721,early_modern,europe,flow,0.4,0.6,none,disrupted,0.5,0.8,0.1,0.7,0.6,110,0
ロシア帝国（ピョートル後）,AD1721-AD1917,early_modern,europe,stock,0.65,0.3,none,disrupted,0.6,0.7,0.7,0.4,0.3,196,0
清朝中国（中期・交易拡大期）,AD1750-AD1830,early_modern,east_asia,stock,0.8,0.3,maritime_ban,survived,0.6,0.4,0.95,0.4,0.6,80,0
ハワイ王国,AD1795-AD1893,modern,americas,flow,0.2,0.7,none,overtaken,0.7,0.8,0.01,0.2,0.4,98,0
ズールー王国,AD1816-AD1897,modern,africa,stock,0.3,0.1,maritime_ban,overtaken,0.3,0.9,0.05,0.1,0.4,81,0
ビルマ（コンバウン朝）,AD1752-AD1885,modern,southeast_asia,stock,0.4,0.25,none,overtaken,0.5,0.8,0.15,0.2,0.3,133,0
オーストリア＝ハンガリー帝国,AD1867-AD1918,modern,europe,stock,0.6,0.4,bloc,disrupted,0.3,0.8,0.3,0.6,0.5,51,0
ベルギー,AD1830-AD現在,modern,europe,flow,0.5,0.8,none,survived,0.1,0.6,0.05,0.6,0.7,195,1
デンマーク,AD1849-AD現在,modern,europe,flow,0.55,0.75,none,survived,0.4,0.4,0.03,0.7,0.9,176,1
ナポレオン帝国,AD1804-AD1815,modern,europe,stock,0.6,0.2,bloc,disrupted,0.3,0.9,0.4,0.7,0.6,11,0
大韓帝国,AD1897-AD1910,modern,east_asia,stock,0.4,0.2,maritime_ban,overtaken,0.5,0.9,0.1,0.2,0.2,13,0
満州国,AD1932-AD1945,20c,east_asia,stock,0.4,0.15,bloc,overtaken,0.2,0.9,0.1,0.4,0.2,13,1
南ベトナム,AD1955-AD1975,20c,southeast_asia,flow,0.3,0.5,none,overtaken,0.3,0.9,0.1,0.4,0.2,20,1
チェコスロバキア（共産期）,AD1948-AD1989,20c,europe,stock,0.55,0.2,bloc,disrupted,0.3,0.5,0.05,0.5,0.3,41,1
ポーランド（共産期）,AD1947-AD1989,20c,europe,stock,0.5,0.2,bloc,disrupted,0.1,0.5,0.1,0.4,0.3,42,1
ルーマニア（共産期）,AD1947-AD1989,20c,europe,stock,0.45,0.15,bloc,disrupted,0.4,0.5,0.07,0.3,0.2,42,1
台湾,AD1949-AD現在,20c,east_asia,flow,0.6,0.8,none,survived,0.7,0.7,0.05,0.85,0.7,76,1
イスラエル,AD1948-AD現在,20c,middle_east,flow,0.55,0.65,none,survived,0.3,0.9,0.02,0.9,0.7,77,1
UAE,AD1971-AD現在,20c,middle_east,flow,0.5,0.85,none,survived,0.4,0.4,0.01,0.6,0.6,54,1
現代インド,AD1991-AD現在,contemporary,south_asia,flow,0.55,0.5,none,survived,0.5,0.5,0.95,0.6,0.5,34,0
イラン（イスラム共和国）,AD1979-AD現在,contemporary,middle_east,stock,0.55,0.2,bloc,survived,0.5,0.8,0.2,0.4,0.3,46,0
ミャンマー（軍政期〜現在）,AD1962-AD現在,contemporary,southeast_asia,stock,0.3,0.15,bloc,survived,0.5,0.4,0.1,0.1,0.1,63,1
トルクメニスタン,AD1991-AD現在,contemporary,central_asia,stock,0.35,0.1,bloc,survived,0.4,0.3,0.01,0.1,0.1,34,0
