entity,period,era,region,dominant,stock_index,trade_openness,closure_type,outcome,geo_barrier,external_threat,relative_pop,tech_position,institutional_quality,regime_duration_yrs,has_external_patron,legacy_closure_type,rater_closure_type,rater_confidence,rater_source_url,rater_source_ref,rater_source_quote,rater_notes
ナチスドイツ,AD1933-AD1945,20c,europe,stock,0.7,0.15,bloc,disrupted,0.2,0.9,0.3,0.9,0.4,12,0,bloc,,,,,,
ファシストイタリア,AD1922-AD1943,20c,europe,stock,0.5,0.2,bloc,disrupted,0.5,0.8,0.2,0.5,0.3,21,0,bloc,,,,,,
ソ連,AD1922-AD1991,20c,europe,stock,0.75,0.1,bloc,disrupted,0.6,0.8,0.6,0.7,0.4,69,0,bloc,,,,,,
東ドイツ,AD1949-AD1990,20c,europe,stock,0.55,0.15,bloc,disrupted,0.1,0.7,0.1,0.5,0.3,41,1,bloc,,,,,,
ユーゴスラビア,AD1945-AD1992,20c,europe,stock,0.45,0.3,bloc,disrupted,0.5,0.5,0.1,0.4,0.3,47,0,bloc,,,,,,
英国帝国特恵制度,AD1932-AD1960,20c,europe,flow,0.65,0.55,bloc,survived,0.8,0.7,0.3,0.7,0.8,28,0,bloc,,,,,,
米国（戦後〜冷戦期）,AD1945-AD1991,20c,americas,flow,0.85,0.7,none,survived,0.9,0.6,0.5,0.95,0.9,46,0,none,,,,,,
戦後日本（高度成長期）,AD1945-AD1990,20c,east_asia,flow,0.65,0.65,none,survived,0.8,0.3,0.3,0.85,0.7,45,1,none,,,,,,
シンガポール,AD1965-AD現在,20c,southeast_asia,flow,0.5,0.95,none,survived,0.5,0.3,0.01,0.8,0.9,60,0,none,,,,,,
韓国,AD1961-AD現在,20c,east_asia,flow,0.6,0.7,none,survived,0.5,0.6,0.15,0.8,0.6,64,1,none,,,,,,
北朝鮮,AD1948-AD現在,20c,east_asia,stock,0.35,0.05,bloc,survived,0.5,0.7,0.05,0.3,0.2,77,1,bloc,,,,,,
キューバ,AD1959-AD現在,20c,americas,stock,0.35,0.15,bloc,survived,0.7,0.7,0.02,0.3,0.3,66,1,bloc,,,,,,
現代日本,AD1990-AD現在,contemporary,east_asia,stock,0.8,0.35,none,survived,0.8,0.5,0.25,0.7,0.7,35,1,none,,,,,,
現代中国,AD1978-AD現在,contemporary,east_asia,flow,0.75,0.6,none,survived,0.5,0.5,0.95,0.75,0.5,47,0,none,,,,,,
現代ロシア,AD1991-AD現在,contemporary,europe,stock,0.65,0.3,bloc,survived,0.6,0.6,0.3,0.5,0.3,34,0,bloc,,,,,,
マケドニア王国（アレクサンドロス後）,BC323-BC168,ancient,europe,flow,0.45,0.7,none,overtaken,0.3,0.8,0.2,0.7,0.5,155,0,none,,,,,,
セレウコス朝シリア,BC312-BC63,ancient,middle_east,flow,0.4,0.65,none,overtaken,0.3,0.8,0.3,0.6,0.4,249,0,none,,,,,,
パルティア,BC247-AD224,ancient,middle_east,flow,0.45,0.65,none,overtaken,0.4,0.7,0.4,0.6,0.5,471,0,none,,,,,,
ササン朝ペルシア,AD224-AD651,ancient,middle_east,stock,0.6,0.4,none,overtaken,0.4,0.9,0.4,0.6,0.5,427,0,none,,,,,,
クシャーナ朝,AD30-AD375,ancient,south_asia,flow,0.35,0.75,none,overtaken,0.3,0.7,0.3,0.5,0.4,345,0,none,,,,,,
グプタ朝インド,AD320-AD550,ancient,south_asia,flow,0.6,0.6,none,overtaken,0.5,0.8,0.6,0.8,0.6,230,0,none,,,,,,
唐朝中国,AD618-AD907,medieval,east_asia,flow,0.7,0.75,none,overtaken,0.5,0.6,0.9,0.85,0.8,289,0,none,,,,,,
ウマイヤ朝,AD661-AD750,medieval,middle_east,flow,0.4,0.7,none,overtaken,0.3,0.6,0.5,0.7,0.4,89,0,none,,,,,,
高麗,AD918-AD1392,medieval,east_asia,flow,0.5,0.55,none,overtaken,0.5,0.9,0.15,0.6,0.5,474,0,none,,,,,,
クメール帝国（アンコール）,AD802-AD1431,medieval,southeast_asia,stock,0.6,0.3,none,overtaken,0.3,0.7,0.3,0.5,0.4,629,0,none,,,,,,
シュリーヴィジャヤ,AD650-AD1377,medieval,southeast_asia,flow,0.3,0.85,none,overtaken,0.5,0.6,0.15,0.5,0.4,727,0,none,,,,,,
マジャパヒト王国,AD1293-AD1527,medieval,southeast_asia,flow,0.45,0.7,none,overtaken,0.5,0.6,0.2,0.5,0.4,234,0,none,,,,,,
キエフ大公国,AD882-AD1240,medieval,europe,flow,0.35,0.6,none,overtaken,0.1,0.9,0.2,0.4,0.3,358,0,none,,,,,,
ジェノヴァ共和国,AD1099-AD1797,medieval,europe,flow,0.35,0.9,none,overtaken,0.5,0.6,0.03,0.7,0.6,698,0,none,,,,,,
マリ帝国,AD1235-AD1600,medieval,africa,flow,0.4,0.65,none,overtaken,0.4,0.6,0.3,0.4,0.5,365,0,none,,,,,,
元朝中国,AD1271-AD1368,early_modern,east_asia,flow,0.55,0.8,none,overtaken,0.5,0.4,0.8,0.6,0.3,97,0,none,,,,,,
ティムール朝,AD1370-AD1507,early_modern,central_asia,flow,0.45,0.65,none,overtaken,0.2,0.7,0.3,0.6,0.4,137,0,none,,,,,,
琉球王国,AD1429-AD1879,early_modern,east_asia,flow,0.25,0.85,none,overtaken,0.6,0.8,0.01,0.3,0.4,450,0,none,,,,,,
ポーランド・リトアニア共和国,AD1569-AD1795,early_modern,europe,stock,0.5,0.4,none,overtaken,0.1,0.9,0.3,0.4,0.3,226,0,none,,,,,,
スウェーデン帝国,AD1611-AD1721,early_modern,europe,flow,0.4,0.6,none,disrupted,0.5,0.8,0.1,0.7,0.6,110,0,none,,,,,,
ロシア帝国（ピョートル後）,AD1721-AD1917,early_modern,europe,stock,0.65,0.3,none,disrupted,0.6,0.7,0.7,0.4,0.3,196,0,none,,,,,,
清朝中国（中期・交易拡大期）,AD1750-AD1830,early_modern,east_asia,stock,0.8,0.3,maritime_ban,survived,0.6,0.4,0.95,0.4,0.6,80,0,maritime_ban,,,,,,
ハワイ王国,AD1795-AD1893,modern,americas,flow,0.2,0.7,none,overtaken,0.7,0.8,0.01,0.2,0.4,98,0,none,,,,,,
ズールー王国,AD1816-AD1897,modern,africa,stock,0.3,0.1,maritime_ban,overtaken,0.3,0.9,0.05,0.1,0.4,81,0,maritime_ban,,,,,,
ビルマ（コンバウン朝）,AD1752-AD1885,modern,southeast_asia,stock,0.4,0.25,none,overtaken,0.5,0.8,0.15,0.2,0.3,133,0,none,,,,,,
オーストリア＝ハンガリー帝国,AD1867-AD1918,modern,europe,stock,0.6,0.4,bloc,disrupted,0.3,0.8,0.3,0.6,0.5,51,0,bloc,,,,,,
ベルギー,AD1830-AD現在,modern,europe,flow,0.5,0.8,none,survived,0.1,0.6,0.05,0.6,0.7,195,1,none,,,,,,
デンマーク,AD1849-AD現在,modern,europe,flow,0.55,0.75,none,survived,0.4,0.4,0.03,0.7,0.9,176,1,none,,,,,,
ナポレオン帝国,AD1804-AD1815,modern,europe,stock,0.6,0.2,bloc,disrupted,0.3,0.9,0.4,0.7,0.6,11,0,bloc,,,,,,
大韓帝国,AD1897-AD1910,modern,east_asia,stock,0.4,0.2,maritime_ban,overtaken,0.5,0.9,0.1,0.2,0.2,13,0,maritime_ban,,,,,,
満州国,AD1932-AD1945,20c,east_asia,stock,0.4,0.15,bloc,overtaken,0.2,0.9,0.1,0.4,0.2,13,1,bloc,,,,,,
南ベトナム,AD1955-AD1975,20c,southeast_asia,flow,0.3,0.5,none,overtaken,0.3,0.9,0.1,0.4,0.2,20,1,none,,,,,,
チェコスロバキア（共産期）,AD1948-AD1989,20c,europe,stock,0.55,0.2,bloc,disrupted,0.3,0.5,0.05,0.5,0.3,41,1,bloc,,,,,,
ポーランド（共産期）,AD1947-AD1989,20c,europe,stock,0.5,0.2,bloc,disrupted,0.1,0.5,0.1,0.4,0.3,42,1,bloc,,,,,,
ルーマニア（共産期）,AD1947-AD1989,20c,europe,stock,0.45,0.15,bloc,disrupted,0.4,0.5,0.07,0.3,0.2,42,1,bloc,,,,,,
台湾,AD1949-AD現在,20c,east_asia,flow,0.6,0.8,none,survived,0.7,0.7,0.05,0.85,0.7,76,1,none,,,,,,
イスラエル,AD1948-AD現在,20c,middle_east,flow,0.55,0.65,none,survived,0.3,0.9,0.02,0.9,0.7,77,1,none,,,,,,
UAE,AD1971-AD現在,20c,middle_east,flow,0.5,0.85,none,survived,0.4,0.4,0.01,0.6,0.6,54,1,none,,,,,,
現代インド,AD1991-AD現在,contemporary,south_asia,flow,0.55,0.5,none,survived,0.5,0.5,0.95,0.6,0.5,34,0,none,,,,,,
イラン（イスラム共和国）,AD1979-AD現在,contemporary,middle_east,stock,0.55,0.2,bloc,survived,0.5,0.8,0.2,0.4,0.3,46,0,bloc,,,,,,
ミャンマー（軍政期〜現在）,AD1962-AD現在,contemporary,southeast_asia,stock,0.3,0.15,bloc,survived,0.5,0.4,0.1,0.1,0.1,63,1,bloc,,,,,,
トルクメニスタン,AD1991-AD現在,contemporary,central_asia,stock,0.35,0.1,bloc,survived,0.4,0.3,0.01,0.1,0.1,34,0,bloc,,,,,,
