country,year,district_magnitude,enep
Canada,1962,1.01,3.23
Canada,1963,1.01,3.2
Canada,1965,1.01,3.31
Canada,1968,1.0,2.97
Canada,1972,1.0,3.25
Canada,1974,1.0,2.96
Canada,1979,1.0,3.09
Canada,1980,1.0,2.93
Canada,1984,1.0,2.75
Canada,1988,1.0,3.04
Canada,1993,1.0,3.92
Canada,1997,1.0,4.08
Canada,2000,1.0,3.77
Canada,2004,1.0,3.78
Canada,2006,1.0,3.75
Canada,2008,1.0,3.87
Canada,2011,1.0,3.43
Canada,2015,1.0,3.333067
Canada,2019,1.0,3.78919926641102
Cape Verde,1991,3.16,1.81
Cape Verde,1995,3.79,2.13
Cape Verde,2001,3.6,2.41
Cape Verde,2006,3.6,2.14
Cape Verde,2011,5.54,2.2
Cape Verde,2016,5.54,2.233464
Central African Republic,1998,1.0,4.19
Chile,1921,2.95,5.61
Chile,1937,5.21,6.73
Chile,1941,5.25,6.85
Chile,1945,5.25,6.62
Chile,1949,5.25,7.05
Chile,1953,5.25,11.56
Chile,1957,5.25,8.59
Chile,1961,5.25,6.44
Chile,1965,5.25,4.06
Chile,1969,5.36,4.92
Chile,1973,5.36,5.3
Chile,1993,2.0,6.55
Chile,1997,2.0,6.95
Chile,2001,2.0,6.56
Chile,2005,2.0,6.58
Chile,2009,2.0,7.32
Chile,2013,2.0,2.757564
Chile,2017,5.54,4.02718543473346
Ivory Coast,2016,1.0,2.468
Colombia,1937,7.93,1.0
Colombia,1939,7.93,1.86
Colombia,1941,8.73,1.87
Colombia,1943,8.73,1.89
Colombia,1945,8.73,1.96
Colombia,1947,8.19,2.01
Colombia,1949,8.25,2.01
Colombia,1958,8.71,2.43
Colombia,1960,8.44,3.44
Colombia,1962,10.22,3.96
Colombia,1964,9.68,3.76
Colombia,1966,8.26,4.45
Colombia,1968,8.5,4.12
Colombia,1970,8.75,5.88
Colombia,1974,8.29,2.37
Colombia,1978,8.29,2.17
Colombia,1982,7.96,2.08
Colombia,1986,7.96,2.66
Colombia,1990,7.96,2.2
Colombia,1991,4.88,3.3
Colombia,1994,4.88,2.64
Colombia,1998,4.88,3.5
Colombia,2002,4.88,5.4
Colombia,2006,4.88,8.58
Colombia,2010,4.88,5.96
Colombia,2014,5.03,8.181939
Colombia,2018,5.03,8.15980155362622
Comoros,1992,1.0,14.89
Comoros,2015,1.0,4.052406
Comoros,2020,1.38,2.13217343098688
Congo,1963,9.17,1.0
Costa Rica,1953,6.43,2.11
Costa Rica,1958,6.43,3.57
Costa Rica,1962,8.14,2.71
Costa Rica,1966,8.14,2.33
Costa Rica,1970,8.14,2.56
Costa Rica,1974,8.14,4.01
Costa Rica,1978,8.14,2.88
Costa Rica,1982,8.14,2.53
Costa Rica,1986,8.14,2.48
Costa Rica,1990,8.14,2.55
Costa Rica,1994,8.14,2.77
Costa Rica,1998,8.14,3.35
Costa Rica,2002,8.14,4.52
Costa Rica,2006,8.14,4.62
Costa Rica,2010,8.14,4.75
Costa Rica,2014,8.14,6.232511
Costa Rica,2018,8.14,6.82803591546892
Croatia,1992,1.0,4.19
Croatia,1995,1.0,3.77
Croatia,2000,14.0,3.89
Croatia,2003,14.0,5.93
Croatia,2007,14.0,4.23
Croatia,2011,14.0,3.8
Croatia,2016,14.0,3.776863
Croatia,2020,15.1,4.29968827260024
Cuba,1940,26.0,7.09
Cuba,1942,9.5,3.27
Cuba,1944,11.67,4.58
Greek Cyprus,1981,8.33,3.90811811098922
Greek Cyprus,1985,9.33,3.62
Greek Cyprus,1991,9.33,3.67
Greek Cyprus,1996,9.33,3.79
Greek Cyprus,2001,9.33,3.76
Greek Cyprus,2006,9.33,4.29
Greek Cyprus,2011,9.33,3.85
Greek Cyprus,2016,9.33,5.09767138371192
Czechoslovakia,1920,12.2173913043478,8.34
Czechoslovakia,1925,13.0434782608696,12.09
Czechoslovakia,1929,13.0434782608696,11.39
Czechoslovakia,1935,13.0434782608696,10.17
Czechoslovakia,1990,12.5,5.99
Czechoslovakia,1992,12.5,10.99
Czech Republic,1996,25.0,5.33
Czech Republic,1998,25.0,4.72
Czech Republic,2002,14.29,4.82
Czech Republic,2006,14.29,3.91
Czech Republic,2010,14.29,6.75
Czech Republic,2013,14.29,7.564983
Czech Republic,2017,14.29,6.8927488282327
German Democratic Republic,1990,26.67,4.0
Denmark,1920,4.65,3.9
Denmark,1920,4.65,3.71
Denmark,1920,5.04,3.75
Denmark,1924,5.04,3.75
Denmark,1926,5.04,3.65
Denmark,1929,5.04,3.4
Denmark,1932,5.04,3.47
Denmark,1935,5.04,3.49
Denmark,1939,5.04,3.84
Denmark,1943,5.04,3.5
Denmark,1945,5.04,4.57
Denmark,1947,5.09,3.8
Denmark,1950,4.57,4.01
Denmark,1953,4.57,3.92
Denmark,1953,5.87,3.82
Denmark,1957,5.87,3.9
Denmark,1960,5.87,3.81
Denmark,1964,5.87,3.75
Denmark,1966,5.87,4.22
Denmark,1968,5.87,4.56
Denmark,1971,7.94,4.52
Denmark,1973,7.94,7.11
Denmark,1975,7.94,5.6
Denmark,1977,7.94,5.23
Denmark,1979,7.94,4.99
Denmark,1981,7.94,5.76
Denmark,1984,7.94,5.25
Denmark,1987,7.94,5.83
Denmark,1988,7.94,5.83
Denmark,1990,7.94,4.84
Denmark,1994,7.94,4.76
Denmark,1998,7.94,4.74
Denmark,2001,7.94,4.69
Denmark,2005,7.94,5.19
Denmark,2007,13.5,5.41
Denmark,2011,13.5,5.72
Denmark,2015,13.5,5.853807
Denmark,2019,13.9,6.49971076287105
Dominica,1980,1.0,2.95
Dominica,1985,1.0,2.1
Dominica,1990,1.0,2.69
Dominica,1995,1.0,2.99
Dominica,2000,1.0,2.55
Dominica,2005,1.0,2.16
Dominica,2009,1.0,2.01
Dominica,2014,1.0,1.96036
Dominica,2019,1.0,1.93723363037582
Dominican Republic,1966,2.47,2.2
Dominican Republic,1970,2.74,2.9
Dominican Republic,1974,3.37,1.35
Dominican Republic,1978,3.37,2.23
Dominican Republic,1982,4.44,2.76
Dominican Republic,1986,4.0,3.19
Dominican Republic,1990,4.0,3.22
Dominican Republic,1994,4.0,2.71
Dominican Republic,1998,5.0,2.73
Dominican Republic,2002,3.19,3.11
Dominican Republic,2006,3.79,2.65
Dominican Republic,2010,3.89,2.91
Dominican Republic,2016,4.04,4.311624
Dominican Republic,2020,4.04,3.65141703461996
Ecuador,1979,2.85,6.4
Ecuador,1984,2.95,10.32
Ecuador,1986,2.95,11.95
Ecuador,1988,2.95,8.14
Ecuador,1990,2.86,7.9
Ecuador,1992,3.1,7.79
Ecuador,1994,3.1,7.48
Ecuador,1996,3.33,6.43
Ecuador,1998,4.76,6.18
Ecuador,2006,4.5,6.11
Ecuador,2009,4.29,3.86
Ecuador,2013,5.71,3.26423
Ecuador,2017,3.74,4.44310894463144
Ecuador,2021,3.74,5.75612451648554
Estonia,1919,120.0,4.4
Estonia,1920,10.0,6.73
Estonia,1923,10.0,9.22
Estonia,1926,10.0,6.85
Estonia,1929,10.0,6.4
Estonia,1932,10.0,3.88
Estonia,1992,8.42,8.72
Estonia,1995,9.18,5.93
Estonia,1999,9.18,6.87
Estonia,2003,8.42,5.42
Estonia,2007,8.42,5.02
Estonia,2011,8.42,4.73
Estonia,2015,8.42,5.139803
Estonia,2019,8.42,5.36023255261725
East Timor,2007,65.0,5.4
East Timor,2012,65.0,3.632171
East Timor,2017,65.0,4.67895359881716
East Timor,2018,65.0,2.67884648870197
Republic of Fiji,1972,1.0,2.22397174666293
Republic of Fiji,1977,1.0,2.38169524304009
Republic of Fiji,1977,1.0,2.68928534931127
Republic of Fiji,1982,1.0,2.2729590112301
Fiji,1992,1.35,3.85
Fiji,1994,1.35,4.22
Fiji,1999,1.0,5.3
Finland,1919,12.5,4.18
Finland,1922,12.5,5.46
Finland,1924,12.5,5.13
Finland,1927,12.5,5.09
Finland,1929,12.5,5.02
Finland,1930,12.5,4.21
Finland,1933,12.5,4.24
Finland,1936,12.5,4.28
Finland,1939,12.5,4.07
Finland,1945,13.33,5.12
Finland,1948,13.3,4.9
Finland,1951,13.3,4.96
Finland,1954,13.3,4.98
Finland,1958,13.3,5.19
Finland,1962,13.3,5.86
Finland,1966,13.3,5.22
Finland,1970,13.3,6.17
Finland,1972,13.3,5.95
Finland,1975,13.3,5.89
Finland,1979,13.3,5.74
Finland,1983,13.3,5.45
Finland,1987,13.3,6.15
Finland,1991,13.3,5.89
Finland,1995,13.3,5.77
Finland,1999,13.3,5.93
Finland,2003,13.3,5.65
Finland,2007,13.3,5.88
Finland,2011,13.3,6.46
Finland,2015,15.38,6.562541
Finland,2019,15.38,7.41342711022091
France,1919,6.92,5.72
France,1924,6.45,4.5
France,1928,1.0,5.49
France,1932,1.0,7.22
France,1936,1.0,5.42
France,1946,5.33,4.65
France,1951,5.28,5.4
France,1956,5.28,6.08
France,1958,1.0,6.08
France,1962,1.0,4.93
France,1967,1.0,4.55
France,1968,1.0,4.32
France,1973,1.0,5.68
France,1978,1.0,5.08
France,1981,1.0,4.14
France,1986,5.79,4.66
France,1988,1.0,4.38
France,1993,1.0,6.71
France,1997,1.0,6.54
France,2002,1.0,5.22
France,2007,1.0,4.32
France,2012,1.0,5.228457
France,2017,1.0,3.93846541633518
"Micronesia, Federated States of ",2017,1.0,1.0
"Micronesia, Federated States of ",2019,1.0,1.0
Republic of the Gambia,1972,1.0,2.14095169584784
Republic of the Gambia,1977,1.0,1.85890882052235
Republic of the Gambia,1982,1.0,2.24725161127941
Republic of the Gambia,1987,1.0,2.44903413032741
Republic of the Gambia,1992,1.0,2.7794665353202
Republic of the Gambia,2017,1.0,4.592
West Germany,1949,1.0,5.6
West Germany,1953,1.0,4.2
West Germany,1957,1.0,3.58
West Germany,1961,1.0,3.5
West Germany,1965,1.0,3.15
West Germany,1969,1.0,3.02
West Germany,1972,1.0,2.86
West Germany,1976,1.0,2.91
West Germany,1980,1.0,3.1
West Germany,1983,1.0,3.21
West Germany,1987,1.0,3.56
Ghana,1979,1.0,3.75
Ghana,2000,1.0,2.65382885802692
Ghana,2004,1.0,2.44
Ghana,2008,1.0,2.39
Ghana,2012,1.0,2.259468
Ghana,2020,1.0,2.13783932854742
Germany,1919,11.75,4.53
Germany,1920,11.89,6.84
Germany,1924,12.0,6.53
Germany,1924,11.46,7.65
Germany,1928,11.89,6.72
Germany,1930,13.89,7.31
Germany,1932,14.66,4.95
Germany,1932,15.49,4.42
Germany,1933,16.14,3.83
Germany,1990,1.0,3.75
Germany,1994,1.0,3.74
Germany,1998,1.0,3.79
Germany,2002,1.0,4.09
Germany,2005,1.0,4.46
Germany,2009,1.0,5.58
Germany,2013,1.0,4.077572
Germany,2017,1.0,4.66280896937933
Republic of Guinea-Bissau,1994,3.7,3.50163620955164
Guinea Bissau,2004,3.7,4.08
Guinea Bissau,2008,3.7,2.97
Guinea Bissau,2014,3.7,2.965031
Guinea Bissau,2019,3.7,4.38504174559742
Greece,1926,7.15,5.71
Greece,1928,2.55,3.46
Greece,1932,5.81395348837209,4.09
Greece,1933,2.48,3.74
Greece,1935,7.89,2.18
Greece,1936,7.89473684210526,4.26
Greece,1946,9.32,2.73
Greece,1950,6.41,7.93
Greece,1951,6.29,4.15
Greece,1952,3.03,2.7
Greece,1956,7.32,2.18
Greece,1958,5.45,3.52
Greece,1961,5.45,2.54
Greece,1963,5.45,2.83
Greece,1964,5.45,2.4
Greece,1974,5.14,2.75
Greece,1977,5.14,3.74
Greece,1981,5.14,2.68
Greece,1985,5.14,2.59
Greece,1989,5.14,2.73
Greece,1989,5.14,2.55
Greece,1990,5.14,2.63
Greece,1993,5.14,2.63
Greece,1996,5.14,3.06
Greece,2000,5.14,2.64
Greece,2004,5.14,2.66
Greece,2007,4.64,3.02
Greece,2009,4.25,3.16
Greece,2012,5.14,7.839632
Greece,2012,5.14,5.11041
Greece,2015,5.14,4.382505
Greece,2015,5.14,4.438664
Greece,2019,5.14,3.68458480256152
Georgia,2004,1.0,1.91
Georgia,2008,1.0,2.51
Georgia,2012,1.0,2.147407
Georgia,2016,1.0,3.1276
Georgia,2020,1.0,3.16864812796269
Grenada,1976,1.0,2.07
Grenada,1984,1.0,2.11
Grenada,1990,1.0,3.85
Grenada,1995,1.0,3.65
Grenada,1999,1.0,2.15
Grenada,2003,1.0,2.3
Grenada,2008,1.0,2.03
Grenada,2013,1.0,1.954855
Grenada,2018,1.0,1.95701609841443
Guatemala,1958,3.0,3.23
Guatemala,1959,3.0,5.29
Guatemala,1961,3.0,2.89
Guatemala,1966,2.5,2.83
Guatemala,1970,2.5,2.83
Guatemala,1990,3.87,7.01
Guatemala,1994,2.78,5.67
Guatemala,1995,2.78,5.9
Guatemala,1999,3.96,3.76
Guatemala,2003,5.77,5.49
Guatemala,2007,5.77,7.74
Guatemala,2011,5.77,6.39
Guatemala,2015,5.77,9.542723
Guatemala,2019,5.57,15.1276524258476
The Co-operative Republic of Guyana,1992,53.0,2.15721805160066
The Co-operative Republic of Guyana,1997,53.0,2.12645609080818
The Co-operative Republic of Guyana,2001,2.5,2.19111328274783
The Co-operative Republic of Guyana,2006,2.5,2.36772738327862
The Co-operative Republic of Guyana,2011,2.5,2.41897281657527
The Co-operative Republic of Guyana,2015,2.5,2.02027801530635
Guyana,2020,2.5,2.078
Honduras,1985,7.44,2.14
Honduras,1989,7.11,2.13
Honduras,1993,7.11,2.14
Honduras,1997,7.39,2.38
Honduras,2001,7.11,2.58
Honduras,2005,7.11,2.69
Honduras,2009,7.11,2.46
Honduras,2013,7.11,4.141149
Hungary,1990,1.0,7.14
Hungary,1994,1.0,5.97
Hungary,1998,1.0,6.66
Hungary,2002,1.0,2.94
Hungary,2006,1.0,2.8
Hungary,2010,1.0,2.82
Hungary,2014,1.0,3.225016
Hungary,2018,1.0,3.30911349048137
Iceland,1919,1.6,3.05
Iceland,1923,1.56,2.59
Iceland,1927,1.56,3.23
Iceland,1931,1.56,2.88
Iceland,1933,1.56,3.03
Iceland,1934,1.41,3.55
Iceland,1937,1.41,3.58
Iceland,1942,1.46,3.65
Iceland,1942,1.41,3.54
Iceland,1946,1.46,3.58
Iceland,1949,1.46,3.55
Iceland,1953,1.46,4.16
Iceland,1956,1.46,3.62
Iceland,1959,1.46,3.66
Iceland,1959,6.13,3.4
Iceland,1963,6.13,3.37
Iceland,1967,6.13,3.77
Iceland,1971,6.13,4.1
Iceland,1974,6.13,3.47
Iceland,1978,6.13,4.2
Iceland,1979,6.13,3.89
Iceland,1983,6.13,4.26
Iceland,1987,6.25,5.77
Iceland,1991,6.25,4.22
Iceland,1995,6.25,4.29
Iceland,1999,6.25,3.55
Iceland,2003,10.5,3.94
Iceland,2007,10.5,4.06
Iceland,2009,10.5,4.55
Iceland,2013,10.5,5.822688
Iceland,2016,9.0,6.011855
Iceland,2017,9.0,6.76141665201693
India,1951,1.23,3.82
India,1957,1.25,3.4
India,1962,1.0,4.15
India,1967,1.0,4.67
India,1971,1.0,4.38
India,1977,1.0,3.35
India,1980,1.0,4.13
India,1984,1.0,3.83
India,1989,1.0,4.74
India,1991,1.0,5.08
India,1996,1.0,5.38
India,1998,1.0,6.59
India,1999,1.0,6.7
India,2004,1.0,7.59
India,2009,1.0,7.74
India,2014,1.0,6.485409
India,2019,1.0,5.17743054476924
Indonesia,1999,17.11,5.05
Indonesia,2004,7.97,8.55
Indonesia,2009,7.27,9.59
Indonesia,2014,7.27,8.854965
Indonesia,2019,7.19,8.70898070089877
Ireland,1922,4.27,3.94
Ireland,1923,5.1,3.85
Ireland,1927,5.1,5.2
Ireland,1927,5.1,3.42
Ireland,1932,5.1,2.94
Ireland,1933,5.1,2.82
Ireland,1937,4.06,2.89
Ireland,1938,4.06,2.55
Ireland,1943,4.06,3.69
Ireland,1944,4.06,3.27
Ireland,1948,3.68,3.99
Ireland,1951,3.68,3.27
Ireland,1954,3.68,3.21
Ireland,1957,3.68,3.12
Ireland,1961,3.79,3.2
Ireland,1965,3.79,2.72
Ireland,1969,3.4,2.82
Ireland,1973,3.4,2.8
Ireland,1977,3.5,2.73
Ireland,1981,4.0,2.85
Ireland,1982,4.0,2.68
Ireland,1982,4.0,2.71
Ireland,1987,4.0,3.46
Ireland,1989,4.0,3.36
Ireland,1992,4.0,3.89
Ireland,1997,4.0,3.95
Ireland,2002,3.95,4.13
Ireland,2007,3.86,3.77
Ireland,2011,3.86,4.43
Ireland,2016,3.95,5.234917
Ireland,2020,4.1,5.59976257006703
Iraq,2014,18.22,9.549
Iraq,2018,18.27,13.095
Israel,1949,120.0,5.36
Israel,1951,120.0,5.13
Israel,1955,120.0,6.34
Israel,1959,120.0,5.17
Israel,1961,120.0,5.51
Israel,1965,120.0,4.92
Israel,1969,120.0,3.63
Israel,1973,120.0,3.81
Israel,1977,120.0,5.01
Israel,1981,120.0,3.56
Israel,1984,120.0,4.3
Israel,1988,120.0,5.01
Israel,1992,120.0,4.87
Israel,1996,120.0,5.85
Israel,1999,120.0,9.74
Israel,2003,120.0,7.05
Israel,2006,120.0,8.98
Israel,2009,120.0,7.37
Israel,2013,120.0,8.373592
Israel,2015,120.0,7.640127
Israel,2019,120.0,6.33144453679912
Israel,2019,120.0,6.24520212346865
Israel,2020,120.0,5.34028510286884
Italy,1919,9.41,5.16
Italy,1921,9.41,6.23
Italy,1948,18.52,2.94
Italy,1953,19.03,4.17
Italy,1958,18.63,3.87
Italy,1963,19.69,4.15
Italy,1968,19.69,3.95
Italy,1972,19.69,4.07
Italy,1976,19.69,3.39
Italy,1979,19.69,3.91
Italy,1983,19.69,4.51
Italy,1987,19.69,4.61
Italy,1992,19.69,6.56
Italy,1994,1.0,7.57
Italy,1996,1.0,7.05
Italy,2001,1.0,6.32
Italy,2006,23.73,5.69
Italy,2008,23.73,3.82
Italy,2013,23.73,5.359057
Italy,2018,1.0,3.34328517888247
Jamaica,1962,1.0,2.06
Jamaica,1967,1.0,2.01
Jamaica,1972,1.0,1.97
Jamaica,1976,1.0,1.96
Jamaica,1980,1.0,1.94
Jamaica,1983,1.0,1.23
Jamaica,1989,1.0,1.97
Jamaica,1993,1.0,1.91
Jamaica,1997,1.0,2.14
Jamaica,2002,1.0,2.02
Jamaica,2007,1.0,2.0
Jamaica,2011,1.0,2.0
Jamaica,2016,1.0,2.008382
Jamaica,2020,1.0,2.01196718079135
Japan,1946,8.75,5.61
Japan,1947,3.98,4.54
Japan,1949,3.98,3.85
Japan,1952,3.98,3.37
Japan,1953,3.98,4.29
Japan,1955,3.96,3.99
Japan,1958,3.96,2.17
Japan,1960,3.96,2.37
