search_date,2026-07-17
europepmc_hit_count,7594
transparency_sample_retrieved,300
query,"((""loss to follow-up"" OR ""loss to follow up"" OR ""lost to follow-up"" OR ""retention in care"" OR ""treatment attrition"" OR ""disengagement from care"") AND (tuberculosis OR ""TB treatment"" OR HIV OR ""antiretroviral therapy"" OR ART) AND (""Kaplan-Meier"" OR ""Kaplan Meier"" OR ""survival curve"" OR ""cumulative incidence"" OR ""time to loss"")) AND (OPEN_ACCESS:Y) AND (PUB_TYPE:""research-article"" OR SRC:MED)"

id,source,pmcid,doi,year,journal,title
41887650,MED,PMC13034202,10.1136/bmjopen-2025-112825,2026,BMJ Open,Survival and predictors of mortality among people living with HIV (PLHIV) on antiretroviral therapy in Ethiopia (2016-2023): a retrospective cohort study.
41618407,MED,PMC12930550,10.1186/s12981-026-00847-8,2026,AIDS Res Ther,"Retention in care of HIV-exposed infants and associated infant and maternal factors in Teso Sub Region, Eastern Uganda."
42062935,MED,PMC13277064,10.1186/s12879-026-13401-8,2026,BMC Infect Dis,Socio-ecological vulnerability subgroups predict adherence and treatment outcomes in multidrug-resistant tuberculosis and HIV: a latent class analysis.
41959661,MED,PMC13059684,10.1093/ofid/ofag156,2026,Open Forum Infect Dis,"Effect of the Scale-Up of Dolutegravir on Retention in Care, Risk of Developing Tuberculosis and Viral Load Suppression Among People Living With HIV: Analysis of Routine HIV Clinical Data in Rural KwaZulu-Natal, South Africa (2019-23)."
40597756,MED,PMC12219877,10.1186/s12879-025-11157-1,2025,BMC Infect Dis,"Retrospective cohort study of predictors of loss to follow up among adolescents and young adults living with HIV on ART in Dar es Salaam, Tanzania, 2015-2019."
41889608,MED,PMC13013475,10.3389/fpubh.2026.1733724,2026,Front Public Health,Survival outcomes and influencing factors in Zhengzhou HIV/AIDS patients following antiretroviral therapy initiation (2014-2024): a retrospective cohort analysis.
41455922,MED,PMC12853817,10.1186/s12879-025-12470-5,2025,BMC Infect Dis,"Functional status as a predictor of loss to follow-up among people living with HIV on antiretroviral therapy in Tangerang District, Indonesia."
41859266,MED,PMC12996214,10.3389/fpubh.2026.1766369,2026,Front Public Health,"Determinants of CD4 count recovery among severely immunosuppressed HIV patients initiated on antiretroviral therapy: a prospective cohort study in KwaZulu-Natal, South Africa."
41566892,MED,PMC12824445,10.1002/jia2.70075,2026,J Int AIDS Soc,A cluster randomized trial of Visitect CD4 Advanced Disease platform among outpatients with advanced HIV disease in Uganda.
40640513,MED,PMC12246251,10.1038/s41598-025-97279-7,2025,Sci Rep,"Determinants of loss to follow-up among women on option B + in Southern Ethiopia, 2014-2022: a cohort study."
41973720,MED,PMC13075698,10.1371/journal.pone.0327705,2026,PLoS One,"Time to sputum culture conversion, treatment outcomes, and associated factors among rifampicin-resistant or multidrug-resistant tuberculosis patients in the Sidama region, Ethiopia: A retrospective follow-up study."
41928197,MED,PMC13169552,10.1186/s12905-026-04432-z,2026,BMC Womens Health,Fine and gray competing risk regression model of predictors of loss to follow up among female sex workers receiving antiretroviral therapy in Nigeria: 2016-2022.
41607521,MED,PMC12835284,10.3389/fcimb.2025.1736328,2025,Front Cell Infect Microbiol,"Effect of rapid antiretroviral therapy initiation on loss to follow-up, mortality, and virologic failure among people with human immunodeficiency virus under the treat-all policy in China: analysis of routine data."
40917422,MED,PMC12408609,10.3389/fpubh.2025.1623805,2025,Front Public Health,Predictors of loss to follow-up among people living with HIV on antiretroviral therapy in a rural health facility using paper-based records.
41577868,MED,PMC12901250,10.1038/s41598-026-36433-1,2026,Sci Rep,Baseline characteristics associated with mortality among children living with HIV initiating ART at a rural district HIV clinic of Mozambique.
40342012,MED,PMC12596408,10.1093/cid/ciaf112,2025,Clin Infect Dis,"Treatment Outcomes With an Oral Short Course Regimen for Rifampicin-resistant Tuberculosis in a High HIV Prevalence, Programmatic Setting in South Africa."
42326908,MED,PMC13279531,10.3389/fpubh.2026.1856172,2026,Front Public Health,Population mobility and disease progression in people living with HIV: a machine learning analysis of a 10-year dynamic cohort.
41845260,MED,PMC13112780,10.1186/s12879-026-13067-2,2026,BMC Infect Dis,"Incidence, survival, and risk factors for first-line antiretroviral therapy failure among adults on ART follow-up in health facilities in Southwest Shoa, Oromia, Ethiopia, 2023: a retrospective cohort study."
PMC12964894,PMC,PMC12964894,,2026,Infect Dis Poverty,Towards tuberculosis elimination in people with HIV on antiretroviral therapy: evidence from a two-decade nationwide cohort in Spain
41902264,MED,PMC13030858,10.3390/v18030356,2026,Viruses,The Forgotten Test: Missed Opportunities for HIV Diagnosis and Survival Outcomes in Advanced HIV Disease.
41975296,MED,PMC13200356,10.1186/s12879-026-13282-x,2026,BMC Infect Dis,Viral load suppression among pregnant and breastfeeding women living with HIV in Ghana: a prospective longitudinal study.
42010505,MED,PMC13231738,10.1186/s12879-026-13328-0,2026,BMC Infect Dis,Incidence of opportunistic infection among people living with HIV in Rwanda; Does treat all policy matter?
41915718,MED,PMC13037997,10.1371/journal.pgph.0006133,2026,PLOS Glob Public Health,Incidence and correlates of chronic anemia in people living with HIV Initiating ART: An exploratory five-year retrospective cohort of patients retained in care.
42221368,MED,PMC13221644,10.1093/ofid/ofag303,2026,Open Forum Infect Dis,"Drug-Resistant Tuberculosis Outcomes in South Kivu Province, Democratic Republic of Congo, During a Humanitarian Crisis (2018-2024)."
41327013,MED,PMC12667172,10.1186/s12879-025-12070-3,2025,BMC Infect Dis,Survival analysis of risk factors for mortality in pulmonary tuberculosis patients in southeast Iran (2013-2023).
41735865,MED,PMC13037230,10.1186/s12879-026-12957-9,2026,BMC Infect Dis,Time to viral load suppression after enhanced adherence counseling among HIV patients attending antiretroviral therapy in Southwest Ethiopia.
42014142,MED,PMC13110532,10.1136/bmjopen-2025-107555,2026,BMJ Open,HIV care attrition among pregnant and postpartum adolescent girls and young women living with HIV in Tanzania: findings from a prospective cohort study.
41737365,MED,PMC12927859,10.2147/jmdh.s580987,2026,J Multidiscip Healthc,"Cox Proportional Hazards Model Analysis of Survival Among Tuberculosis Patients Under Treatment in Mbuji-Mayi, Democratic Republic of the Congo."
42037746,MED,PMC13110013,10.2147/idr.s593806,2026,Infect Drug Resist,Risk of Mortality Associated with Rapid versus Delayed ART Initiation and Associated Factors Among Late-Presenting People with HIV: An 8-Year Retrospective Analysis in China.
41425046,MED,PMC12714114,10.1155/arat/8819023,2025,AIDS Res Treat,Assessing Retention in Care and Factors Associated With Antiretroviral Therapy Among People Living With HIV in the Upper West Region of Ghana: A Retrospective Cohort Study.
41219969,MED,PMC12606837,10.1186/s12890-025-03986-2,2025,BMC Pulm Med,"Time to sputum culture conversion and associated factors in multidrug-resistant tuberculosis patients in Southwestern Oromia, Ethiopia: a ten-year retrospective follow-up study."
42205971,MED,PMC13201504,10.3389/frph.2026.1797297,2026,Front Reprod Health,"Cause-specific hazards of antiretroviral therapy programmatic adherence, defaulting and mortality among HIV/AIDS patients who had attained CD4 count recovery after antiretroviral therapy initiation in South Africa."
40753372,MED,PMC12318398,10.1186/s12879-025-11397-1,2025,BMC Infect Dis,Factors associated with mortality among people with advanced HIV disease in rural uganda: a retrospective study.
41746018,MED,PMC12944943,10.3390/tropicalmed11020048,2026,Trop Med Infect Dis,"Hospitalization Free-Survival, Adverse Drug Reactions, and Retention in Care Outcomes of an Outpatient Treatment Model for Cryptococcal Meningitis in PLWH in Maputo, Mozambique."
42186573,MED,PMC13198679,10.1177/22799036261451534,2026,J Public Health Res,"Incidence and predictors of tuberculosis among adult diabetes mellitus patients in western Amhara comprehensive specialized hospitals, northwest Ethiopia. A multicenter retrospective follow-up study."
41803727,MED,PMC13085285,10.1186/s12879-026-13035-w,2026,BMC Infect Dis,"Efficacy and safety of bictegravir, emtricitabine, and tenofovir alafenamide (BIC/FTC/TAF) versus efavirenz, lamivudine, and tenofovir disoproxil fumarate (EFV+3TC + TDF) in late-presenting people with HIV rapid initial antiretroviral therapy."
41565985,MED,PMC12894726,10.1038/s41598-026-36909-0,2026,Sci Rep,Predictors of opportunistic infections among people living with HIV: a prospective cohort study from a tertiary care setting in India.
41137109,MED,PMC12551340,10.1186/s12981-025-00810-z,2025,AIDS Res Ther,"Dolutegravir rollout for treatment of HIV with a focus on advanced disease and tuberculosis coinfection: findings from rural KwaZulu-Natal, South Africa (2019-2023)."
40604738,MED,PMC12219442,10.1186/s12889-025-23491-9,2025,BMC Public Health,Impact of the COVID-19 pandemic on unfavorable tuberculosis outcomes: a comparative analysis of unhoused and general populations.
41689102,MED,PMC13005505,10.1186/s12981-026-00860-x,2026,AIDS Res Ther,Incidence and predictors of loss to follow-up among adults on antiretroviral therapy in Ethiopia: a systematic review and meta-analysis of cohort studies.
41688519,MED,PMC12982795,10.1038/s41598-026-39040-2,2026,Sci Rep,Time to death and its predictors among adults living with HIV receiving ART in Ethiopia applying proportional hazard model.
40025429,MED,PMC11872337,10.1186/s12879-025-10646-7,2025,BMC Infect Dis,"Incidence and predictors of loss to follow-up among adult HIV patients attending antiretroviral therapy at public health facilities in Agaro town, Southwest Ethiopia, 2023."
41120609,MED,PMC12541076,10.1038/s41598-025-20658-7,2025,Sci Rep,Incidence and predictors of mortality among persons with rifampicin-resistant tuberculosis and HIV in Mozambique.
41961813,MED,PMC13068246,10.1371/journal.pgph.0005970,2026,PLOS Glob Public Health,"Time to incidence of tuberculosis and its predictors among adult HIV/AIDS patients who initiated ART by the Universal Test and Treat approach in Silte Zone, Ethiopia, 2023."
40327270,MED,PMC12378303,10.1007/s10461-025-04716-9,2025,AIDS Behav,"UNAIDS 90-90-90 Target and Retention in Care of a Cohort of Migrants Living with HIV in a Tertiary Referral Hospital in Florence, Italy."
42068264,MED,PMC13153529,10.1177/23259582261447448,2026,J Int Assoc Provid AIDS Care,Incidence and Predictors of Virologic Failure Among Children on First-Line Antiretroviral Therapy in Northwest Ethiopia: A Multicenter Retrospective Follow-Up Study.
41668085,MED,PMC12998312,10.1186/s12889-026-26538-7,2026,BMC Public Health,"Survival outcomes of older people living with HIV from 2001 to 2020 in Hunan, China: a retrospective cohort study."
41925089,MED,PMC13051138,10.1177/23259582261439620,2026,J Int Assoc Provid AIDS Care,"Rate of Viral Resuppression and Predictors Among PLHIV on Second-Line Antiretroviral Therapy at Gondar Comprehensive Specialized Hospital, Northwest, Ethiopia: A Retrospective Cohort Study."
42339560,MED,PMC13291800,10.1002/jia2.70151,2026,J Int AIDS Soc,HIV Care Retention and Cost Analysis in Multi-Month ART Dispensing: A Randomized Controlled Trial in China.
42097707,MED,PMC13157794,10.1136/bmjgh-2025-023272,2026,BMJ Glob Health,"HIV care continuity for women in postconflict Tigray: assessing mother-to-child transmission rates, infant health and cervical cancer screening."
41361367,MED,PMC12683861,10.1186/s12879-025-12149-x,2025,BMC Infect Dis,Predictors of nutritional recovery among undernourished adults on antiretroviral therapy treated with ready-to-use therapeutic food at public health facilities in Southeast Ethiopia: a retrospective cohort study.
41809643,MED,PMC12969629,10.1016/j.ijregi.2026.100857,2026,IJID Reg,Exploring HIV care disparities among foreigners in Taiwan: Insights from a multicenter study (2017-2023).
41214190,MED,PMC12603309,10.1038/s41598-025-23129-1,2025,Sci Rep,Risk factors for early mortality among HIV-positive adults on antiretroviral therapy in Ethiopian health facilities.
41021590,MED,PMC12478948,10.1371/journal.pone.0333106,2025,PLoS One,"Antiretroviral treatment outcomes and survival pattern of people living with HIV in Bauchi State, Nigeria."
41603196,MED,PMC13140002,10.1111/hiv.70200,2026,HIV Med,Hierarchical analysis of unsuccessful tuberculosis treatment among people living with HIV in Brazil using nationwide surveillance data.
40242388,MED,PMC12002397,10.2147/idr.s502302,2025,Infect Drug Resist,Treatment Outcomes for Drug-Resistant Tuberculosis Patients on Bedaquiline-Based Regimens in a Mostly Rural South Africa.
42023954,MED,PMC13121481,10.1177/23259582261444528,2026,J Int Assoc Provid AIDS Care,Pragmatic Strategies for Sustaining HIV Care: 25-Year Outcomes from an Independent Practice in India.
40688743,MED,PMC12272902,10.1016/j.puhip.2025.100634,2025,Public Health Pract (Oxf),Determinants of loss to follow-up among people living with HIV receiving antiretroviral therapy in a universal test and treat setting: A retrospective cohort study in Nepal.
40155888,MED,PMC11954237,10.1186/s12905-025-03658-7,2025,BMC Womens Health,Incidence of loss to follow-up and associated factors among mothers on antiretroviral therapy in the context of elimination of mother-to-child transmission of HIV in two health districts of Bobo-Dioulasso in Burkina Faso.
41727537,MED,PMC12920547,10.11604/pamj.2025.52.122.46773,2025,Pan Afr Med J,Monitoring of virological response and acquired HIV-1 drug resistance among patients initiating antiretroviral therapy in the Centre Region of Cameroon.
41703498,MED,PMC13015037,10.1186/s12879-026-12849-y,2026,BMC Infect Dis,Evaluating B/F/TAF at the first HIV-specialist appointment in antiretroviral naive persons living with HIV: the bifast study.
41723345,MED,PMC13032719,10.1186/s12879-026-12919-1,2026,BMC Infect Dis,"Mortality and its predictors among adolescents and adults on antiretroviral therapy in the era of test-and-treat, Ethiopia: a retrospective cohort study."
41830587,MED,PMC13009571,10.1177/10732748261434396,2026,Cancer Control,Five-Year Survival and Determinants of Diffuse Large B-cell Lymphoma in Resource-Limited Settings: The Impact of HIV/AIDS in a Multi-Center Cohort Study.
41915599,MED,PMC13262987,10.1159/000551751,2026,Gynecol Obstet Invest,Maternal Use of Fertility Treatments and the Risk for Celiac Disease in the Offspring.
42173919,MED,PMC13197394,10.1038/s41598-026-50300-z,2026,Sci Rep,"Patient-related diagnostic delay and risk of unfavorable treatment outcomes among pulmonary tuberculosis patients at the antituberculosis center of Brazzaville, Republic of Congo."
41150353,MED,PMC12568007,10.3390/tropicalmed10100276,2025,Trop Med Infect Dis,Predictors of Tuberculous Meningitis Mortality Among Persons with HIV in Mozambique.
40676585,MED,PMC12272977,10.1186/s12889-025-23542-1,2025,BMC Public Health,Improving estimators of HIV mortality and retention in care by linking clinical cohort data with national registries in Mexico.
41781915,MED,PMC13069778,10.1186/s12887-026-06674-0,2026,BMC Pediatr,"Time to treatment failure and its predictors among children attending antiretroviral therapy in Jimma, southwest Ethiopia: a retrospective cohort study."
40830417,MED,PMC12365281,10.1038/s41598-025-15985-8,2025,Sci Rep,A competing risk analysis of predictors of time to lost to follow-up among adults with TB/HIV coinfection in Bahir Dar.
40955276,MED,PMC12433549,10.1177/20503121251371898,2025,SAGE Open Med,Incidence and predictors of anemia among children with antiretroviral therapy at health facilities in Southern Ethiopia: A retrospective follow-up study.
40779390,MED,PMC12337743,10.1080/22221751.2025.2539198,2025,Emerg Microbes Infect,Two-threshold defined immune non-responders are associated with long-term morbidity in people with HIV: a prospective cohort study.
42078099,MED,PMC13129460,10.1016/j.eclinm.2026.103914,2026,EClinicalMedicine,"Feasibility, accuracy, and effect of a rapid point-of-care serological test (SeroSelectTB) to identify presumptive pulmonary TB patients for confirmatory testing in Ethiopia, South Africa, and Tanzania: a multicenter, open-label, parallel-group, randomized, controlled trial."
41969697,MED,PMC13068418,10.4103/ijcm.ijcm_254_25,2026,Indian J Community Med,"Clinical Characteristics and Treatment Outcomes among Tuberculosis and TB-HIV Coinfected Patients at Tertiary Health Care Center, South Gujarat, India: A Mixed-method Study."
41048256,MED,PMC12491286,10.3389/fpubh.2025.1614619,2025,Front Public Health,"Survival analysis and factors influencing survival time of adult HIV/AIDS patients receiving antiretroviral therapy from 2012 to 2022 in Chongqing, China: a retrospective cohort study."
41214636,MED,PMC12604165,10.1186/s12889-025-25075-z,2025,BMC Public Health,Time to death and its associated factors among tuberculosis patients undergoing directly observed therapy at Butajira General Hospital: using accelerated failure time model.
40594107,MED,PMC12219833,10.1038/s41598-025-02688-3,2025,Sci Rep,Diabetes mellitus in patients with HIV naïve to antiretroviral therapy initiating integrase inhibitors therapy.
41052372,MED,PMC7618700,10.1097/qai.0000000000003767,2026,J Acquir Immune Defic Syndr,Characteristics of Individuals With Advanced HIV Disease and Risk Factors for Mortality in a Contemporary Cohort in South Africa.
41868863,MED,PMC13001680,10.26633/rpsp.2026.36,2026,Rev Panam Salud Publica,Predictors of mortality among individuals with advanced HIV disease in a contemporary Brazilian cohort.
41859288,MED,PMC12999133,10.1097/txd.0000000000001914,2026,Transplant Direct,Transplantation Improves Patient Survival in a PD-first Program in South Africa.
42182974,MED,PMC13191146,10.1177/20499361261448464,2026,Ther Adv Infect Dis,"Factors associated with HIV RNA viral non-suppression among children and adolescents with HIV attending public health facilities in Gulu City, Uganda: a retrospective cohort study."
41909684,MED,PMC13021817,10.3389/fimmu.2026.1776587,2026,Front Immunol,Immune reconstitution efficacy and associated risk factors for immunological non-response in people living with HIV during long-term antiretroviral therapy: a single-center retrospective cohort study at a tertiary care hospital in China.
41876996,MED,PMC13137469,10.1186/s12879-026-13135-7,2026,BMC Infect Dis,"Effectiveness and safety of bedaquiline, pretomanid, linezolid and moxifloxacin in drug-resistant tuberculosis patients in selected public hospitals in Ethiopia: a multicenter retrospective cohort study."
41393919,MED,PMC12699972,10.1155/arat/8818830,2025,AIDS Res Treat,BIKSWITCH Study: Effectiveness and Safety of Switching to Bictegravir/Emtricitabine/Tenofovir Alafenamide (B/F/TAF) From Therapies Not Based on Integrase Inhibitors in Virologically Suppressed HIV-Infected Patients.
41567789,MED,PMC12816266,10.3389/fpubh.2025.1575990,2025,Front Public Health,"Survival time and influencing factors among people living with HIV in Guilin City, Guangxi, China: a retrospective cohort study (1996-2022)."
41671304,MED,PMC12893582,10.1371/journal.pgph.0005489,2026,PLOS Glob Public Health,"Trends of attrition from HIV care and its predictors among adolescent girls and young women with inconsistent viral load suppression results in Mainland Tanzania, 2016-2024."
40908808,MED,PMC12411737,10.1002/jia2.70026,2025,J Int AIDS Soc,Systematic review and meta-analysis of retention and disengagement after initiation on antiretroviral therapy in low- and middle-income countries after the introduction of Universal Test and Treat policies.
40268486,MED,PMC12020770,10.1136/bmjopen-2024-093129,2025,BMJ Open,"Incidence of attrition and predictors among HIV-infected adolescents receiving antiretroviral therapy in public hospitals, South Ethiopia: a multicentre retrospective follow-up study."
41244368,MED,PMC12612524,10.1177/20503121251393021,2025,SAGE Open Med,"Time to virological failure and its predictors among children receiving first-line antiretroviral treatment in selected public Hospitals, Eastern Ethiopia, 2022: A multicenter retrospective cohort study."
39785264,MED,PMC11715132,10.1111/jvh.14059,2025,J Viral Hepat,Patient Source of Referral Is a Key Determinant of Subsequent Retention in Care for Young Chronic Hepatitis B Patients.
41754504,MED,PMC12945237,10.3390/v18020161,2026,Viruses,A Retrospective Cohort Study on HHV-8 Viral Load and Prognosis in HIV-Associated Kaposi Sarcoma Among People Living with HIV in Japan.
41176784,MED,PMC12955966,10.1097/cad.0000000000001784,2026,Anticancer Drugs,Initial stage analysis of tislelizumab in combination with chemotherapy for patients with advanced HIV-positive non-small-cell lung cancer: a comparative clinical trial.
40889996,MED,PMC12406847,10.1136/bmjresp-2025-003292,2025,BMJ Open Respir Res,Trends and determinants of unfavourable outcomes in paediatric tuberculosis: insights from a 20-year cohort in Cameroon.
41238519,MED,PMC12803564,10.1111/anae.70083,2026,Anaesthesia,One-year follow-up of survival and health-related quality of life in patients with medical conditions admitted acutely to hospital in Malawi and Tanzania.
41776181,MED,PMC13065956,10.1038/s41598-026-37882-4,2026,Sci Rep,"Retention in care and viral suppression in people living with HIV and chronic hepatitis B in Maputo City, Mozambique: a prospective cohort study."
42346731,MED,PMC13300708,10.3390/ijns12020042,2026,Int J Neonatal Screen,Implementation of a Prospective Birth Cohort for Newborn Screening and Early Linkage to Comprehensive Sickle Cell Disease Care in a Low-Resource Setting.
42255920,MED,PMC13235412,10.1016/j.jctube.2026.100620,2026,J Clin Tuberc Other Mycobact Dis,Illicit substance use and its impact on tuberculosis care engagement: A systematic review and Meta-analysis of prevalence.
42344059,MED,PMC13289358,10.1136/bmjph-2025-004777,2026,BMJ Public Health,"Clinical presentation and effectiveness of antiretroviral therapy in newly diagnosed people living with HIV before, during and after the COVID-19 pandemic."
42212244,MED,PMC13213633,10.1016/j.lansea.2026.100782,2026,Lancet Reg Health Southeast Asia,Virologic outcomes on Dolutegravir-based therapy among children and adolescents living with HIV in Thailand: findings from a national registry database.
41458440,MED,PMC12741145,10.3389/fpubh.2025.1722889,2025,Front Public Health,Marginal structural Cox model for estimating the effect of Chinese medicine on the survival of people living with HIV: a 17-year real-world retrospective cohort study.
39342164,MED,PMC11438255,10.1186/s12887-024-05086-2,2024,BMC Pediatr,"Incidence of loss to follow-up and its predictors among HIV-infected under-five children after initiation of antiretroviral therapy in West Amhara Comprehensive Specialized Referral Hospitals, Northwest Ethiopia: a multicenter retrospective follow-up study."
41082529,MED,PMC12517527,10.1371/journal.pone.0333371,2025,PLoS One,Hepatotoxicity risk factors in HIV-infected MSM with HBV/HCV coinfections: A cohort study in Northwestern China.
41628088,MED,PMC12863470,10.1371/journal.pone.0330581,2026,PLoS One,"Virological failure and risk factors among people living with HIV taking second-line ART in Addis Ababa, Ethiopia."
41746984,MED,PMC12944796,10.1371/journal.pone.0327933,2026,PLoS One,"Attrition and associated factors among patients on chronic antihypertensive therapy at Mulago hospital, Uganda: A mixed method study."
40211128,MED,PMC11984250,10.1186/s12879-025-10878-7,2025,BMC Infect Dis,"Incidence of death and its predictors among TB/HIV coinfected adult patients receiving anti-retroviral therapy at Gambelia referral hospital, Southwest Ethiopia, 2022."
PMC12536159,PMC,PMC12536159,,2025,J Int Assoc Provid AIDS Care,"Losing Their Way: A Cohort Analysis of Retention in Care Among Adolescents on Antiretroviral Therapy in Lusaka District, Zambia"
40861791,MED,PMC12372812,10.2147/idr.s517582,2025,Infect Drug Resist,Survival and Its Determinants of HIV/AIDS Patients Receiving Antiretroviral Therapy in Two National Referral Hospitals in Eritrea: A Retrospective Cohort Study.
40688526,MED,PMC12275232,10.1016/j.ijregi.2025.100691,2025,IJID Reg,"Outcomes of a 24-month study of patients with HIV with Cryptococcal meningitis on high-dose fluconazole induction in Abidjan, Côte d'Ivoire, between 2012 and 2016."
40941444,MED,PMC12428479,10.3390/healthcare13172093,2025,Healthcare (Basel),Strengthening Clinical Governance and Public Health Interventions to Improve Drug-Resistant Tuberculosis Outcomes in Rural South Africa.
42158351,MED,PMC13182882,10.5588/pha.25.0057,2026,Public Health Action,Effectiveness and challenges of DOT in multidrug-resistant TB: a 12-year retrospective study.
41913743,MED,PMC13033251,10.2147/idr.s573058,2026,Infect Drug Resist,Safety and Effectiveness of Contezolid versus Linezolid in Drug-Resistant Tuberculosis: A 12-Month Retrospective Study from China.
40705795,MED,PMC12289015,10.1371/journal.pone.0329132,2025,PLoS One,Time-dependent predictors of loss to follow-up in HIV care in low-resource settings: A competing risks approach.
41908806,MED,PMC13019606,10.1016/j.lanwpc.2026.101835,2026,Lancet Reg Health West Pac,"Virologic, immunologic, and metabolic outcomes and mortality in people with HIV on bictegravir/emtricitabine/tenofovir alafenamide fumarate versus dolutegravir-based antiretroviral therapies: a retrospective multicenter cohort study in China."
41702639,MED,PMC12918700,10.1136/bmjgh-2025-022505,2026,BMJ Glob Health,How do repeated financial incentives affect HIV care-seeking behaviours over time? Evidence from a cluster-randomised controlled trial.
40430760,MED,PMC12114597,10.3390/pathogens14050441,2025,Pathogens,Optimizing Drug-Resistant Tuberculosis Treatment Outcomes in a High HIV-Burden Setting: A Study of Sputum Conversion and Regimen Efficacy in Rural South Africa.
42136859,MED,PMC13167496,10.3389/fmed.2026.1776413,2026,Front Med (Lausanne),Application of ultrasound-guided percutaneous catheter drainage in the treatment of tuberculous psoas abscesses.
40606992,MED,PMC12213895,10.3389/fonc.2025.1569433,2025,Front Oncol,Retrospective analysis of HIV-associated lymphomas: insights from a single Romanian center over 15 years.
40173160,MED,PMC11964237,10.1371/journal.pone.0317223,2025,PLoS One,"Mortality, loss to follow-up and advanced HIV disease following virologic success in West African HIV-2 patients."
41748859,MED,PMC13021689,10.1007/s15010-026-02740-y,2026,Infection,Long-term immune recovery under continuous antiretroviral therapy (ART) among ART-naive people living with HIV in two cohorts in Germany.
41166249,MED,PMC12574849,10.1371/journal.pgph.0005184,2025,PLOS Glob Public Health,Mortality disparities among children and adolescents with tuberculosis in Tanzania Mainland from January 2023 to December 2023: A retrospective cohort study.
41961531,MED,PMC13068290,10.1099/jmm.0.002119,2026,J Med Microbiol,Comparable efficacy of bictegravir/emtricitabine/tenofovir alafenamide and doravirine/lamivudine/tenofovir disoproxil fumarate in therapy-naive Human Immunodeficiency Virus adults with very high baseline viraemia.
39089715,MED,PMC11293378,10.1136/bmjopen-2023-078370,2024,BMJ Open,"Loss to follow-up and its predictors among children living with HIV on antiretroviral therapy, southern Oromia, Ethiopia: a 5-year retrospective cohort study."
42231943,MED,PMC13223059,10.1093/ofid/ofag266,2026,Open Forum Infect Dis,Dolutegravir as First- or Second-line Treatment for Children With HIV: 240-Week Follow-up of the ODYSSEY Randomized Trial.
41619753,MED,PMC13040453,10.1016/s1473-3099(25)00747-9,2026,Lancet Infect Dis,"Immediate or high-dose antituberculosis therapy for HIV-related sepsis in Tanzania and Uganda (ATLAS): a phase 3, open-label, randomised, controlled, 2 × 2 factorial, superiority trial."
41388558,MED,PMC12859978,10.1186/s12981-025-00831-8,2025,AIDS Res Ther,Kidney dysfunction in adults living with HIV and HBV: a 10-year retrospective cohort study across seven Asia-Pacific countries.
