candidate_id,ecosystem,region,latitude_range,longitude_range,publication,publication_doi,dataset_name,dataset_doi,repository,license,open_download,environmental_layer,resource_or_prey_layer,predator_layer,additional_trophic_layers,species,tracking_or_sampling_method,individual_ids_available,timestamps_available,coordinates_available,start_date,end_date,duration_years,temporal_resolution,spatial_resolution,estimated_n_independent_events,estimated_n_individuals,estimated_n_observations,contemporaneous_layers,environment_data_available,current_data_available,known_published_effect,known_effect_reproducible,main_limitations,notes
eddy-tuna,mesoscale eddy pelagic,global oceans,various,various,various tuna-eddy papers,,tuna/shark PAT tags + eddy atlases,,various (Movebank/OBIS),mixed,partial,daily SLA/eddy polarity/chl,none direct,tuna/shark tracks,,"Thunnus, sharks",PAT/Argos,yes,yes,yes,2000s,ongoing,>10,daily,SSM ~10km,many eddy passages,~100,>1e4,no prey layer,yes,yes,predators associate with eddies,yes,predator-eddy association alone cannot separate trophic propagation (spec 11),shortlist-excluded by criterion
north-pacific-salmon-kw,salmon-killer whale,NE Pacific,45-60N,155-120W,southern resident killer whale / Chinook studies,,OTN salmon telemetry + SRKW sightings + Chinook CPUE,,OTN/NOAA/DFO,mixed,limited,yes,Chinook salmon CPUE/telemetry,killer whale occurrence,,"Oncorhynchus tshawytscha, Orcinus orca",acoustic tags + sightings,yes,yes,yes,2000s,ongoing,>15,daily-weekly,inlet-scale,~10 seasonal salmon runs,~80 whales + thousands salmon,sightings+detections,partial,yes,yes,SRKW presence tracks Chinook runs,yes,SRKW data partly restricted; ethical sensitivity,
herring-cod-norway,Norwegian herring-cod/whale,Norwegian Sea,60-72N,0-20E,herring collapse/recovery predator studies,,IMR herring acoustic + cod/whale data,,IMR/ICES,partially open,limited,yes,NSS herring acoustic biomass,cod/whale survey+diet data,,"Clupea harengus, Gadus morhua, cetaceans",ship acoustic + surveys,no,yes,yes,1990s,ongoing,>20,annual surveys,survey,~10-20 annual pulses,n/a,survey hauls,yes annually,yes,yes,predator distribution follows herring,yes,annual resolution; no within-season events,
davoren-capelin,capelin-seabird pilot B,coastal Newfoundland,~49.5N,~53W,Davoren et al. 2024 J Anim Ecol,10.1111/1365-2656.14214,Dryad Davoren_et_al._2024_DRYAD.xlsx,10.5061/dryad.jq2bvq8k8,Dryad,CC0,yes (Anubis-protected),none bundled (can add SST/chl),weekly hydroacoustic fish biomass,weekly seabird counts same transect,,murre/puffin/gull/gannet/shearwater,ship surveys,no,yes,no (single area),2009,2020,10,weekly,100-m bins / single 10km2 area,10,n/a,62,yes weekly,yes (external),yes,birds peak at spawn onset,reproduced directionally (pilot B),weekly resolution; one pulse/year,baseline comparator
palmyra-pilot,atoll multi-species telemetry,Palmyra Atoll,~6N,~162W,Gilmour et al. 2025 GCB,10.1111/gcb.70138,Palmyra Bluewater telemetry,10.24431/rw1k8ez,Research Workspace/DataONE,US public domain,yes,chl/SST/SLA daily,chl field only (indirect prey),9 species telemetry,,shark/tuna/marlin/manta/cetaceans/seabirds,PAT/GPS/Argos,yes,yes,yes,2022,2023,1.3,subhourly-daily,GPE3/Argos,22 chl events,85,307k,yes,yes,yes,none for trophic gradient,tested null (pilot A),indirect prey layer; ~1 seasonal cycle,baseline comparator
esas-northsea,North Sea seabird-at-sea + sandeel,North Sea,51-62N,5W-10E,ESAS database; ICES sandeel,,ESAS seabird-at-sea counts + DATRAS,,ICES/ESAS,open on request,partial,yes,sandeel acoustic+dredge surveys,seabird at-sea survey counts,,"auks, gulls, gannets",ship transects,no,yes,yes,1980s,ongoing,>30,episodic surveys,transect,~10-20,n/a,>1e5 counts,yes within survey windows,yes,yes,seabird-sandeel spatial association,likely,survey timing irregular; access forms,
gbr-shark-herbivore,reef herbivore-shark,Great Barrier Reef,25-10S,145-155E,Heupel et al. reef shark IMOS,,GBR reef fish surveys + shark arrays,,AIMS/IMOS,partially open,partial,yes,benthic/fish monitoring (AIMS LTMP),reef shark acoustic arrays,herbivorous fish layer,"Carcharhinus amblyrhynchos/melanopterus, Lethrinidae",acoustic array + UVC,yes,yes,yes,1990s,ongoing,>20,daily detections,reef-scale,~10 bleaching/cyclone pulses,hundreds,>1e5,partial,yes,yes,shark reef residency vs disturbance,partially,prey layer is coarse monitoring; events are disturbances not resource pulses,
ant-peninsula-gentoo,Antarctic Peninsula gentoo-krill,WAP,60-70S,70-55W,Dryad 10.5061/dryad.5x69p8d20,10.5061/dryad.5x69p8d20,gentoo penguin coastal tracking + environmental covariates,10.5061/dryad.5x69p8d20,Dryad,CC0,yes,sea ice/chl,krill inferred (not measured),gentoo penguin GPS,,Pygoscelis papua,GPS/TDR,yes,yes,yes,2010s,2020s,~5,~min-hourly,<1km,~5,~50,>1e4,no prey layer,yes,yes,coastal regions key for gentoo,yes,no concurrent krill biomass,
whaleshark-zooplankton,whale shark-zooplankton aggregations,Indian Ocean/tropical,various,various,whale shark feeding aggregation studies,,whale shark tags + zooplankton sampling,,Movebank/various,mixed,partial,chl/SST,zooplankton tows (episodic),whale shark satellite tracks,,"Rhincodon typus, Mobula",PAT/SPOT,yes,yes,yes,2000s,ongoing,>10,daily,Argos km,~5-10 aggregation events,~100,>1e4,rarely concurrent,yes,yes,aggregation at prey hotspots,partially,"prey sampling episodic, not event-resolved",
california-ecomega,CCS ecosystem mega-transects,California Current,30-50N,130-115W,"e.g., Santora et al. at-sea seabird/mammal + acoustic forage",,NOAA SWFSC access cruises (acoustic forage + visual predators),,NOAA,public (reports; raw via request),partial,yes,krill/forage acoustic,seabird+mammal at-sea counts,krill+forage+predator = 3 layers,"sooty shearwater, whales, anchovy, krill",simultaneous ship survey,no,yes,yes,2000s,ongoing,>15,survey ~annual,transect,~10-15 survey windows + upwelling events,n/a,transects,yes within cruises,yes,yes,predators aggregate over forage hotspots,likely,raw at-sea counts via NOAA request; annual scale,true 3-level candidate
scotia-sea-krill-penguin,Scotia Sea krill-penguin/seal,Scotia Sea/South Georgia,52-62S,45-25W,SCAR/penguin tracking compilations (Ropert-Coudert et al.),,penguin+seal tracking (Movebank/PDC) + BAS krill acoustics,,Movebank/PDC/CCAMLR,mixed open,partial,chl/ice/SST,"krill acoustic (episodic, some public)",penguin/seal GPS-PTT,chl->krill->predator,"macaroni/chinstrap/gentoo penguins, fur seals",GPS/PTT/TDR,yes,yes,yes,1990s,ongoing,>15,hourly,km,~10,>100,>1e5,partial,yes,yes,predators track krill distribution,partially,concurrent krill biomass sparse,
gulf-of-maine-herring-whale,GoM herring-whale,Gulf of Maine,40-45N,71-65W,NOAA herring acoustic + whale sightings,,NEFSC herring acoustic + whale survey data,,NOAA NEFSC,public on request,partial,yes,herring acoustic biomass,whale sightings/tracking,,"Clupea harengus, Megaptera/Balaenoptera",ship surveys,partial,yes,yes,1990s,ongoing,>20,annual survey,transect,~10,n/a,surveys,yes,yes,yes,whales aggregate on herring,likely,annual scale; request access,
palmyra-like-french-polynesia,atoll/reef multi-species,French Polynesia,~15-22S,~148-134W,Mourier et al. shark/telemetry,,FP reef shark/predator telemetry,,Movebank/institutional,mixed,partial,chl/SST,none direct,sharks/rays telemetry,,"Carcharhinus, Negaprion",PAT/acoustic,yes,yes,yes,2000s,2010s,>10,daily,km,many env events,~100,>1e4,no prey,yes,yes,shark aggregations,partially,no prey layer,
