population,language,language_family,morphological_type,word_order,tone,phoneme_count,latitude,longitude,notes
PEL,Spanish/Quechua,Indo-European,fusional,SVO,no,24,-12.0,-77.0,Peru admixed
PJL,Punjabi,Indo-European,fusional,SOV,no,40,31.5,74.3,Pakistan Punjab
PUR,Spanish,Indo-European,fusional,SVO,no,24,18.2,-66.5,Puerto Rico admixed
Palestinian,Arabic,Afro-Asiatic,fusional,VSO,no,28,31.9,35.2,Palestine
PapuanHighlands,Enga,Trans-New-Guinea,agglutinative,SOV,no,20,-5.5,143.5,PNG Highlands
PapuanSepik,Ndu,Sepik,agglutinative,SVO,no,22,-3.5,143.0,PNG Sepik
Pathan,Pashto,Indo-European,fusional,SOV,no,41,34.0,71.5,Afghanistan/Pakistan
Pima,O'odham,Uto-Aztecan,agglutinative,free,no,22,32.0,-112.0,Arizona USA
Russian,Russian,Indo-European,fusional,SVO,no,42,55.0,37.6,Russia
STU,Tamil,Dravidian,agglutinative,SOV,no,40,13.0,80.2,Sri Lanka Tamil
Sardinian,Sardinian,Indo-European,fusional,SVO,no,17,40.0,9.0,Sardinia Italy
She,She,Hmong-Mien,isolating,SVO,yes,43,26.0,119.0,Fujian China
Sindhi,Sindhi,Indo-European,fusional,SOV,no,46,25.4,68.4,Pakistan Sindh
Surui,Surui,Tupi,agglutinative,SOV,no,15,-11.0,-61.0,Brazil Amazonian
TSI,Italian,Indo-European,fusional,SVO,no,30,43.0,11.0,Tuscany Italy
Tu,Tu/Monguor,Mongolic,agglutinative,SOV,no,32,36.5,102.0,China Qinghai
Tujia,Tujia,Sino-Tibetan,isolating,SVO,yes,35,29.0,109.0,China Hunan
Tuscan,Italian,Indo-European,fusional,SVO,no,30,43.5,11.0,Tuscany
Uygur,Uyghur,Turkic,agglutinative,SOV,no,32,43.0,87.0,Xinjiang China
Xibo,Xibe,Tungusic,agglutinative,SOV,no,28,43.9,81.3,Xinjiang China (Manchu-related)
Yakut,Yakut/Sakha,Turkic,agglutinative,SOV,no,24,62.0,129.7,Siberia Russia
